Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,24.083083,[12 51] ; [18  6],[21.72413793 41.27586207] ; [ 8.27586207 15.72413793],1
p2,1,0.008114,7.008045,[29 32] ; [19  5],[34.44705882 26.55294118] ; [13.55294118 10.44705882],0
p7,1,0.010671,6.519311,[16 44] ; [13 10],[20.96385542 39.03614458] ; [ 8.03614458 14.96385542],0
s6,1,0.018363,5.561173,[11 52] ; [10 14],[15.20689655 47.79310345] ; [ 5.79310345 18.20689655],0
d4,1,0.022774,5.185685,[33 30] ; [19  5],[37.65517241 25.34482759] ; [14.34482759  9.65517241],0
d5,1,0.027698,4.846759,[28 35] ; [17  7],[32.5862069 30.4137931] ; [12.4137931 11.5862069],0
p11,1,0.028913,4.772796,[23 40] ; [15  9],[27.51724138 35.48275862] ; [10.48275862 13.51724138],0
s2,1,0.030052,4.706344,[12 51] ; [10 14],[15.93103448 47.06896552] ; [ 6.06896552 17.93103448],0
b2,1,0.040587,4.193184,[16 23] ; [ 2 14],[12.76363636 26.23636364] ; [ 5.23636364 10.76363636],0
b3,1,0.040587,4.193184,[16 23] ; [ 2 14],[12.76363636 26.23636364] ; [ 5.23636364 10.76363636],0
s3,1,0.066961,3.35599,[19 43] ; [12 11],[22.61176471 39.38823529] ; [ 8.38823529 14.61176471],0
p8,1,0.072659,3.221902,[16 46] ; [11 13],[19.46511628 42.53488372] ; [ 7.53488372 16.46511628],0
d3,1,0.100242,2.701695,[24 38] ; [14 10],[27.39534884 34.60465116] ; [10.60465116 13.39534884],0
p9,1,0.145294,2.120974,[30 31] ; [16  8],[33.01176471 27.98823529] ; [12.98823529 11.01176471],0
d1,1,0.148669,2.085853,[14 49] ; [ 9 15],[16.65517241 46.34482759] ; [ 6.34482759 17.65517241],0
n6,1,0.167249,1.907433,[30 32] ; [15  8],[32.82352941 29.17647059] ; [12.17647059 10.82352941],0
a6,1,0.169701,1.88558,[29 34] ; [15  9],[31.86206897 31.13793103] ; [12.13793103 11.86206897],0
n5,1,0.218424,1.514694,[42 21] ; [12 11],[39.55813953 23.44186047] ; [14.44186047  8.55813953],0
a4,1,0.23767,1.394358,[21 41] ; [ 5 19],[18.74418605 43.25581395] ; [ 7.25581395 16.74418605],0
s5,1,0.251964,1.312379,[ 7 55] ; [ 5 19],[ 8.65116279 53.34883721] ; [ 3.34883721 20.65116279],0
p6,1,0.264705,1.243984,[ 7 54] ; [ 5 19],[ 8.61176471 52.38823529] ; [ 3.38823529 20.61176471],0
d2,1,0.287171,1.132838,[23 39] ; [ 6 18],[20.90697674 41.09302326] ; [ 8.09302326 15.90697674],0
a5,1,0.305015,1.052137,[29 34] ; [14 10],[31.13793103 31.86206897] ; [11.86206897 12.13793103],0
p10,1,0.306223,1.046894,[30 32] ; [14  9],[32.09411765 29.90588235] ; [11.90588235 11.09411765],0
r3,1,0.341115,0.906237,[24 38] ; [12 12],[25.95348837 36.04651163] ; [10.04651163 13.95348837],0
p5,1,0.369642,0.804866,[ 4 57] ; [ 3 21],[ 5.02352941 55.97647059] ; [ 1.97647059 22.02352941],0
u2,1,0.382519,0.762589,[11 20] ; [6 6],[12.25581395 18.74418605] ; [4.74418605 7.25581395],0
n4,1,0.396301,0.719523,[33 30] ; [15  9],[34.75862069 28.24137931] ; [13.24137931 10.75862069],0
b4,1,0.416819,0.659266,[35 28] ; [11 13],[33.31034483 29.68965517] ; [12.68965517 11.31034483],0
s4,1,0.427946,0.628391,[11 52] ; [ 6 18],[12.31034483 50.68965517] ; [ 4.68965517 19.31034483],0
v1,1,0.442168,0.59065,[13 48] ; [ 7 17],[14.35294118 46.64705882] ; [ 5.64705882 18.35294118],0
u3,1,0.505485,0.443402,[ 8 23] ; [4 7],[ 8.85714286 22.14285714] ; [3.14285714 7.85714286],0
a8,1,0.526511,0.40112,[ 3 57] ; [ 2 21],[ 3.61445783 56.38554217] ; [ 1.38554217 21.61445783],0
s7,1,0.56651,0.328557,[17 43] ; [ 8 15],[18.07228916 41.92771084] ; [ 6.92771084 16.07228916],0
n1,1,0.584871,0.298425,[13 20] ; [4 4],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
n3,1,0.584871,0.298425,[13 20] ; [4 4],[13.68292683 19.31707317] ; [3.31707317 4.68292683],0
a7,1,0.61855,0.24791,[30 33] ; [10 14],[28.96551724 34.03448276] ; [11.03448276 12.96551724],0
r1,1,0.656622,0.197653,[16 47] ; [ 5 19],[15.20689655 47.79310345] ; [ 5.79310345 18.20689655],0
r2,1,0.668407,0.183471,[35 26] ; [12 11],[34.13095238 26.86904762] ; [12.86904762 10.13095238],0
v4,1,0.669557,0.182121,[33 29] ; [14 10],[33.88372093 28.11627907] ; [13.11627907 10.88372093],0
