Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,35.527486,[88 16] ; [ 6 18],[76.375 27.625] ; [17.625  6.375],1
s8,1,0.000569,11.874309,[73 30] ; [ 8 16],[65.69291339 37.30708661] ; [15.30708661  8.69291339],1
v4,1,0.000757,11.343803,[101   3] ; [18  5],[97.4488189  6.5511811] ; [21.5511811  1.4488189],1
p2,1,0.001001,10.825758,[79 25] ; [10 14],[72.3125 31.6875] ; [16.6875  7.3125],0
p4,1,0.006578,7.384615,[58 46] ; [ 6 18],[52. 52.] ; [12. 12.],0
s2,1,0.007208,7.220513,[77 27] ; [11 13],[71.5 32.5] ; [16.5  7.5],0
n5,1,0.026863,4.89961,[83 21] ; [14 10],[78.8125 25.1875] ; [18.1875  5.8125],0
p11,1,0.038939,4.263534,[71 33] ; [11 13],[66.625 37.375] ; [15.375  8.625],0
b1,1,0.040113,4.213094,[37 67] ; [14 10],[41.4375 62.5625] ; [ 9.5625 14.4375],0
r4,1,0.042665,4.108642,[91 13] ; [17  7],[87.75 16.25] ; [20.25  3.75],0
p3,1,0.045605,3.99611,[41 63] ; [ 4 19],[36.8503937 67.1496063] ; [ 8.1496063 14.8503937],0
s6,1,0.061868,3.486597,[86 17] ; [16  8],[82.72440945 20.27559055] ; [19.27559055  4.72440945],0
a7,1,0.131761,2.27163,[73 31] ; [13 11],[69.875 34.125] ; [16.125  7.875],0
v2,1,0.146503,2.10829,[54 46] ; [ 9 15],[50.80645161 49.19354839] ; [12.19354839 11.80645161],0
p6,1,0.16053,1.969231,[27 77] ; [ 3 21],[24.375 79.625] ; [ 5.625 18.375],0
r2,1,0.165009,1.927711,[98  5] ; [21  3],[96.51181102  6.48818898] ; [22.48818898  1.51181102],0
a5,1,0.165672,1.921675,[83 21] ; [16  8],[80.4375 23.5625] ; [18.5625  5.4375],0
r3,1,0.173957,1.848512,[96  8] ; [20  4],[94.25  9.75] ; [21.75  2.25],0
d4,1,0.260395,1.266658,[88 16] ; [18  6],[86.125 17.875] ; [19.875  4.125],0
n4,1,0.319564,0.990731,[87 17] ; [18  6],[85.3125 18.6875] ; [19.6875  4.3125],0
n3,1,0.319984,0.989011,[22 10] ; [4 4],[20.8 11.2] ; [5.2 2.8],0
u3,1,0.333998,0.933333,[16  5] ; [4 3],[15.  6.] ; [5. 2.],0
a8,1,0.334242,0.932391,[11 81] ; [ 1 20],[ 9.7699115 82.2300885] ; [ 2.2300885 18.7699115],0
a3,1,0.337744,0.918974,[83 21] ; [17  7],[81.25 22.75] ; [18.75  5.25],0
n2,1,0.352637,0.863944,[23  9] ; [5 4],[21.85365854 10.14634146] ; [6.14634146 2.85365854],0
