Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4.3e-05,16.74797,[51  2] ; [4 4],[47.78688525  5.21311475] ; [7.21311475 0.78688525],1
r4,1,0.000767,11.318409,[43 10] ; [2 6],[39.09836066 13.90163934] ; [5.90163934 2.09836066],1
d1,1,0.008255,6.977281,[33 20] ; [1 7],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
d5,1,0.012349,6.260053,[42 11] ; [3 5],[39.09836066 13.90163934] ; [5.90163934 2.09836066],0
p6,1,0.058037,3.592612,[31 20] ; [2 6],[28.52542373 22.47457627] ; [4.47457627 3.52542373],0
a8,1,0.075442,3.160453,[ 3 47] ; [2 6],[ 4.31034483 45.68965517] ; [0.68965517 7.31034483],0
s2,1,0.10106,2.688732,[41 12] ; [4 4],[39.09836066 13.90163934] ; [5.90163934 2.09836066],0
v2,1,0.114322,2.493428,[27 22] ; [2 6],[24.92982456 24.07017544] ; [4.07017544 3.92982456],0
s7,1,0.117405,2.451607,[39 12] ; [4 4],[37.16949153 13.83050847] ; [5.83050847 2.16949153],0
b5,1,0.12056,2.410035,[35 18] ; [3 5],[33.01639344 19.98360656] ; [4.98360656 3.01639344],0
a4,1,0.13645,2.217545,[21 32] ; [1 7],[19.1147541 33.8852459] ; [2.8852459 5.1147541],0
v1,1,0.141632,2.160142,[27 24] ; [2 6],[25.06779661 25.93220339] ; [3.93220339 4.06779661],0
p4,1,0.161419,1.960886,[33 20] ; [7 1],[34.75409836 18.24590164] ; [5.24590164 2.75409836],0
a7,1,0.2226,1.487531,[32 21] ; [3 5],[30.40983607 22.59016393] ; [4.59016393 3.40983607],0
b4,1,0.2226,1.487531,[32 21] ; [3 5],[30.40983607 22.59016393] ; [4.59016393 3.40983607],0
p2,1,0.230316,1.43891,[43 10] ; [5 3],[41.70491803 11.29508197] ; [6.29508197 1.70491803],0
d2,1,0.239291,1.384768,[25 28] ; [2 6],[23.45901639 29.54098361] ; [3.54098361 4.45901639],0
a5,1,0.319923,0.989263,[36 17] ; [4 4],[34.75409836 18.24590164] ; [5.24590164 2.75409836],0
p7,1,0.35999,0.837928,[34 17] ; [4 4],[32.84745763 18.15254237] ; [5.15254237 2.84745763],0
n1,1,0.374857,0.7875,[7 7] ; [3 1],[7.77777778 6.22222222] ; [2.22222222 1.77777778],0
a3,1,0.378569,0.775344,[35 18] ; [4 4],[33.8852459 19.1147541] ; [5.1147541 2.8852459],0
d3,1,0.418831,0.653594,[28 25] ; [3 5],[26.93442623 26.06557377] ; [4.06557377 3.93442623],0
p12,1,0.466325,0.530671,[ 3 50] ; [1 7],[ 3.47540984 49.52459016] ; [0.52459016 7.47540984],0
r3,1,0.466325,0.530671,[50  3] ; [7 1],[49.52459016  3.47540984] ; [7.47540984 0.52459016],0
s1,1,0.477395,0.504808,[ 3 49] ; [1 7],[ 3.46666667 48.53333333] ; [0.53333333 7.46666667],0
b1,1,0.508049,0.438084,[20 33] ; [4 4],[20.85245902 32.14754098] ; [3.14754098 4.85245902],0
p3,1,0.508049,0.438084,[33 20] ; [4 4],[32.14754098 20.85245902] ; [4.85245902 3.14754098],0
s3,1,0.514516,0.424872,[39 14] ; [5 3],[38.2295082 14.7704918] ; [5.7704918 2.2295082],0
s5,1,0.539084,0.37724,[17 30] ; [2 6],[16.23636364 30.76363636] ; [2.76363636 5.23636364],0
n6,1,0.582392,0.302384,[44  9] ; [6 2],[43.44262295  9.55737705] ; [6.55737705 1.44262295],0
v3,1,0.593888,0.284314,[20 30] ; [4 4],[20.68965517 29.31034483] ; [3.31034483 4.68965517],0
u2,1,0.601448,0.272817,[11  7] ; [3 1],[11.45454545  6.54545455] ; [2.54545455 1.45454545],0
n4,1,0.614728,0.253348,[35 18] ; [6 2],[35.62295082 17.37704918] ; [5.37704918 2.62295082],0
b3,1,0.676523,0.174066,[12 27] ; [2 3],[12.40909091 26.59090909] ; [1.59090909 3.40909091],0
b2,1,0.676523,0.174066,[12 27] ; [2 3],[12.40909091 26.59090909] ; [1.59090909 3.40909091],0
a6,1,0.67952,0.170667,[29 24] ; [5 3],[29.54098361 23.45901639] ; [4.45901639 3.54098361],0
u3,1,0.682665,0.167142,[11  7] ; [2 2],[10.63636364  7.36363636] ; [2.36363636 1.63636364],0
n5,1,0.764223,0.089964,[37 16] ; [6 2],[37.36065574 15.63934426] ; [5.63934426 2.36065574],0
n3,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
n2,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
p11,1,0.847065,0.037197,[45  8] ; [7 1],[45.18032787  7.81967213] ; [6.81967213 1.18032787],0
p1,1,0.847065,0.037197,[ 8 45] ; [1 7],[ 7.81967213 45.18032787] ; [1.18032787 6.81967213],0
d4,1,0.882448,0.021864,[41 12] ; [6 2],[40.83606557 12.16393443] ; [6.16393443 1.83606557],0
p8,1,0.919288,0.010268,[27 25] ; [4 4],[26.86666667 25.13333333] ; [4.13333333 3.86666667],0
s6,1,0.92757,0.008263,[39 12] ; [6 2],[38.89830508 12.10169492] ; [6.10169492 1.89830508],0
s4,1,0.932409,0.007193,[14 39] ; [2 6],[13.90163934 39.09836066] ; [2.09836066 5.90163934],0
