Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,25.249649,[44 33] ; [ 9 51],[29.78832117 47.21167883] ; [23.21167883 36.78832117],1
r1,1,0.000109,14.97024,[68 11] ; [36 27],[57.85915493 21.14084507] ; [46.14084507 16.85915493],1
v1,1,0.001461,10.127077,[53 24] ; [26 36],[43.76258993 33.23741007] ; [35.23741007 26.76258993],0
p8,1,0.001748,9.797356,[58 21] ; [29 32],[49.09285714 29.90714286] ; [37.90714286 23.09285714],0
r4,1,0.002185,9.38713,[72  7] ; [45 18],[65.0915493 13.9084507] ; [51.9084507 11.0915493],0
a5,1,0.003581,8.485144,[65 14] ; [38 25],[57.3028169 21.6971831] ; [45.6971831 17.3028169],0
p11,1,0.027898,4.834373,[71  8] ; [48 15],[66.20422535 12.79577465] ; [52.79577465 10.20422535],0
p7,1,0.030348,4.689466,[62 17] ; [39 24],[56.19014085 22.80985915] ; [44.80985915 18.19014085],0
s8,1,0.063745,3.437177,[26 53] ; [12 51],[21.14084507 57.85915493] ; [16.85915493 46.14084507],0
r3,1,0.066024,3.379193,[74  5] ; [53 10],[70.65492958  8.34507042] ; [56.34507042  6.65492958],0
a2,1,0.074526,3.180418,[21 58] ; [ 9 54],[16.69014085 62.30985915] ; [13.30985915 49.69014085],0
b5,1,0.076044,3.147497,[41 38] ; [42 21],[46.17605634 32.82394366] ; [36.82394366 26.17605634],0
n2,1,0.094264,2.8,[12  2] ; [8 6],[10.  4.] ; [10.  4.],0
p5,1,0.124559,2.359043,[10 69] ; [ 3 57],[ 7.38848921 71.61151079] ; [ 5.61151079 54.38848921],0
d3,1,0.13007,2.291672,[56 23] ; [37 26],[51.73943662 27.26056338] ; [41.26056338 21.73943662],0
s1,1,0.133277,2.253907,[ 2 77] ; [ 5 57],[ 3.92198582 75.07801418] ; [ 3.07801418 58.92198582],0
s5,1,0.142793,2.147605,[15 64] ; [ 6 54],[11.9352518 67.0647482] ; [ 9.0647482 50.9352518],0
a6,1,0.142935,2.146079,[58 21] ; [39 24],[53.96478873 25.03521127] ; [43.03521127 19.96478873],0
d1,1,0.158227,1.991093,[47 32] ; [30 33],[42.83802817 36.16197183] ; [34.16197183 28.83802817],0
v4,1,0.164098,1.936049,[76  3] ; [57  6],[73.99295775  5.00704225] ; [59.00704225  3.99295775],0
n4,1,0.17359,1.851666,[63 16] ; [44 19],[59.52816901 19.47183099] ; [47.47183099 15.52816901],0
p10,1,0.202277,1.625858,[65 13] ; [47 16],[61.95744681 16.04255319] ; [50.04255319 12.95744681],0
a3,1,0.24225,1.367455,[57 22] ; [39 23],[53.78723404 25.21276596] ; [42.21276596 19.78723404],0
n6,1,0.269316,1.220229,[68 11] ; [49 13],[65.55319149 13.44680851] ; [51.44680851 10.55319149],0
p3,1,0.270303,1.215211,[53 26] ; [36 26],[49.86524823 29.13475177] ; [39.13475177 22.86524823],0
a8,1,0.273105,1.201086,[ 5 64] ; [ 7 46],[ 6.78688525 62.21311475] ; [ 5.21311475 47.78688525],0
s4,1,0.30202,1.065253,[ 4 75] ; [ 6 57],[ 5.56338028 73.43661972] ; [ 4.43661972 58.56338028],0
b3,1,0.303346,1.059425,[26 28] ; [15 25],[23.55319149 30.44680851] ; [17.44680851 22.55319149],0
b2,1,0.303346,1.059425,[26 28] ; [15 25],[23.55319149 30.44680851] ; [17.44680851 22.55319149],0
n5,1,0.307385,1.041877,[60 19] ; [43 20],[57.3028169 21.6971831] ; [45.6971831 17.3028169],0
n3,1,0.311405,1.024707,[13  2] ; [10  4],[11.89655172  3.10344828] ; [11.10344828  2.89655172],0
