Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.009125,6.798162,[13  4] ; [ 5 11],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
a3,1,0.023833,5.106739,[12  5] ; [ 5 11],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
a4,1,0.030856,4.660934,[8 9] ; [ 2 14],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
v2,1,0.032509,4.571429,[ 6 10] ; [ 1 15],[ 3.5 12.5] ; [ 3.5 12.5],0
d1,1,0.064517,3.417279,[ 7 10] ; [ 2 14],[ 4.63636364 12.36363636] ; [ 4.36363636 11.63636364],0
d2,1,0.064517,3.417279,[ 7 10] ; [ 2 14],[ 4.63636364 12.36363636] ; [ 4.36363636 11.63636364],0
b2,1,0.115993,2.470604,[3 4] ; [1 9],[1.64705882 5.35294118] ; [2.35294118 7.64705882],0
b3,1,0.115993,2.470604,[3 4] ; [1 9],[1.64705882 5.35294118] ; [2.35294118 7.64705882],0
b4,1,0.118086,2.442528,[ 6 11] ; [10  6],[8.24242424 8.75757576] ; [7.75757576 8.24242424],0
p11,1,0.118989,2.430576,[12  5] ; [7 9],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
r4,1,0.126752,2.331838,[ 6 11] ; [ 2 14],[ 4.12121212 12.87878788] ; [ 3.87878788 12.12121212],0
s6,1,0.161214,1.962804,[ 7 10] ; [ 3 13],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
v3,1,0.166485,1.914312,[ 4 13] ; [ 1 15],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
p3,1,0.199543,1.645714,[ 5 11] ; [ 2 14],[ 3.5 12.5] ; [ 3.5 12.5],0
p4,1,0.207656,1.587696,[9 8] ; [ 5 11],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
p2,1,0.207656,1.587696,[8 9] ; [11  5],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
p7,1,0.220597,1.500487,[10  7] ; [ 6 10],[8.24242424 8.75757576] ; [7.75757576 8.24242424],0
d3,1,0.226398,1.463348,[12  5] ; [8 8],[10.3030303  6.6969697] ; [9.6969697 6.3030303],0
s5,1,0.257673,1.281218,[ 1 16] ; [ 3 13],[ 2.06060606 14.93939394] ; [ 1.93939394 14.06060606],0
p8,1,0.280226,1.165992,[8 8] ; [ 5 11],[6.5 9.5] ; [6.5 9.5],0
p9,1,0.287901,1.129412,[10  6] ; [7 9],[8.5 7.5] ; [8.5 7.5],0
v1,1,0.324534,0.970588,[ 7 10] ; [ 4 12],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
d5,1,0.373301,0.792647,[9 8] ; [ 6 10],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
b1,1,0.382797,0.761701,[13  4] ; [10  6],[11.84848485  5.15151515] ; [11.15151515  4.84848485],0
a7,1,0.392959,0.729766,[11  6] ; [8 8],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
a8,1,0.544197,0.367816,[ 1 15] ; [ 2 14],[ 1.5 14.5] ; [ 1.5 14.5],0
s8,1,0.575942,0.312841,[ 2 15] ; [ 3 13],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
n5,1,0.578709,0.308326,[8 9] ; [ 6 10],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
u3,1,0.610689,0.259174,[2 3] ; [3 8],[1.5625 3.4375] ; [3.4375 7.5625],0
s2,1,0.737139,0.112658,[ 4 13] ; [ 3 13],[ 3.60606061 13.39393939] ; [ 3.39393939 12.60606061],0
s7,1,0.774826,0.081835,[ 3 10] ; [ 3 13],[ 2.68965517 10.31034483] ; [ 3.31034483 12.68965517],0
r1,1,0.805453,0.060662,[ 6 11] ; [ 5 11],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
v4,1,0.805453,0.060662,[11  6] ; [11  5],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
d4,1,0.805453,0.060662,[11  6] ; [11  5],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
n6,1,0.848698,0.036397,[8 9] ; [7 9],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
n3,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
n2,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
p10,1,0.86583,0.028547,[9 8] ; [8 8],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
b5,1,0.881162,0.022349,[10  7] ; [9 7],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
r3,1,0.895261,0.017332,[11  6] ; [10  6],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
s3,1,0.921521,0.009706,[ 4 13] ; [ 4 12],[ 4.12121212 12.87878788] ; [ 3.87878788 12.12121212],0
n1,1,0.93758,0.006133,[1 5] ; [2 9],[1.05882353 4.94117647] ; [1.94117647 9.05882353],0
a1,1,0.964716,0.001957,[ 1 16] ; [ 1 15],[ 1.03030303 15.96969697] ; [ 0.96969697 15.03030303],0
p1,1,0.964716,0.001957,[ 1 16] ; [ 1 15],[ 1.03030303 15.96969697] ; [ 0.96969697 15.03030303],0
p6,1,1.0,0.0,[ 3 13] ; [ 3 13],[ 3. 13.] ; [ 3. 13.],0
