Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,101.678351,[ 99 135] ; [486 135],[160.10526316  73.89473684] ; [424.89473684 196.10526316],1
d3,1,0.0,97.334588,[103 131] ; [490 131],[162.29473684  71.70526316] ; [430.70526316 190.29473684],1
a2,1,0.0,38.416899,[ 21 213] ; [182 442],[ 55.36363636 178.63636364] ; [147.63636364 476.36363636],1
u1,1,0.0,30.383769,[ 14 220] ; [138 486],[ 41.45454545 192.54545455] ; [110.54545455 513.45454545],1
b5,1,0.0,25.372183,[110 124] ; [411 213],[142.09090909  91.90909091] ; [378.90909091 245.09090909],1
d1,1,8.9e-05,15.361699,[112 122] ; [391 233],[137.18181818  96.81818182] ; [365.81818182 258.18181818],1
b1,1,0.000315,12.978479,[110 124] ; [210 414],[ 87.27272727 146.72727273] ; [232.72727273 391.27272727],1
r1,1,0.001199,10.491349,[174  60] ; [521  99],[190.43325527  43.56674473] ; [504.56674473 115.43325527],0
d4,1,0.00141,10.192412,[176  57] ; [528  94],[191.8502924  41.1497076] ; [512.1497076 109.8502924],0
d5,1,0.002824,8.917528,[173  60] ; [518 104],[188.30760234  44.69239766] ; [502.69239766 119.30760234],0
p10,1,0.003899,8.330494,[170  59] ; [510 104],[184.72123369  44.27876631] ; [495.27876631 118.72123369],0
p2,1,0.004101,8.238536,[178  53] ; [530  91],[191.95774648  39.04225352] ; [516.04225352 104.95774648],0
r2,1,0.005896,7.581787,[215  17] ; [601  19],[222.1971831   9.8028169] ; [593.8028169  26.1971831],0
u3,1,0.006238,7.480263,[33 39] ; [115  63],[42.624 29.376] ; [105.376  72.624],0
v2,1,0.006249,7.476926,[110 115] ; [354 241],[127.31707317  97.68292683] ; [336.68292683 258.31707317],0
r4,1,0.006508,7.403891,[211  23] ; [594  30],[219.54545455  14.45454545] ; [585.45454545  38.54545455],0
s5,1,0.039652,4.232701,[ 87 135] ; [189 410],[ 74.63093788 147.36906212] ; [201.36906212 397.63093788],0
p4,1,0.041243,4.166021,[124 106] ; [381 237],[136.96933962  93.03066038] ; [368.03066038 249.96933962],0
a5,1,0.048359,3.897456,[159  75] ; [466 158],[170.45454545  63.54545455] ; [454.54545455 169.45454545],0
p9,1,0.10739,2.592216,[187  44] ; [524  89],[194.59834123  36.40165877] ; [516.40165877  96.59834123],0
s8,1,0.125518,2.347082,[113 120] ; [264 355],[103.09976526 129.90023474] ; [273.90023474 345.09976526],0
b3,1,0.12978,2.295131,[64 87] ; [127 233],[56.44031311 94.55968689] ; [134.55968689 225.44031311],0
b2,1,0.12978,2.295131,[64 87] ; [127 233],[56.44031311 94.55968689] ; [134.55968689 225.44031311],0
s7,1,0.153681,2.035331,[119 106] ; [281 313],[109.89010989 115.10989011] ; [290.10989011 303.89010989],0
n6,1,0.18535,1.754199,[189  43] ; [529  92],[195.28253224  36.71746776] ; [522.71746776  98.28253224],0
