Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,8e-06,19.930872,[48 24] ; [75  4],[58.64900662 13.35099338] ; [64.35099338 14.64900662],1
p7,1,2.1e-05,18.112693,[32 40] ; [61 17],[44.64 27.36] ; [48.36 29.64],1
p3,1,0.000127,14.690224,[24 48] ; [51 28],[35.7615894 36.2384106] ; [39.2384106 39.7615894],1
p6,1,0.000843,11.144092,[17 55] ; [39 39],[26.88 45.12] ; [29.12 48.88],1
p11,1,0.001331,10.298614,[47 25] ; [69 10],[55.31125828 16.68874172] ; [60.68874172 18.31125828],0
b5,1,0.00726,7.207477,[44 28] ; [31 48],[35.7615894 36.2384106] ; [39.2384106 39.7615894],0
p4,1,0.008607,6.902563,[36 36] ; [56 23],[43.86754967 28.13245033] ; [48.13245033 30.86754967],0
a2,1,0.017129,5.683131,[25 47] ; [14 65],[18.59602649 53.40397351] ; [20.40397351 58.59602649],0
u1,1,0.037916,4.308793,[21 51] ; [12 67],[15.73509934 56.26490066] ; [17.26490066 61.73509934],0
p5,1,0.038942,4.263387,[ 3 69] ; [11 68],[ 6.67549669 65.32450331] ; [ 7.32450331 71.67549669],0
v3,1,0.06886,3.309978,[28 40] ; [21 57],[22.82191781 45.17808219] ; [26.17808219 51.82191781],0
a8,1,0.072145,3.233524,[ 4 61] ; [12 64],[ 7.37588652 57.62411348] ; [ 8.62411348 67.37588652],0
p1,1,0.101077,2.688469,[ 3 69] ; [ 9 70],[ 5.7218543 66.2781457] ; [ 6.2781457 72.7218543],0
p9,1,0.113011,2.511603,[57 15] ; [70  9],[60.55629139 11.44370861] ; [66.44370861 12.55629139],0
u3,1,0.1234,2.373626,[12  3] ; [14 11],[9.75 5.25] ; [16.25  8.75],0
a3,1,0.132631,2.261438,[57 15] ; [54 25],[52.92715232 19.07284768] ; [58.07284768 20.92715232],0
a4,1,0.141676,2.159659,[34 38] ; [28 51],[29.56291391 42.43708609] ; [32.43708609 46.56291391],0
a7,1,0.163745,1.939292,[54 18] ; [51 28],[50.06622517 21.93377483] ; [54.93377483 24.06622517],0
d5,1,0.24214,1.368092,[61 11] ; [61 18],[58.17218543 13.82781457] ; [63.82781457 15.17218543],0
s3,1,0.279596,1.169053,[49 23] ; [60 19],[51.97350993 20.02649007] ; [57.02649007 21.97350993],0
s1,1,0.308562,1.036822,[ 2 69] ; [ 5 74],[ 3.31333333 67.68666667] ; [ 3.68666667 75.31333333],0
b3,1,0.368329,0.809295,[20 29] ; [14 30],[17.91397849 31.08602151] ; [16.08602151 27.91397849],0
b2,1,0.368329,0.809295,[20 29] ; [14 30],[17.91397849 31.08602151] ; [16.08602151 27.91397849],0
s6,1,0.385504,0.753075,[57 15] ; [66 12],[59.04 12.96] ; [63.96 14.04],0
