Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-06,20.610041,[68 60] ; [18 65],[52.17061611 75.82938389] ; [33.82938389 49.17061611],1
a6,1,0.000172,14.116726,[86 42] ; [34 49],[72.79620853 55.20379147] ; [47.20379147 35.79620853],1
r4,1,0.012366,6.257632,[116  12] ; [65 18],[109.80094787  18.19905213] ; [71.19905213 11.80094787],0
r2,1,0.026011,4.95532,[120   6] ; [71 11],[115.70192308  10.29807692] ; [75.29807692  6.70192308],0
s8,1,0.035259,4.432596,[49 79] ; [44 39],[56.41706161 71.58293839] ; [36.58293839 46.41706161],0
v1,1,0.039505,4.239032,[52 70] ; [47 35],[59.20588235 62.79411765] ; [39.79411765 42.20588235],0
d2,1,0.051502,3.791861,[ 15 113] ; [18 65],[ 20.01895735 107.98104265] ; [12.98104265 70.01895735],0
u3,1,0.064727,3.41193,[35 21] ; [13 18],[30.89655172 25.10344828] ; [17.10344828 13.89655172],0
v3,1,0.074191,3.187782,[34 91] ; [32 50],[39.85507246 85.14492754] ; [26.14492754 55.85507246],0
b3,1,0.076918,3.12885,[14 48] ; [22 37],[18.44628099 43.55371901] ; [17.55371901 41.44628099],0
b2,1,0.076918,3.12885,[14 48] ; [22 37],[18.44628099 43.55371901] ; [17.55371901 41.44628099],0
a1,1,0.077109,3.124805,[  2 126] ; [ 5 78],[  4.2464455 123.7535545] ; [ 2.7535545 80.2464455],0
n6,1,0.087319,2.923113,[102  24] ; [58 24],[96.92307692 29.07692308] ; [63.07692308 18.92307692],0
r1,1,0.088656,2.898614,[97 29] ; [55 28],[91.63636364 34.36363636] ; [60.36363636 22.63636364],0
r3,1,0.096764,2.758085,[121   5] ; [75  8],[118.16267943   7.83732057] ; [77.83732057  5.16267943],0
a4,1,0.103618,2.648959,[ 25 103] ; [24 58],[29.86666667 98.13333333] ; [19.13333333 62.86666667],0
v4,1,0.152671,2.045363,[120   6] ; [73  8],[117.47826087   8.52173913] ; [75.52173913  5.47826087],0
n3,1,0.155941,2.01315,[23  4] ; [15  7],[20.93877551  6.06122449] ; [17.06122449  4.93877551],0
p2,1,0.16485,1.929166,[107  20] ; [62 19],[103.1875  23.8125] ; [65.8125 15.1875],0
v2,1,0.169698,1.885605,[61 60] ; [32 47],[56.265 64.735] ; [36.735 42.265],0
b5,1,0.171598,1.868924,[77 51] ; [42 41],[72.18957346 55.81042654] ; [46.81042654 36.18957346],0
s7,1,0.177136,1.82149,[61 59] ; [49 32],[65.67164179 54.32835821] ; [44.32835821 36.67164179],0
a3,1,0.211129,1.563666,[70 58] ; [52 30],[74.36190476 53.63809524] ; [47.63809524 34.36190476],0
p9,1,0.214948,1.537783,[102  23] ; [61 21],[98.42995169 26.57004831] ; [64.57004831 17.42995169],0
p12,1,0.275493,1.189192,[  5 122] ; [ 6 75],[  6.71634615 120.28365385] ; [ 4.28365385 76.71634615],0
d4,1,0.305813,1.048674,[80 48] ; [46 37],[76.43601896 51.56398104] ; [49.56398104 33.43601896],0
b1,1,0.381045,0.767329,[54 74] ; [30 53],[50.95734597 77.04265403] ; [33.04265403 49.95734597],0
p5,1,0.440083,0.596065,[ 10 116] ; [ 9 72],[ 11.56521739 114.43478261] ; [ 7.43478261 73.56521739],0
a8,1,0.450051,0.570522,[22 99] ; [11 67],[ 20.06532663 100.93467337] ; [12.93467337 65.06532663],0
b4,1,0.456227,0.555135,[73 55] ; [43 40],[70.36966825 57.63033175] ; [45.63033175 37.36966825],0
p7,1,0.468082,0.526501,[81 41] ; [57 23],[83.34653465 38.65346535] ; [54.65346535 25.34653465],0
d5,1,0.488708,0.47937,[71 57] ; [42 41],[68.54976303 59.45023697] ; [44.45023697 38.54976303],0
p10,1,0.501774,0.451183,[94 30] ; [58 23],[91.94146341 32.05853659] ; [60.05853659 20.94146341],0
p3,1,0.519992,0.413908,[52 76] ; [37 45],[54.24761905 73.75238095] ; [34.75238095 47.24761905],0
a5,1,0.526685,0.400783,[72 56] ; [43 40],[69.76303318 58.23696682] ; [45.23696682 37.76303318],0
p11,1,0.548097,0.360737,[94 34] ; [64 19],[95.84834123 32.15165877] ; [62.15165877 20.84834123],0
s2,1,0.5759,0.312909,[91 37] ; [56 27],[89.17535545 38.82464455] ; [57.82464455 25.17535545],0
s6,1,0.589412,0.291263,[99 28] ; [59 20],[97.40776699 29.59223301] ; [60.59223301 18.40776699],0
n5,1,0.607916,0.26322,[92 35] ; [56 25],[90.36538462 36.63461538] ; [57.63461538 23.36538462],0
p8,1,0.654877,0.199807,[60 66] ; [36 45],[58.43478261 67.56521739] ; [37.56521739 43.43478261],0
a2,1,0.661131,0.192153,[  8 120] ; [ 4 79],[  7.27962085 120.72037915] ; [ 4.72037915 78.27962085],0
s4,1,0.686938,0.16242,[29 98] ; [17 66],[27.81904762 99.18095238] ; [18.18095238 64.81904762],0
p1,1,0.712403,0.135889,[  9 117] ; [ 7 75],[  9.69230769 116.30769231] ; [ 6.30769231 75.69230769],0
n2,1,0.7766,0.080515,[24  3] ; [21  2],[24.3  2.7] ; [20.7  2.3],0
n1,1,0.782017,0.076558,[10 17] ; [ 9 13],[10.46938776 16.53061224] ; [ 8.53061224 13.46938776],0
s1,1,0.820828,0.051293,[  7 118] ; [ 4 78],[  6.64251208 118.35748792] ; [ 4.35748792 77.64251208],0
n4,1,0.823402,0.049806,[90 37] ; [60 23],[90.71428571 36.28571429] ; [59.28571429 23.71428571],0
u1,1,0.846234,0.037607,[  4 124] ; [ 3 80],[  4.2464455 123.7535545] ; [ 2.7535545 80.2464455],0
s5,1,0.855299,0.033256,[41 82] ; [28 53],[41.60294118 81.39705882] ; [27.39705882 53.60294118],0
u2,1,0.920865,0.009869,[26 29] ; [15 16],[26.22093023 28.77906977] ; [14.77906977 16.22093023],0
p6,1,0.922502,0.009464,[37 89] ; [24 56],[37.31067961 88.68932039] ; [23.68932039 56.31067961],0
p4,1,0.930707,0.007561,[64 64] ; [40 41],[63.6937799 64.3062201] ; [40.3062201 40.6937799],0
