Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.496928,[89 17] ; [ 1 16],[77.56097561 28.43902439] ; [12.43902439  4.56097561],1
v4,1,9e-06,19.733872,[96  8] ; [9 8],[90.24793388 13.75206612] ; [14.75206612  2.24793388],1
p11,1,0.001255,10.407186,[74 32] ; [ 5 12],[68.08130081 37.91869919] ; [10.91869919  6.08130081],0
r1,1,0.012637,6.219244,[76 30] ; [ 7 10],[71.52845528 34.47154472] ; [11.47154472  5.52845528],0
p9,1,0.013113,6.153856,[64 40] ; [ 5 12],[59.30578512 44.69421488] ; [9.69421488 7.30578512],0
u3,1,0.013949,6.04459,[21 16] ; [1 8],[17.69565217 19.30434783] ; [4.30434783 4.69565217],0
v2,1,0.01441,5.987228,[51 52] ; [ 3 14],[46.35 56.65] ; [7.65 9.35],0
r3,1,0.01945,5.460599,[96 10] ; [12  5],[93.07317073 12.92682927] ; [14.92682927  2.07317073],0
p8,1,0.03206,4.595267,[40 64] ; [ 2 15],[36.09917355 67.90082645] ; [ 5.90082645 11.09917355],0
b1,1,0.036138,4.390563,[40 66] ; [11  6],[43.95121951 62.04878049] ; [7.04878049 9.95121951],0
d5,1,0.045625,3.995374,[75 30] ; [8 9],[71.43442623 33.56557377] ; [11.56557377  5.43442623],0
a6,1,0.062625,3.466458,[63 43] ; [ 6 11],[59.46341463 46.53658537] ; [9.53658537 7.46341463],0
p10,1,0.066876,3.358081,[55 48] ; [ 5 12],[51.5 51.5] ; [8.5 8.5],0
a5,1,0.073008,3.214058,[56 50] ; [ 5 12],[52.56910569 53.43089431] ; [8.43089431 8.56910569],0
b4,1,0.091891,2.840932,[58 48] ; [13  4],[61.18699187 44.81300813] ; [9.81300813 7.18699187],0
d2,1,0.122261,2.388109,[39 67] ; [ 3 14],[36.19512195 69.80487805] ; [ 5.80487805 11.19512195],0
a7,1,0.126757,2.331775,[75 30] ; [9 8],[72.29508197 32.70491803] ; [11.70491803  5.29508197],0
d3,1,0.139154,2.187292,[69 36] ; [8 9],[66.2704918 38.7295082] ; [10.7295082  6.2704918],0
a3,1,0.139154,2.187292,[69 36] ; [8 9],[66.2704918 38.7295082] ; [10.7295082  6.2704918],0
p6,1,0.1504,2.06819,[22 80] ; [ 1 15],[19.88135593 82.11864407] ; [ 3.11864407 12.88135593],0
p2,1,0.165011,1.927696,[78 26] ; [10  7],[75.63636364 28.36363636] ; [12.36363636  4.63636364],0
n6,1,0.207574,1.588264,[61 45] ; [ 7 10],[58.60162602 47.39837398] ; [9.39837398 7.60162602],0
s7,1,0.207603,1.588065,[20 79] ; [ 1 14],[18.23684211 80.76315789] ; [ 2.76315789 12.23684211],0
v1,1,0.211949,1.558064,[34 70] ; [ 3 14],[31.80165289 72.19834711] ; [ 5.19834711 11.80165289],0
p7,1,0.216856,1.525057,[53 50] ; [ 6 11],[50.64166667 52.35833333] ; [8.35833333 8.64166667],0
d1,1,0.219919,1.504903,[48 58] ; [ 5 12],[45.67479675 60.32520325] ; [7.32520325 9.67479675],0
u2,1,0.264847,1.243243,[20 17] ; [3 6],[18.5 18.5] ; [4.5 4.5],0
p3,1,0.30143,1.067859,[33 72] ; [ 3 13],[31.23966942 73.76033058] ; [ 4.76033058 11.23966942],0
n4,1,0.309515,1.032745,[45 61] ; [ 5 12],[43.08943089 62.91056911] ; [ 6.91056911 10.08943089],0
a1,1,0.321482,0.982908,[  2 104] ; [ 1 16],[  2.58536585 103.41463415] ; [ 0.41463415 16.58536585],0
n1,1,0.354539,0.857143,[ 8 20] ; [1 7],[ 7. 21.] ; [2. 6.],0
s8,1,0.44182,0.59155,[13 93] ; [ 1 16],[12.06504065 93.93495935] ; [ 1.93495935 15.06504065],0
d4,1,0.541543,0.372687,[82 24] ; [12  5],[81.00813008 24.99186992] ; [12.99186992  4.00813008],0
s2,1,0.588446,0.292778,[18 88] ; [ 2 15],[17.23577236 88.76422764] ; [ 2.76422764 14.23577236],0
n3,1,0.611196,0.258437,[17  9] ; [6 2],[17.58823529  8.41176471] ; [5.41176471 2.58823529],0
a2,1,0.633807,0.226934,[10 96] ; [ 1 16],[ 9.4796748 96.5203252] ; [ 1.5203252 15.4796748],0
p4,1,0.674307,0.176606,[36 68] ; [ 5 12],[35.23966942 68.76033058] ; [ 5.76033058 11.23966942],0
b3,1,0.777157,0.080104,[18 39] ; [3 8],[17.60294118 39.39705882] ; [3.39705882 7.60294118],0
b2,1,0.777157,0.080104,[18 39] ; [3 8],[17.60294118 39.39705882] ; [3.39705882 7.60294118],0
n2,1,0.781745,0.076754,[15 12] ; [4 4],[14.65714286 12.34285714] ; [4.34285714 3.65714286],0
a4,1,0.88668,0.020308,[33 73] ; [ 5 12],[32.74796748 73.25203252] ; [ 5.25203252 11.74796748],0
p1,1,0.896159,0.017034,[ 7 97] ; [ 1 16],[ 6.87603306 97.12396694] ; [ 1.12396694 15.87603306],0
s1,1,0.910843,0.012539,[ 7 99] ; [ 1 16],[ 6.89430894 99.10569106] ; [ 1.10569106 15.89430894],0
a8,1,0.912469,0.012083,[ 7 93] ; [ 1 15],[ 6.89655172 93.10344828] ; [ 1.10344828 14.89655172],0
s3,1,0.934805,0.006691,[27 77] ; [ 4 12],[26.86666667 77.13333333] ; [ 4.13333333 11.86666667],0
b5,1,0.96206,0.002263,[63 43] ; [10  7],[62.91056911 43.08943089] ; [10.08943089  6.91056911],0
