Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6e-06,20.542018,[31  6] ; [ 3 13],[23.73584906 13.26415094] ; [10.26415094  5.73584906],1
s3,1,0.000412,12.475735,[29  9] ; [ 4 12],[23.22222222 14.77777778] ; [9.77777778 6.22222222],1
s6,1,0.001443,10.150376,[34  4] ; [8 8],[29.55555556  8.44444444] ; [12.44444444  3.55555556],0
s2,1,0.001778,9.766,[27 11] ; [ 4 12],[21.81481481 16.18518519] ; [9.18518519 6.81481481],0
p3,1,0.00889,6.844748,[34  3] ; [10  6],[30.71698113  6.28301887] ; [13.28301887  2.71698113],0
p8,1,0.019804,5.429067,[34  4] ; [10  6],[30.96296296  7.03703704] ; [13.03703704  2.96296296],0
p4,1,0.04232,4.122354,[36  1] ; [13  3],[34.20754717  2.79245283] ; [14.79245283  1.20754717],0
p6,1,0.049081,3.872586,[26 10] ; [7 9],[22.84615385 13.15384615] ; [10.15384615  5.84615385],0
d3,1,0.066,3.379792,[28  9] ; [8 8],[25.13207547 11.86792453] ; [10.86792453  5.13207547],0
n6,1,0.127059,2.328076,[35  2] ; [13  3],[33.50943396  3.49056604] ; [14.49056604  1.50943396],0
b5,1,0.1323,2.265307,[13 25] ; [9 7],[15.48148148 22.51851852] ; [6.51851852 9.48148148],0
n4,1,0.17159,1.868993,[34  4] ; [12  4],[32.37037037  5.62962963] ; [13.62962963  2.37037037],0
b1,1,0.207821,1.586541,[10 28] ; [7 9],[11.96296296 26.03703704] ; [ 5.03703704 10.96296296],0
a7,1,0.207899,1.585996,[30  8] ; [10  6],[28.14814815  9.85185185] ; [11.85185185  4.14814815],0
n5,1,0.246446,1.343339,[35  3] ; [13  3],[33.77777778  4.22222222] ; [14.22222222  1.77777778],0
s5,1,0.25165,1.314119,[28  8] ; [10  6],[26.30769231  9.69230769] ; [11.69230769  4.30769231],0
p7,1,0.261643,1.260045,[34  3] ; [13  3],[32.81132075  4.18867925] ; [14.18867925  1.81132075],0
a3,1,0.286321,1.136842,[33  5] ; [12  4],[31.66666667  6.33333333] ; [13.33333333  2.66666667],0
p12,1,0.309158,1.03427,[15 23] ; [ 4 12],[13.37037037 24.62962963] ; [ 5.62962963 10.37037037],0
p1,1,0.336509,0.923684,[12 26] ; [ 3 13],[10.55555556 27.44444444] ; [ 4.44444444 11.55555556],0
a1,1,0.34061,0.908135,[ 6 32] ; [ 1 15],[ 4.92592593 33.07407407] ; [ 2.07407407 13.92592593],0
p11,1,0.353812,0.859737,[36  2] ; [14  2],[35.18518519  2.81481481] ; [14.81481481  1.18518519],0
p2,1,0.353812,0.859737,[36  2] ; [14  2],[35.18518519  2.81481481] ; [14.81481481  1.18518519],0
r2,1,0.369382,0.805743,[35  2] ; [14  2],[34.20754717  2.79245283] ; [14.79245283  1.20754717],0
d4,1,0.433219,0.614178,[33  4] ; [13  3],[32.11320755  4.88679245] ; [13.88679245  2.11320755],0
d2,1,0.454133,0.560316,[19 18] ; [10  6],[20.24528302 16.75471698] ; [8.75471698 7.24528302],0
v1,1,0.460033,0.545813,[30  8] ; [14  2],[30.96296296  7.03703704] ; [13.03703704  2.96296296],0
b2,1,0.482305,0.493647,[17 15] ; [9 5],[18.08695652 13.91304348] ; [7.91304348 6.08695652],0
b3,1,0.482305,0.493647,[17 15] ; [9 5],[18.08695652 13.91304348] ; [7.91304348 6.08695652],0
v4,1,0.520282,0.413335,[37  1] ; [15  1],[36.59259259  1.40740741] ; [15.40740741  0.59259259],0
r1,1,0.597359,0.278997,[33  5] ; [13  3],[32.37037037  5.62962963] ; [13.62962963  2.37037037],0
d5,1,0.624938,0.238987,[32  5] ; [13  3],[31.41509434  5.58490566] ; [13.58490566  2.41509434],0
v3,1,0.711645,0.13664,[28 10] ; [11  5],[27.44444444 10.55555556] ; [11.55555556  4.44444444],0
n1,1,0.735317,0.114286,[4 5] ; [1 2],[3.75 5.25] ; [1.25 1.75],0
a2,1,0.756023,0.096539,[ 6 32] ; [ 2 14],[ 5.62962963 32.37037037] ; [ 2.37037037 13.62962963],0
d1,1,0.817211,0.053423,[25 13] ; [10  6],[24.62962963 13.37037037] ; [10.37037037  5.62962963],0
r4,1,0.833097,0.044408,[35  3] ; [15  1],[35.18518519  2.81481481] ; [14.81481481  1.18518519],0
u1,1,0.847866,0.036803,[ 8 30] ; [ 3 13],[ 7.74074074 30.25925926] ; [ 3.25925926 12.74074074],0
u3,1,0.857714,0.032143,[4 1] ; [3 1],[3.88888889 1.11111111] ; [3.11111111 0.88888889],0
r3,1,0.885058,0.020898,[36  2] ; [15  1],[35.88888889  2.11111111] ; [15.11111111  0.88888889],0
a4,1,0.89194,0.018455,[15 23] ; [ 6 10],[14.77777778 23.22222222] ; [6.22222222 9.77777778],0
a5,1,0.91975,0.01015,[28 10] ; [12  4],[28.14814815  9.85185185] ; [11.85185185  4.14814815],0
b4,1,0.946869,0.004441,[21 17] ; [9 7],[21.11111111 16.88888889] ; [8.88888889 7.11111111],0
a8,1,0.970095,0.001405,[ 5 29] ; [ 2 12],[ 4.95833333 29.04166667] ; [ 2.04166667 11.95833333],0
a6,1,0.981416,0.000543,[23 14] ; [10  6],[23.03773585 13.96226415] ; [9.96226415 6.03773585],0
s4,1,0.986442,0.000289,[ 5 33] ; [ 2 13],[ 5.01886792 32.98113208] ; [ 1.98113208 13.01886792],0
n3,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
