Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,40.189979,[104   5] ; [24 21],[90.5974026 18.4025974] ; [37.4025974  7.5974026],1
r2,1,4.7e-05,16.574379,[106   3] ; [33 10],[99.67763158  9.32236842] ; [39.32236842  3.67763158],1
a3,1,0.000147,14.404474,[81 28] ; [19 26],[70.77922078 38.22077922] ; [29.22077922 15.77922078],1
a5,1,0.000615,11.73142,[82 27] ; [21 24],[72.9025974 36.0974026] ; [30.0974026 14.9025974],1
r3,1,0.000927,10.968542,[102   5] ; [35 10],[96.44078947 10.55921053] ; [40.55921053  4.44078947],1
a2,1,0.000969,10.885876,[27 82] ; [ 1 44],[19.81818182 89.18181818] ; [ 8.18181818 36.81818182],1
s6,1,0.002234,9.346683,[93 14] ; [28 15],[86.31333333 20.68666667] ; [34.68666667  8.31333333],0
d3,1,0.003646,8.452037,[87 22] ; [25 19],[79.79084967 29.20915033] ; [32.20915033 11.79084967],0
s3,1,0.004306,8.15022,[82 25] ; [24 21],[74.61842105 32.38157895] ; [31.38157895 13.61842105],0
a6,1,0.006225,7.483914,[72 37] ; [19 26],[64.40909091 44.59090909] ; [26.59090909 18.40909091],0
p4,1,0.007251,7.209691,[67 42] ; [17 28],[59.45454545 49.54545455] ; [24.54545455 20.45454545],0
u1,1,0.008106,7.009918,[24 85] ; [ 2 43],[18.4025974 90.5974026] ; [ 7.5974026 37.4025974],0
v4,1,0.009713,6.686812,[104   4] ; [38  7],[100.23529412   7.76470588] ; [41.76470588  3.23529412],0
d1,1,0.013433,6.111178,[65 44] ; [17 28],[58.03896104 50.96103896] ; [23.96103896 21.03896104],0
n4,1,0.013748,6.070264,[74 35] ; [21 24],[67.24025974 41.75974026] ; [27.75974026 17.24025974],0
n6,1,0.020704,5.351545,[92 16] ; [31 14],[86.82352941 21.17647059] ; [36.17647059  8.82352941],0
