Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.006436,7.423899,[ 4 35] ; [4 4],[ 6.63829787 32.36170213] ; [1.36170213 6.63829787],0
p3,1,0.007279,7.202828,[10 29] ; [6 2],[13.27659574 25.72340426] ; [2.72340426 5.27659574],0
v3,1,0.008477,6.929846,[ 7 32] ; [5 3],[ 9.95744681 29.04255319] ; [2.04255319 5.95744681],0
d1,1,0.008477,6.929846,[ 7 32] ; [5 3],[ 9.95744681 29.04255319] ; [2.04255319 5.95744681],0
r4,1,0.015588,5.848757,[ 8 31] ; [5 3],[10.78723404 28.21276596] ; [2.21276596 5.78723404],0
p4,1,0.016604,5.737731,[16 23] ; [7 1],[19.08510638 19.91489362] ; [3.91489362 4.08510638],0
v1,1,0.041623,4.150474,[10 29] ; [5 3],[12.44680851 26.55319149] ; [2.55319149 5.44680851],0
s6,1,0.058283,3.585587,[15 24] ; [6 2],[17.42553191 21.57446809] ; [3.57446809 4.42553191],0
d2,1,0.06222,3.477196,[11 28] ; [5 3],[13.27659574 25.72340426] ; [2.72340426 5.27659574],0
p12,1,0.066529,3.366652,[ 2 37] ; [2 6],[ 3.31914894 35.68085106] ; [0.68085106 7.31914894],0
p1,1,0.148096,2.091758,[ 3 36] ; [2 6],[ 4.14893617 34.85106383] ; [0.85106383 7.14893617],0
a3,1,0.155022,2.022129,[18 20] ; [6 2],[19.82608696 18.17391304] ; [4.17391304 3.82608696],0
p10,1,0.168041,1.900338,[23 14] ; [7 1],[24.66666667 12.33333333] ; [5.33333333 2.66666667],0
d5,1,0.27031,1.215171,[21 18] ; [6 2],[22.40425532 16.59574468] ; [4.59574468 3.40425532],0
v4,1,0.27031,1.215171,[21 18] ; [6 2],[22.40425532 16.59574468] ; [4.59574468 3.40425532],0
a7,1,0.27031,1.215171,[18 21] ; [2 6],[16.59574468 22.40425532] ; [3.40425532 4.59574468],0
p11,1,0.292667,1.107314,[27 12] ; [7 1],[28.21276596 10.78723404] ; [5.78723404 2.21276596],0
r1,1,0.295727,1.093362,[12 27] ; [4 4],[13.27659574 25.72340426] ; [2.72340426 5.27659574],0
v2,1,0.322191,0.980031,[16 21] ; [5 3],[17.26666667 19.73333333] ; [3.73333333 4.26666667],0
p7,1,0.32885,0.953421,[17 22] ; [5 3],[18.25531915 20.74468085] ; [3.74468085 4.25531915],0
a6,1,0.32885,0.953421,[17 22] ; [5 3],[18.25531915 20.74468085] ; [3.74468085 4.25531915],0
d4,1,0.329071,0.95255,[22 17] ; [6 2],[23.23404255 15.76595745] ; [4.76595745 3.23404255],0
b3,1,0.332922,0.9375,[ 7 17] ; [3 3],[ 8. 16.] ; [2. 4.],0
b2,1,0.332922,0.9375,[ 7 17] ; [3 3],[ 8. 16.] ; [2. 4.],0
s8,1,0.353413,0.861165,[11 28] ; [1 7],[ 9.95744681 29.04255319] ; [2.04255319 5.95744681],0
p9,1,0.366701,0.814815,[26 10] ; [7 1],[27.  9.] ; [6. 2.],0
u3,1,0.420246,0.649627,[ 5 16] ; [1 1],[ 5.47826087 15.52173913] ; [0.52173913 1.47826087],0
u1,1,0.437168,0.603705,[ 2 37] ; [1 7],[ 2.4893617 36.5106383] ; [0.5106383 7.4893617],0
a2,1,0.437168,0.603705,[ 2 37] ; [1 7],[ 2.4893617 36.5106383] ; [0.5106383 7.4893617],0
p8,1,0.454785,0.558699,[14 25] ; [4 4],[14.93617021 24.06382979] ; [3.06382979 4.93617021],0
p2,1,0.470398,0.521041,[24 15] ; [6 2],[24.89361702 14.10638298] ; [5.10638298 2.89361702],0
a5,1,0.477489,0.504593,[19 20] ; [5 3],[19.91489362 19.08510638] ; [4.08510638 3.91489362],0
a4,1,0.494566,0.466578,[10 29] ; [3 5],[10.78723404 28.21276596] ; [2.21276596 5.78723404],0
d3,1,0.544658,0.366975,[15 24] ; [4 4],[15.76595745 23.23404255] ; [3.23404255 4.76595745],0
b1,1,0.562427,0.335519,[20 19] ; [5 3],[20.74468085 18.25531915] ; [4.25531915 3.74468085],0
r3,1,0.613492,0.255122,[25 13] ; [6 2],[25.60869565 12.39130435] ; [5.39130435 2.60869565],0
n2,1,0.73244,0.116883,[10  6] ; [1 1],[9.77777778 6.22222222] ; [1.22222222 0.77777778],0
a8,1,0.74827,0.10299,[ 7 29] ; [1 6],[ 6.69767442 29.30232558] ; [1.30232558 5.69767442],0
s3,1,0.821692,0.050791,[11 27] ; [2 6],[10.73913043 27.26086957] ; [2.26086957 5.73913043],0
b5,1,0.842578,0.039441,[21 18] ; [4 4],[20.74468085 18.25531915] ; [4.25531915 3.74468085],0
b4,1,0.842578,0.039441,[21 18] ; [4 4],[20.74468085 18.25531915] ; [4.25531915 3.74468085],0
n4,1,0.853533,0.034082,[28 11] ; [6 2],[28.21276596 10.78723404] ; [5.78723404 2.21276596],0
p6,1,0.936794,0.006288,[ 9 29] ; [2 6],[ 9.08695652 28.91304348] ; [1.91304348 6.08695652],0
s2,1,0.938598,0.005934,[10 28] ; [2 6],[ 9.91304348 28.08695652] ; [2.08695652 5.91304348],0
u2,1,0.948644,0.004149,[11 10] ; [1 1],[10.95652174 10.04347826] ; [1.04347826 0.95652174],0
s7,1,1.0,0.0,[10 25] ; [2 5],[10. 25.] ; [2. 5.],0
