Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.1e-05,18.095238,[20 94] ; [20 18],[30. 84.] ; [10. 28.],1
u1,1,0.000248,13.42639,[  9 105] ; [12 26],[15.75 98.25] ; [ 5.25 32.75],1
p6,1,0.000636,11.668904,[24 86] ; [19 18],[32.17687075 77.82312925] ; [10.82312925 26.17687075],1
s2,1,0.000751,11.359815,[16 98] ; [15 23],[23.25 90.75] ; [ 7.75 30.25],1
p3,1,0.003546,8.502928,[46 66] ; [26 12],[53.76 58.24] ; [18.24 19.76],0
a8,1,0.009787,6.673266,[ 7 99] ; [ 7 24],[10.83211679 95.16788321] ; [ 3.16788321 27.83211679],0
a3,1,0.017348,5.660819,[80 34] ; [34  4],[85.5 28.5] ; [28.5  9.5],0
p7,1,0.022834,5.181054,[66 47] ; [30  8],[71.8410596 41.1589404] ; [24.1589404 13.8410596],0
b2,1,0.023117,5.159704,[26 44] ; [18 11],[31.11111111 38.88888889] ; [12.88888889 16.11111111],0
b3,1,0.023117,5.159704,[26 44] ; [18 11],[31.11111111 38.88888889] ; [12.88888889 16.11111111],0
s3,1,0.026306,4.93578,[24 89] ; [15 23],[29.18543046 83.81456954] ; [ 9.81456954 28.18543046],0
v3,1,0.059785,3.543343,[54 57] ; [24 12],[58.89795918 52.10204082] ; [19.10204082 16.89795918],0
p4,1,0.145478,2.119036,[52 59] ; [23 15],[55.87248322 55.12751678] ; [19.12751678 18.87248322],0
p10,1,0.148826,2.084243,[82 31] ; [32  6],[85.31125828 27.68874172] ; [28.68874172  9.31125828],0
a5,1,0.170165,1.881491,[80 34] ; [31  7],[83.25 30.75] ; [27.75 10.25],0
d2,1,0.173245,1.854635,[51 62] ; [22 16],[54.62913907 58.37086093] ; [18.37086093 19.62913907],0
n5,1,0.189721,1.719785,[70 43] ; [28 10],[73.33774834 39.66225166] ; [24.66225166 13.33774834],0
s5,1,0.194895,1.680223,[16 94] ; [ 9 29],[18.58108108 91.41891892] ; [ 6.41891892 31.58108108],0
a4,1,0.220127,1.503541,[47 67] ; [20 18],[50.25 63.75] ; [16.75 21.25],0
n4,1,0.238216,1.39112,[82 32] ; [31  7],[84.75 29.25] ; [28.25  9.75],0
u3,1,0.241964,1.369118,[15 19] ; [3 1],[16.10526316 17.89473684] ; [1.89473684 2.10526316],0
p12,1,0.269373,1.219938,[  4 109] ; [ 3 35],[  5.2384106 107.7615894] ; [ 1.7615894 36.2384106],0
a2,1,0.270147,1.216,[18 96] ; [ 9 29],[20.25 93.75] ; [ 6.75 31.25],0
