Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.006821,7.319606,[54 23] ; [ 6 11],[49.14893617 27.85106383] ; [10.85106383  6.14893617],0
n6,1,0.008588,6.906468,[76  2] ; [13  3],[73.85106383  4.14893617] ; [15.14893617  0.85106383],0
a3,1,0.009034,6.816058,[65 14] ; [9 8],[60.89583333 18.10416667] ; [13.10416667  3.89583333],0
r2,1,0.012455,6.244906,[75  4] ; [13  4],[72.41666667  6.58333333] ; [15.58333333  1.41666667],0
d2,1,0.015658,5.840824,[48 30] ; [ 5 12],[43.51578947 34.48421053] ; [9.48421053 7.51578947],0
s8,1,0.020219,5.392909,[50 26] ; [ 6 11],[45.76344086 30.23655914] ; [10.23655914  6.76344086],0
s2,1,0.037259,4.338535,[49 29] ; [ 6 11],[45.15789474 32.84210526] ; [9.84210526 7.15789474],0
a4,1,0.041895,4.139444,[40 39] ; [ 4 13],[36.20833333 42.79166667] ; [7.79166667 9.20833333],0
r4,1,0.051054,3.806487,[73  6] ; [13  4],[70.77083333  8.22916667] ; [15.22916667  1.77083333],0
s5,1,0.05163,3.787713,[50 22] ; [7 9],[46.63636364 25.36363636] ; [10.36363636  5.63636364],0
v3,1,0.05271,3.753084,[47 30] ; [ 6 11],[43.41489362 33.58510638] ; [9.58510638 7.41489362],0
p1,1,0.056043,3.650768,[28 51] ; [ 2 15],[24.6875 54.3125] ; [ 5.3125 11.6875],0
p6,1,0.066498,3.367418,[53 25] ; [7 9],[49.78723404 28.21276596] ; [10.21276596  5.78723404],0
n1,1,0.067113,3.352259,[10  3] ; [2 4],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
s7,1,0.079157,3.082126,[56 18] ; [8 7],[53.21348315 20.78651685] ; [10.78651685  4.21348315],0
n4,1,0.083951,2.986694,[77  2] ; [15  2],[75.70833333  3.29166667] ; [16.29166667  0.70833333],0
s6,1,0.084964,2.96729,[63  9] ; [12  5],[60.6741573 11.3258427] ; [14.3258427  2.6741573],0
a5,1,0.089514,2.883098,[62 17] ; [10  7],[59.25 19.75] ; [12.75  4.25],0
n2,1,0.090969,2.857143,[12  2] ; [3 3],[10.5  3.5] ; [4.5 1.5],0
a2,1,0.094274,2.799828,[19 60] ; [ 1 16],[16.45833333 62.54166667] ; [ 3.54166667 13.45833333],0
d5,1,0.111938,2.526647,[64 14] ; [11  6],[61.57894737 16.42105263] ; [13.42105263  3.57894737],0
u2,1,0.145251,2.121429,[6 8] ; [6 2],[7.63636364 6.36363636] ; [4.36363636 3.63636364],0
p3,1,0.148106,2.091646,[63 15] ; [11  6],[60.75789474 17.24210526] ; [13.24210526  3.75789474],0
a7,1,0.151169,2.060413,[56 23] ; [9 8],[53.48958333 25.51041667] ; [11.51041667  5.48958333],0
v4,1,0.185214,1.755279,[75  3] ; [15  2],[73.89473684  4.10526316] ; [16.10526316  0.89473684],0
d1,1,0.316815,1.00205,[52 27] ; [9 8],[50.19791667 28.80208333] ; [10.80208333  6.19791667],0
a6,1,0.335171,0.928814,[51 27] ; [9 8],[49.26315789 28.73684211] ; [10.73684211  6.26315789],0
s4,1,0.347371,0.883036,[11 66] ; [ 1 16],[ 9.82978723 67.17021277] ; [ 2.17021277 14.82978723],0
