Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.242187,[ 63 153] ; [94 81],[ 86.7314578 129.2685422] ; [ 70.2685422 104.7314578],1
p10,1,0.002939,8.844833,[159  61] ; [150  27],[171.23425693  48.76574307] ; [137.76574307  39.23425693],0
p9,1,0.003514,8.519239,[166  52] ; [156  22],[177.26262626  40.73737374] ; [144.73737374  33.26262626],0
p6,1,0.003835,8.360408,[ 67 153] ; [78 97],[ 80.75949367 139.24050633] ; [ 64.24050633 110.75949367],0
s6,1,0.004377,8.120227,[127  90] ; [128  49],[140.44416244  76.55583756] ; [114.55583756  62.44416244],0
r3,1,0.005788,7.6153,[191  29] ; [170   9],[199.04761905  20.95238095] ; [161.95238095  17.04761905],0
r1,1,0.007133,7.239113,[161  61] ; [150  29],[172.17456359  49.82543641] ; [138.82543641  40.17456359],0
p2,1,0.009475,6.730992,[170  51] ; [155  23],[180.01253133  40.98746867] ; [144.98746867  33.01253133],0
n1,1,0.01197,6.31536,[25 42] ; [20 11],[30.76530612 36.23469388] ; [14.23469388 16.76530612],0
s8,1,0.0123,6.267035,[ 69 152] ; [ 78 102],[ 81.01496259 139.98503741] ; [ 65.98503741 114.01496259],0
s5,1,0.014218,6.010861,[ 56 157] ; [ 66 108],[ 67.14728682 145.85271318] ; [ 54.85271318 119.14728682],0
b5,1,0.016538,5.744771,[118 104] ; [117  63],[129.7761194  92.2238806] ; [105.2238806  74.7761194],0
v4,1,0.017066,5.689613,[193  28] ; [168  10],[199.95238095  21.04761905] ; [161.04761905  16.95238095],0
r4,1,0.020117,5.401685,[180  42] ; [161  19],[188.31343284  33.68656716] ; [152.68656716  27.31343284],0
p4,1,0.022474,5.208732,[117 105] ; [114  64],[128.205  93.795] ; [102.795  75.205],0
n5,1,0.032515,4.571158,[173  46] ; [156  23],[181.03266332  37.96733668] ; [147.96733668  31.03266332],0
b2,1,0.038415,4.286569,[40 88] ; [54 69],[47.93625498 80.06374502] ; [46.06374502 76.93625498],0
b3,1,0.038415,4.286569,[40 88] ; [54 69],[47.93625498 80.06374502] ; [46.06374502 76.93625498],0
r2,1,0.043157,4.089223,[193  23] ; [169   9],[198.45685279  17.54314721] ; [163.54314721  14.45685279],0
n2,1,0.047026,3.944474,[43 24] ; [26  5],[47.17346939 19.82653061] ; [21.82653061  9.17346939],0
p11,1,0.050423,3.827351,[163  59] ; [147  33],[171.19402985  50.80597015] ; [138.80597015  41.19402985],0
p7,1,0.053062,3.741965,[123  97] ; [114  60],[132.33502538  87.66497462] ; [104.66497462  69.33502538],0
u3,1,0.05478,3.68878,[32 43] ; [29 19],[37.19512195 37.80487805] ; [23.80487805 24.19512195],0
p8,1,0.060662,3.5192,[ 99 122] ; [95 80],[108.26767677 112.73232323] ; [85.73232323 89.26767677],0
b1,1,0.087998,2.910629,[ 95 127] ; [ 62 118],[ 86.70149254 135.29850746] ; [ 70.29850746 109.70149254],0
p1,1,0.088762,2.896686,[ 21 199] ; [  9 170],[ 16.54135338 203.45864662] ; [ 13.45864662 165.54135338],0
a3,1,0.097157,2.751602,[146  75] ; [132  47],[153.595  67.405] ; [124.405  54.595],0
u1,1,0.102457,2.66688,[ 33 189] ; [ 38 142],[ 39.20895522 182.79104478] ; [ 31.79104478 148.20895522],0
n3,1,0.108868,2.570579,[42 24] ; [24  6],[45.375 20.625] ; [20.625  9.375],0
a7,1,0.116456,2.464345,[148  74] ; [133  47],[155.17910448  66.82089552] ; [125.82089552  54.17910448],0
d3,1,0.15141,2.057988,[139  83] ; [125  55],[145.79104478  76.20895522] ; [118.20895522  61.79104478],0
p3,1,0.179042,1.805558,[ 95 126] ; [89 90],[101.66 119.34] ; [82.34 96.66],0
n6,1,0.21327,1.549092,[183  37] ; [156  22],[187.38693467  32.61306533] ; [151.61306533  26.38693467],0
s2,1,0.232797,1.423691,[ 94 128] ; [86 92],[ 99.9 122.1] ; [80.1 97.9],0
a8,1,0.251705,1.313817,[ 28 184] ; [ 28 132],[ 31.91397849 180.08602151] ; [ 24.08602151 135.91397849],0
p12,1,0.327982,0.956851,[ 10 211] ; [ 12 165],[ 12.2160804 208.7839196] ; [  9.7839196 167.2160804],0
a2,1,0.424433,0.638009,[ 48 174] ; [ 45 135],[ 51.35820896 170.64179104] ; [ 41.64179104 138.35820896],0
s1,1,0.436375,0.605797,[ 11 210] ; [  6 171],[  9.43969849 211.56030151] ; [  7.56030151 169.43969849],0
a5,1,0.447323,0.577427,[159  63] ; [135  45],[162.35820896  59.64179104] ; [131.64179104  48.35820896],0
p5,1,0.473288,0.514289,[ 19 203] ; [ 19 159],[ 21.09 200.91] ; [ 16.91 161.09],0
s3,1,0.544142,0.367917,[121  99] ; [93 86],[117.99498747 102.00501253] ; [96.00501253 82.99498747],0
a1,1,0.550307,0.356767,[ 10 212] ; [  6 174],[  8.8358209 213.1641791] ; [  7.1641791 172.8358209],0
d4,1,0.570522,0.32181,[175  47] ; [146  34],[177.26865672  44.73134328] ; [143.73134328  36.26865672],0
u2,1,0.605463,0.266834,[39 35] ; [23 25],[37.60655738 36.39344262] ; [24.39344262 23.60655738],0
d2,1,0.679834,0.170313,[106 114] ; [83 97],[103.95 116.05] ; [85.05 94.95],0
s4,1,0.736945,0.11283,[ 39 179] ; [ 34 143],[ 40.28860759 177.71139241] ; [ 32.71139241 144.28860759],0
a6,1,0.740728,0.109488,[147  75] ; [122  58],[148.55223881  73.44776119] ; [120.44776119  59.55223881],0
d5,1,0.772981,0.083219,[175  47] ; [144  36],[176.1641791  45.8358209] ; [142.8358209  37.1641791],0
u4,1,0.832764,0.044588,[  2 220] ; [  2 178],[  2.20895522 219.79104478] ; [  1.79104478 178.20895522],0
a4,1,0.879907,0.022827,[101 120] ; [80 98],[100.25313283 120.74686717] ; [80.74686717 97.25313283],0
b4,1,0.908396,0.013239,[127  95] ; [104  76],[127.56716418  94.43283582] ; [103.43283582  76.56716418],0
d1,1,0.937729,0.006103,[120 102] ; [98 82],[120.3880597 101.6119403] ; [97.6119403 82.3880597],0
s7,1,0.972226,0.001212,[ 97 118] ; [77 93],[ 97.16883117 117.83116883] ; [76.83116883 93.16883117],0
