Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.002349,9.25456,[ 7 37] ; [15 16],[12.90666667 31.09333333] ; [ 9.09333333 21.90666667],0
b3,1,0.002349,9.25456,[ 7 37] ; [15 16],[12.90666667 31.09333333] ; [ 9.09333333 21.90666667],0
s7,1,0.033062,4.542588,[30 45] ; [34 24],[36.09022556 38.90977444] ; [27.90977444 30.09022556],0
p7,1,0.046902,3.948887,[49 29] ; [26 31],[43.33333333 34.66666667] ; [31.66666667 25.33333333],0
r4,1,0.051294,3.798644,[71  7] ; [46 12],[67.10294118 10.89705882] ; [49.89705882  8.10294118],0
p1,1,0.064568,3.415992,[ 3 75] ; [ 7 50],[ 5.77777778 72.22222222] ; [ 4.22222222 52.77777778],0
u2,1,0.064853,3.408718,[14 12] ; [16  4],[16.95652174  9.04347826] ; [13.04347826  6.95652174],0
s4,1,0.075741,3.153996,[27 51] ; [12 46],[22.36764706 55.63235294] ; [16.63235294 41.36764706],0
n3,1,0.07668,3.133903,[22  4] ; [11  7],[19.5  6.5] ; [13.5  4.5],0
r3,1,0.085294,2.961028,[77  1] ; [54  4],[75.13235294  2.86764706] ; [55.86764706  2.13235294],0
v2,1,0.105001,2.627893,[35 40] ; [33 21],[39.53488372 35.46511628] ; [28.46511628 25.53488372],0
d3,1,0.106189,2.610036,[62 16] ; [39 19],[57.92647059 20.07352941] ; [43.07352941 14.92647059],0
p10,1,0.186978,1.74127,[60 18] ; [38 19],[56.62222222 21.37777778] ; [41.37777778 15.62222222],0
n2,1,0.188722,1.727564,[17  9] ; [15  3],[18.90909091  7.09090909] ; [13.09090909  4.90909091],0
r2,1,0.232587,1.42497,[72  5] ; [49  7],[70.05263158  6.94736842] ; [50.94736842  5.05263158],0
u3,1,0.243296,1.361393,[15 10] ; [16  5],[16.84782609  8.15217391] ; [14.15217391  6.84782609],0
n1,1,0.258362,1.277513,[ 6 20] ; [ 7 11],[ 7.68181818 18.31818182] ; [ 5.31818182 12.68181818],0
v3,1,0.265804,1.238274,[21 56] ; [20 35],[23.91666667 53.08333333] ; [17.08333333 37.91666667],0
b5,1,0.283047,1.1524,[44 34] ; [38 20],[47.02941176 30.97058824] ; [34.97058824 23.02941176],0
a4,1,0.2925,1.108081,[28 50] ; [26 32],[30.97058824 47.02941176] ; [23.02941176 34.97058824],0
d2,1,0.293266,1.104569,[38 40] ; [23 35],[34.98529412 43.01470588] ; [26.01470588 31.98529412],0
p4,1,0.2982,1.082228,[42 36] ; [26 32],[39. 39.] ; [29. 29.],0
p5,1,0.309234,1.033943,[ 6 72] ; [ 2 55],[ 4.62222222 73.37777778] ; [ 3.37777778 53.62222222],0
d1,1,0.320738,0.985935,[47 31] ; [30 28],[44.16176471 33.83823529] ; [32.83823529 25.16176471],0
a2,1,0.37733,0.779382,[14 64] ; [14 44],[16.05882353 61.94117647] ; [11.94117647 46.05882353],0
a7,1,0.410871,0.676278,[60 18] ; [41 17],[57.92647059 20.07352941] ; [43.07352941 14.92647059],0
s3,1,0.430422,0.621684,[53 25] ; [35 22],[50.84444444 27.15555556] ; [37.15555556 19.84444444],0
n6,1,0.430422,0.621684,[53 25] ; [35 22],[50.84444444 27.15555556] ; [37.15555556 19.84444444],0
b4,1,0.475789,0.508501,[53 25] ; [36 22],[51.04411765 26.95588235] ; [37.95588235 20.04411765],0
