Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.7e-05,17.630214,[ 1 26] ; [17 14],[ 8.37931034 18.62068966] ; [ 9.62068966 21.37931034],1
p11,1,0.000872,11.081236,[ 6 22] ; [20 11],[12.33898305 15.66101695] ; [13.66101695 17.33898305],1
n6,1,0.000889,11.045115,[ 7 20] ; [21  9],[13.26315789 13.73684211] ; [14.73684211 15.26315789],1
d5,1,0.002724,8.983707,[12 16] ; [25  6],[17.55932203 10.44067797] ; [19.44067797 11.55932203],0
d4,1,0.004521,8.061578,[15 13] ; [27  4],[19.93220339  8.06779661] ; [22.06779661  8.93220339],0
n3,1,0.005458,7.721212,[ 4 11] ; [9 2],[7.5 7.5] ; [5.5 5.5],0
p10,1,0.006514,7.402293,[ 5 22] ; [16 14],[ 9.94736842 17.05263158] ; [11.05263158 18.94736842],0
b4,1,0.013023,6.165964,[14 14] ; [25  6],[18.50847458  9.49152542] ; [20.49152542 10.50847458],0
p9,1,0.013495,6.103023,[ 7 20] ; [17 12],[11.57142857 15.42857143] ; [12.42857143 16.57142857],0
p1,1,0.014708,5.951079,[ 7 21] ; [ 1 30],[ 3.79661017 24.20338983] ; [ 4.20338983 26.79661017],0
a7,1,0.025165,5.012491,[ 9 19] ; [19 12],[13.28813559 14.71186441] ; [14.71186441 16.28813559],0
a1,1,0.030842,4.661708,[ 6 22] ; [ 1 30],[ 3.3220339 24.6779661] ; [ 3.6779661 27.3220339],0
s6,1,0.035099,4.440333,[ 4 24] ; [12 19],[ 7.59322034 20.40677966] ; [ 8.40677966 22.59322034],0
r1,1,0.041462,4.157029,[ 8 20] ; [17 14],[11.86440678 16.13559322] ; [13.13559322 17.86440678],0
p2,1,0.054476,3.698044,[ 6 22] ; [14 17],[ 9.49152542 18.50847458] ; [10.50847458 20.49152542],0
p8,1,0.137305,2.207905,[ 3 24] ; [ 8 22],[ 5.21052632 21.78947368] ; [ 5.78947368 24.21052632],0
s7,1,0.150088,2.071356,[ 4 22] ; [ 9 19],[ 6.25925926 19.74074074] ; [ 6.74074074 21.25925926],0
a8,1,0.155805,2.014474,[ 2 25] ; [ 6 23],[ 3.85714286 23.14285714] ; [ 4.14285714 24.85714286],0
u2,1,0.159128,1.982492,[ 1 10] ; [4 8],[2.39130435 8.60869565] ; [2.60869565 9.39130435],0
a6,1,0.162292,1.952739,[15 13] ; [11 20],[12.33898305 15.66101695] ; [13.66101695 17.33898305],0
s1,1,0.176103,1.830212,[ 5 23] ; [ 2 29],[ 3.3220339 24.6779661] ; [ 3.6779661 27.3220339],0
n2,1,0.193931,1.6875,[ 5 10] ; [7 5],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
n5,1,0.204666,1.60876,[19  9] ; [16 15],[16.61016949 11.38983051] ; [18.38983051 12.61016949],0
b1,1,0.243308,1.361322,[16 12] ; [13 18],[13.76271186 14.23728814] ; [15.23728814 15.76271186],0
s2,1,0.244766,1.352933,[ 4 24] ; [ 8 22],[ 5.79310345 22.20689655] ; [ 6.20689655 23.79310345],0
p3,1,0.249553,1.325802,[ 8 20] ; [ 5 26],[ 6.16949153 21.83050847] ; [ 6.83050847 24.16949153],0
r2,1,0.295053,1.096422,[13 14] ; [18 11],[14.94642857 12.05357143] ; [16.05357143 12.94642857],0
d1,1,0.305914,1.048235,[ 9 19] ; [14 17],[10.91525424 17.08474576] ; [12.08474576 18.91525424],0
b5,1,0.325278,0.967606,[10 18] ; [15 16],[11.86440678 16.13559322] ; [13.13559322 17.86440678],0
a4,1,0.34939,0.875671,[11 16] ; [ 9 22],[ 9.31034483 17.68965517] ; [10.68965517 20.31034483],0
p7,1,0.40599,0.690513,[ 8 20] ; [ 6 25],[ 6.6440678 21.3559322] ; [ 7.3559322 23.6440678],0
p5,1,0.473213,0.514464,[ 2 25] ; [ 1 30],[ 1.39655172 25.60344828] ; [ 1.60344828 29.39655172],0
s5,1,0.511231,0.431548,[ 3 25] ; [ 5 25],[ 3.86206897 24.13793103] ; [ 4.13793103 25.86206897],0
d3,1,0.518764,0.41635,[13 15] ; [17 14],[14.23728814 13.76271186] ; [15.76271186 15.23728814],0
a2,1,0.55716,0.344645,[ 3 25] ; [ 2 29],[ 2.37288136 25.62711864] ; [ 2.62711864 28.37288136],0
s4,1,0.597166,0.279291,[ 5 23] ; [ 4 27],[ 4.27118644 23.72881356] ; [ 4.72881356 26.27118644],0
