Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,6e-06,20.59881,[23 10] ; [29 81],[12. 21.] ; [40. 70.],1
p2,1,0.015328,5.87833,[24 10] ; [53 60],[17.80952381 16.19047619] ; [59.19047619 53.80952381],0
p1,1,0.557531,0.343997,[ 1 33] ; [  6 105],[ 1.64137931 32.35862069] ; [  5.35862069 105.64137931],0
p11,1,0.798308,0.065299,[18 16] ; [57 56],[17.34693878 16.65306122] ; [57.65306122 55.34693878],0
b1,1,0.989312,0.000179,[15 19] ; [50 63],[15.03401361 18.96598639] ; [49.96598639 63.03401361],0
