Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,7e-06,20.068518,[19 14] ; [ 4 38],[10.12 22.88] ; [12.88 29.12],1
s3,1,3.9e-05,16.906891,[23  9] ; [ 9 30],[14.42253521 17.57746479] ; [17.57746479 21.42253521],1
s2,1,0.000283,13.180085,[21 12] ; [ 9 32],[13.37837838 19.62162162] ; [16.62162162 24.37837838],1
s6,1,0.011652,6.363068,[22 10] ; [16 25],[16.65753425 15.34246575] ; [21.34246575 19.65753425],0
d4,1,0.013835,6.059097,[28  5] ; [24 17],[23.18918919  9.81081081] ; [28.81081081 12.18918919],0
a3,1,0.016882,5.708599,[24  9] ; [19 23],[18.92 14.08] ; [24.08 17.92],0
u3,1,0.019596,5.447564,[7 2] ; [ 7 15],[4.06451613 4.93548387] ; [ 9.93548387 12.06451613],0
v3,1,0.032237,4.585846,[11 22] ; [ 5 35],[ 7.23287671 25.76712329] ; [ 8.76712329 31.23287671],0
b3,1,0.034241,4.482638,[10 19] ; [ 2 20],[ 6.82352941 22.17647059] ; [ 5.17647059 16.82352941],0
b2,1,0.034241,4.482638,[10 19] ; [ 2 20],[ 6.82352941 22.17647059] ; [ 5.17647059 16.82352941],0
n3,1,0.037142,4.343891,[6 7] ; [14  3],[8.66666667 4.33333333] ; [11.33333333  5.66666667],0
a5,1,0.054992,3.682328,[23 10] ; [20 22],[18.92 14.08] ; [24.08 17.92],0
p1,1,0.089994,2.874487,[ 1 32] ; [ 6 35],[ 3.12162162 29.87837838] ; [ 3.87837838 37.12162162],0
p6,1,0.099481,2.713846,[12 20] ; [ 8 32],[ 8.88888889 23.11111111] ; [11.11111111 28.88888889],0
s4,1,0.103625,2.648852,[10 23] ; [ 6 35],[ 7.13513514 25.86486486] ; [ 8.86486486 32.13513514],0
p7,1,0.116256,2.46705,[19 12] ; [17 23],[15.71830986 15.28169014] ; [20.28169014 19.71830986],0
s5,1,0.13303,2.256784,[10 21] ; [ 7 34],[ 7.31944444 23.68055556] ; [ 9.68055556 31.31944444],0
d5,1,0.170908,1.874958,[26  7] ; [27 15],[23.32  9.68] ; [29.68 12.32],0
r2,1,0.174867,1.840716,[19  9] ; [20 19],[16.29850746 11.70149254] ; [22.70149254 16.29850746],0
n2,1,0.183416,1.76973,[12  2] ; [11  6],[10.38709677  3.61290323] ; [12.61290323  4.38709677],0
p3,1,0.238651,1.388543,[14 19] ; [12 29],[11.59459459 21.40540541] ; [14.40540541 26.59459459],0
n4,1,0.264525,1.244918,[23 10] ; [24 18],[20.68 12.32] ; [26.32 15.68],0
d1,1,0.264916,1.242883,[16 17] ; [15 27],[13.64 19.36] ; [17.36 24.64],0
n5,1,0.3314,0.943418,[23  8] ; [26 15],[21.09722222  9.90277778] ; [27.90277778 13.09722222],0
v2,1,0.354058,0.85886,[18 15] ; [17 22],[16.04166667 16.95833333] ; [18.95833333 20.04166667],0
u1,1,0.387788,0.745867,[ 2 31] ; [ 5 37],[ 3.08 29.92] ; [ 3.92 38.08],0
b4,1,0.392715,0.730519,[18 15] ; [27 15],[19.8 13.2] ; [25.2 16.8],0
p10,1,0.39962,0.709468,[25  7] ; [27 12],[23.43661972  8.56338028] ; [28.56338028 10.43661972],0
v4,1,0.41471,0.665258,[22  8] ; [25 14],[20.43478261  9.56521739] ; [26.56521739 12.43478261],0
p12,1,0.41572,0.662384,[ 2 30] ; [ 1 40],[ 1.31506849 30.68493151] ; [ 1.68493151 39.31506849],0
a1,1,0.431399,0.619055,[ 1 32] ; [ 3 39],[ 1.76 31.24] ; [ 2.24 39.76],0
d2,1,0.439858,0.596654,[15 18] ; [15 26],[13.37837838 19.62162162] ; [16.62162162 24.37837838],0
a4,1,0.445751,0.581434,[13 20] ; [13 29],[11.44 21.56] ; [14.56 27.44],0
p9,1,0.450971,0.56821,[26  6] ; [31 11],[24.64864865  7.35135135] ; [32.35135135  9.64864865],0
n6,1,0.460493,0.544695,[21 10] ; [31 10],[22.38888889  8.61111111] ; [29.61111111 11.38888889],0
p8,1,0.467132,0.528751,[16 16] ; [17 24],[14.46575342 17.53424658] ; [18.53424658 22.46575342],0
a8,1,0.505767,0.442814,[ 3 29] ; [ 2 36],[ 2.28571429 29.71428571] ; [ 2.71428571 35.28571429],0
p4,1,0.514411,0.425085,[17 16] ; [18 23],[15.60810811 17.39189189] ; [19.39189189 21.60810811],0
r3,1,0.54182,0.372177,[25  7] ; [28 11],[23.88732394  8.11267606] ; [29.11267606  9.88732394],0
