Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,173.229294,[303  60] ; [ 38 121],[237.13218391 125.86781609] ; [103.86781609  55.13218391],1
s7,1,0.0,34.297041,[232 118] ; [59 95],[202.08333333 147.91666667] ; [88.91666667 65.08333333],1
s8,1,4e-06,21.2165,[218 144] ; [61 98],[193.85412668 168.14587332] ; [85.14587332 73.85412668],1
s5,1,0.007838,7.070226,[153 199] ; [ 49 109],[139.41960784 212.58039216] ; [62.58039216 95.41960784],0
r3,1,0.009056,6.811757,[352   8] ; [149  11],[346.84615385  13.15384615] ; [154.15384615   5.84615385],0
s4,1,0.020418,5.375821,[ 93 266] ; [ 26 131],[ 82.79263566 276.20736434] ; [ 36.20736434 120.79263566],0
a3,1,0.020572,5.362668,[267  95] ; [102  58],[255.89655172 106.10344828] ; [113.10344828  46.89655172],0
r2,1,0.052342,3.764798,[346  13] ; [146  12],[341.64023211  17.35976789] ; [150.35976789   7.64023211],0
r1,1,0.080584,3.053086,[302  58] ; [124  36],[294.92307692  65.07692308] ; [131.07692308  28.92307692],0
p2,1,0.106676,2.60279,[308  54] ; [127  33],[301.66666667  60.33333333] ; [133.33333333  26.66666667],0
v4,1,0.125547,2.346717,[349  12] ; [150  10],[345.756238  15.243762] ; [153.243762   6.756238],0
b4,1,0.130098,2.29134,[223 140] ; [87 73],[215.1625239 147.8374761] ; [94.8374761 65.1625239],0
u3,1,0.139248,2.186252,[64 30] ; [32 25],[59.7615894 34.2384106] ; [36.2384106 20.7615894],0
b1,1,0.143899,2.135758,[147 216] ; [ 54 106],[139.50860421 223.49139579] ; [61.49139579 98.50860421],0
p9,1,0.150165,2.070572,[313  46] ; [131  28],[307.71428571  51.28571429] ; [136.28571429  22.71428571],0
r4,1,0.156071,2.011886,[334  29] ; [141  19],[329.68451243  33.31548757] ; [145.31548757  14.68451243],0
v1,1,0.169059,1.891266,[184 166] ; [94 65],[191.15913556 158.84086444] ; [86.84086444 72.15913556],0
d2,1,0.173834,1.849563,[184 178] ; [71 89],[176.83908046 185.16091954] ; [78.16091954 81.83908046],0
p11,1,0.17821,1.812487,[285  78] ; [117  43],[279.01720841  83.98279159] ; [122.98279159  37.01720841],0
d4,1,0.178993,1.805963,[308  53] ; [129  31],[302.79654511  58.20345489] ; [134.20345489  25.79654511],0
a2,1,0.180633,1.792406,[102 261] ; [ 36 124],[ 95.78202677 267.21797323] ; [ 42.21797323 117.78202677],0
p12,1,0.222735,1.486665,[ 29 333] ; [  8 151],[ 25.70825336 336.29174664] ; [ 11.29174664 147.70825336],0
n3,1,0.234055,1.416048,[58 19] ; [28 15],[55.18333333 21.81666667] ; [30.81666667 12.18333333],0
p4,1,0.256651,1.286734,[214 148] ; [103  57],[219.83524904 142.16475096] ; [97.16475096 62.83524904],0
u4,1,0.289542,1.121749,[ 10 353] ; [  2 158],[  8.32887189 354.67112811] ; [  3.67112811 156.32887189],0
d1,1,0.291857,1.111035,[222 141] ; [90 70],[216.55066922 146.44933078] ; [95.44933078 64.55066922],0
p1,1,0.308365,1.037667,[ 24 336] ; [  7 153],[ 21.46153846 338.53846154] ; [  9.53846154 150.46153846],0
p10,1,0.332299,0.939917,[299  60] ; [126  32],[295.11605416  63.88394584] ; [129.88394584  28.11605416],0
a6,1,0.343176,0.89853,[252 109] ; [105  55],[247.3646833 113.6353167] ; [109.6353167  50.3646833],0
v3,1,0.353495,0.860872,[134 216] ; [ 53 103],[129.34782609 220.65217391] ; [57.65217391 98.34782609],0
a8,1,0.39391,0.72684,[ 50 287] ; [ 17 126],[ 47.03958333 289.96041667] ; [ 19.96041667 123.03958333],0
u1,1,0.402223,0.701672,[ 75 288] ; [ 28 132],[ 71.48948375 291.51051625] ; [ 31.51051625 128.48948375],0
p7,1,0.415015,0.664388,[228 122] ; [97 61],[223.91732283 126.08267717] ; [101.08267717  56.91732283],0
