Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.4e-05,18.81425,[535  56] ; [44 17],[524.8297546  66.1702454] ; [54.1702454  6.8297546],1
r4,1,0.000153,14.334846,[560  32] ; [50 11],[553.01684533  38.98315467] ; [56.98315467  4.01684533],1
p3,1,0.000198,13.853114,[325 264] ; [18 42],[311.28967643 277.71032357] ; [31.71032357 28.28967643],1
p10,1,0.00082,11.195133,[510  75] ; [42 17],[501.42857143  83.57142857] ; [50.57142857  8.42857143],1
b1,1,0.002262,9.323701,[221 371] ; [35 26],[232.08575804 359.91424196] ; [23.91424196 37.08575804],0
s7,1,0.006602,7.378049,[308 253] ; [21 37],[298.17285945 262.82714055] ; [30.82714055 27.17285945],0
b3,1,0.007616,7.12162,[150 216] ; [ 6 28],[142.74 223.26] ; [13.26 20.74],0
b2,1,0.007616,7.12162,[150 216] ; [ 6 28],[142.74 223.26] ; [13.26 20.74],0
s5,1,0.014475,5.97922,[206 362] ; [12 47],[197.48644338 370.51355662] ; [20.51355662 38.48644338],0
p11,1,0.015692,5.837085,[499  93] ; [44 17],[492.27565084  99.72434916] ; [50.72434916 10.27565084],0
p4,1,0.016036,5.798869,[386 202] ; [30 30],[377.48148148 210.51851852] ; [38.51851852 21.48148148],0
d1,1,0.01798,5.598133,[364 228] ; [28 33],[355.381317 236.618683] ; [36.618683 24.381317],0
p8,1,0.0182,5.576773,[329 251] ; [24 35],[320.40688576 259.59311424] ; [32.59311424 26.40688576],0
v3,1,0.023958,5.097686,[259 318] ; [16 39],[251.06803797 325.93196203] ; [23.93196203 31.06803797],0
u2,1,0.024452,5.062292,[83 77] ; [13  3],[87.27272727 72.72727273] ; [8.72727273 7.27272727],0
a5,1,0.033188,4.536055,[451 140] ; [39 22],[444.15644172 146.84355828] ; [45.84355828 15.15644172],0
r2,1,0.033662,4.5118,[565  24] ; [53  6],[561.73148148  27.26851852] ; [56.26851852  2.73148148],0
u1,1,0.041002,4.175944,[123 469] ; [ 6 55],[116.94946401 475.05053599] ; [12.05053599 48.94946401],0
p1,1,0.041105,4.171701,[ 55 533] ; [ 1 60],[ 50.73651772 537.26348228] ; [ 5.26348228 55.73651772],0
d2,1,0.045794,3.989148,[306 284] ; [23 37],[298.63076923 291.36923077] ; [30.36923077 29.63076923],0
p5,1,0.049676,3.852349,[ 82 504] ; [ 3 57],[ 77.10526316 508.89473684] ; [ 7.89473684 52.10526316],0
s8,1,0.051527,3.791068,[289 299] ; [22 39],[281.76887519 306.23112481] ; [29.23112481 31.76887519],0
d5,1,0.065639,3.388836,[490 101] ; [44 16],[484.78341014 106.21658986] ; [49.21658986 10.78341014],0
s6,1,0.06886,3.309994,[415 163] ; [37 24],[408.8513302 169.1486698] ; [43.1486698 17.8513302],0
v1,1,0.090394,2.867343,[346 233] ; [28 30],[339.9466248 239.0533752] ; [34.0533752 23.9466248],0
r1,1,0.092828,2.824637,[486 103] ; [45 16],[481.16769231 107.83230769] ; [49.83230769 11.16769231],0
p2,1,0.120192,2.414819,[504  85] ; [46 13],[499.92283951  89.07716049] ; [50.07716049  8.92283951],0
p9,1,0.120878,2.405912,[517  67] ; [49 11],[513.26708075  70.73291925] ; [52.73291925  7.26708075],0
p12,1,0.12196,2.391974,[ 55 531] ; [ 2 57],[ 51.78604651 534.21395349] ; [ 5.21395349 53.78604651],0
a2,1,0.128175,2.314465,[160 432] ; [11 50],[155.02603369 436.97396631] ; [15.97396631 45.02603369],0
a4,1,0.12964,2.296805,[282 307] ; [23 38],[276.37692308 312.62307692] ; [28.62307692 32.37692308],0
d4,1,0.130374,2.288041,[487 103] ; [44 15],[482.72727273 107.27272727] ; [48.27272727 10.72727273],0
p6,1,0.130429,2.287393,[234 350] ; [17 40],[228.68018721 355.31981279] ; [22.31981279 34.68018721],0
a8,1,0.160749,1.967169,[ 85 450] ; [13 43],[ 88.71404399 446.28595601] ; [ 9.28595601 46.71404399],0
n2,1,0.233609,1.418753,[86 25] ; [17  2],[87.94615385 23.05384615] ; [15.05384615  3.94615385],0
b5,1,0.248915,1.329382,[353 239] ; [41 20],[357.19448698 234.80551302] ; [36.80551302 24.19448698],0
s2,1,0.260096,1.268245,[317 267] ; [28 32],[312.85714286 271.14285714] ; [32.14285714 27.85714286],0
b4,1,0.409819,0.679324,[343 249] ; [32 29],[339.96937213 252.03062787] ; [35.03062787 25.96937213],0
d3,1,0.517051,0.419772,[405 186] ; [38 21],[402.78923077 188.21076923] ; [40.21076923 18.78923077],0
s4,1,0.57732,0.310587,[ 92 489] ; [ 8 53],[ 90.49844237 490.50155763] ; [ 9.50155763 51.49844237],0
a6,1,0.611233,0.258383,[404 186] ; [43 17],[405.73846154 184.26153846] ; [41.26153846 18.73846154],0
u3,1,0.626019,0.237498,[91 71] ; [10  6],[91.92134831 70.07865169] ; [9.07865169 6.92134831],0
v4,1,0.653622,0.201364,[569  23] ; [56  3],[568.35637481  23.64362519] ; [56.64362519  2.35637481],0
n3,1,0.724743,0.123993,[82 29] ; [14  4],[82.60465116 28.39534884] ; [13.39534884  4.60465116],0
s1,1,0.758759,0.094317,[ 16 566] ; [ 2 56],[ 16.36875 565.63125] ; [ 1.63125 56.36875],0
a7,1,0.864914,0.028941,[422 168] ; [43 18],[421.42857143 168.57142857] ; [43.57142857 17.42857143],0
s3,1,0.869451,0.027013,[343 241] ; [34 25],[342.40746501 241.59253499] ; [34.59253499 24.40746501],0
n1,1,0.880329,0.022666,[47 62] ; [ 7 10],[46.71428571 62.28571429] ; [7.28571429 9.71428571],0
v2,1,0.893278,0.017998,[331 239] ; [32 24],[330.52715655 239.47284345] ; [32.47284345 23.52715655],0
a3,1,0.897918,0.016459,[430 159] ; [45 16],[430.42307692 158.57692308] ; [44.57692308 16.42307692],0
p7,1,0.936498,0.006348,[385 192] ; [39 19],[385.27244094 191.72755906] ; [38.72755906 19.27244094],0
