Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,91.51221,[ 9 45] ; [142  23],[37.23287671 16.76712329] ; [113.76712329  51.23287671],1
p11,1,1.6e-05,18.587875,[24 30] ; [126  40],[36.81818182 17.18181818] ; [113.18181818  52.81818182],1
p2,1,3.6e-05,17.059622,[28 26] ; [132  32],[39.63302752 14.36697248] ; [120.36697248  43.63302752],1
s1,1,0.003398,8.580599,[ 5 49] ; [  2 164],[ 1.71818182 52.28181818] ; [  5.28181818 160.71818182],0
r4,1,0.003926,8.317851,[39 15] ; [147  19],[45.65454545  8.34545455] ; [140.34545455  25.65454545],0
v1,1,0.00457,8.042058,[13 41] ; [74 87],[21.85116279 32.14883721] ; [65.14883721 95.85116279],0
a7,1,0.005378,7.747726,[31 23] ; [127  38],[38.95890411 15.04109589] ; [119.04109589  45.95890411],0
b1,1,0.009366,6.751663,[26 28] ; [ 48 118],[18.16363636 35.83636364] ; [ 55.83636364 110.16363636],0
n6,1,0.011045,6.457988,[28 26] ; [116  48],[35.66972477 18.33027523] ; [108.33027523  55.66972477],0
v4,1,0.013356,6.121388,[45  8] ; [156   8],[49.0921659  3.9078341] ; [151.9078341  12.0921659],0
d3,1,0.014236,6.008674,[28 26] ; [115  49],[35.42201835 18.57798165] ; [107.57798165  56.42201835],0
s6,1,0.014386,5.990178,[24 29] ; [106  59],[31.60550459 21.39449541] ; [98.39449541 66.60550459],0
n5,1,0.01515,5.898998,[11 43] ; [ 63 101],[18.33027523 35.66972477] ; [ 55.66972477 108.33027523],0
a5,1,0.018471,5.550899,[24 30] ; [104  62],[31.41818182 22.58181818] ; [96.58181818 69.41818182],0
d2,1,0.020773,5.345699,[27 27] ; [ 54 112],[19.88181818 34.11818182] ; [ 61.11818182 104.88181818],0
s8,1,0.022903,5.17583,[10 43] ; [ 59 107],[16.69863014 36.30136986] ; [ 52.30136986 113.69863014],0
a6,1,0.055203,3.67595,[29 25] ; [113  53],[34.85454545 19.14545455] ; [107.14545455  58.85454545],0
v3,1,0.06466,3.413635,[ 8 45] ; [ 43 112],[12.99519231 40.00480769] ; [ 38.00480769 116.99519231],0
s2,1,0.069683,3.290466,[18 35] ; [80 86],[23.71689498 29.28310502] ; [74.28310502 91.71689498],0
s5,1,0.082131,3.022228,[11 41] ; [ 55 107],[16.03738318 35.96261682] ; [ 49.96261682 112.03738318],0
s7,1,0.111564,2.531931,[11 40] ; [ 54 108],[15.56338028 35.43661972] ; [ 49.43661972 112.56338028],0
r2,1,0.132955,2.257662,[46  8] ; [152  13],[48.82191781  5.17808219] ; [149.17808219  15.82191781],0
n2,1,0.172034,1.865132,[15 10] ; [42 14],[17.59259259  7.40740741] ; [39.40740741 16.59259259],0
r1,1,0.20299,1.620733,[34 20] ; [119  46],[37.7260274 16.2739726] ; [115.2739726  49.7260274],0
s3,1,0.20942,1.575429,[23 31] ; [86 78],[27. 27.] ; [82. 82.],0
b5,1,0.211591,1.560505,[29 25] ; [105  61],[32.89090909 21.10909091] ; [101.10909091  64.89090909],0
p8,1,0.246056,1.345557,[20 34] ; [76 89],[23.67123288 30.32876712] ; [72.32876712 92.67123288],0
b2,1,0.252124,1.311494,[ 7 25] ; [25 51],[ 9.48148148 22.51851852] ; [22.51851852 53.48148148],0
b3,1,0.252124,1.311494,[ 7 25] ; [25 51],[ 9.48148148 22.51851852] ; [22.51851852 53.48148148],0
n3,1,0.308809,1.035764,[15 10] ; [40 16],[16.97530864  8.02469136] ; [38.02469136 17.97530864],0
a2,1,0.326635,0.962191,[ 5 49] ; [ 24 142],[ 7.11818182 46.88181818] ; [ 21.88181818 144.11818182],0
v2,1,0.356896,0.848787,[23 29] ; [80 75],[25.87439614 26.12560386] ; [77.12560386 77.87439614],0
u3,1,0.376772,0.781208,[16  9] ; [36 31],[14.13043478 10.86956522] ; [37.86956522 29.13043478],0
p3,1,0.383975,0.757936,[16 37] ; [ 61 105],[18.6347032 34.3652968] ; [ 58.3652968 107.6347032],0
p1,1,0.413858,0.667689,[ 2 52] ; [ 11 152],[ 3.23502304 50.76497696] ; [  9.76497696 153.23502304],0
a1,1,0.419977,0.650379,[ 1 53] ; [  7 159],[ 1.96363636 52.03636364] ; [  6.03636364 159.96363636],0
d4,1,0.47523,0.509789,[39 14] ; [130  36],[40.89954338 12.10045662] ; [128.10045662  37.89954338],0
p7,1,0.491442,0.473367,[28 26] ; [91 68],[30.16901408 23.83098592] ; [88.83098592 70.16901408],0
b4,1,0.505263,0.443865,[34 20] ; [96 70],[31.90909091 22.09090909] ; [98.09090909 67.90909091],0
a3,1,0.511775,0.430437,[29 25] ; [97 68],[31.06849315 22.93150685] ; [94.93150685 70.06849315],0
a4,1,0.513229,0.427478,[15 39] ; [ 54 112],[16.93636364 37.06363636] ; [ 52.06363636 113.93636364],0
s4,1,0.515477,0.422933,[11 43] ; [ 41 125],[12.76363636 41.23636364] ; [ 39.23636364 126.76363636],0
d5,1,0.551246,0.355089,[37 17] ; [120  45],[38.71232877 15.28767123] ; [118.28767123  46.71232877],0
u1,1,0.620314,0.245426,[ 4 50] ; [ 16 150],[ 4.90909091 49.09090909] ; [ 15.09090909 150.90909091],0
u2,1,0.685559,0.163936,[13 12] ; [38 29],[13.85869565 11.14130435] ; [37.14130435 29.85869565],0
p4,1,0.732683,0.116663,[25 29] ; [72 93],[23.91780822 30.08219178] ; [73.08219178 91.91780822],0
p6,1,0.778855,0.078855,[12 40] ; [ 41 123],[12.75925926 39.24074074] ; [ 40.24074074 123.75925926],0
a8,1,0.818989,0.05237,[ 3 47] ; [  8 147],[ 2.68292683 47.31707317] ; [  8.31707317 146.68292683],0
d1,1,0.882077,0.022004,[26 28] ; [78 88],[25.52727273 28.47272727] ; [78.47272727 87.52727273],0
n1,1,0.923194,0.009295,[ 6 19] ; [14 42],[ 6.17283951 18.82716049] ; [13.82716049 42.17283951],0
