Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,29.285465,[102  29] ; [ 9 23],[89.20858896 41.79141104] ; [21.79141104 10.20858896],1
d5,1,0.0,25.471156,[107  24] ; [12 20],[95.63803681 35.36196319] ; [23.36196319  8.63803681],1
a4,1,0.002813,8.924849,[47 84] ; [ 3 30],[39.93902439 91.06097561] ; [10.06097561 22.93902439],0
a8,1,0.003913,8.323779,[  2 120] ; [ 4 27],[  4.78431373 117.21568627] ; [ 1.21568627 29.78431373],0
a5,1,0.005388,7.744288,[79 52] ; [11 22],[71.8902439 59.1097561] ; [18.1097561 14.8902439],0
d2,1,0.014056,6.031047,[54 77] ; [ 6 27],[47.92682927 83.07317073] ; [12.07317073 20.92682927],0
s5,1,0.015758,5.829681,[47 79] ; [ 5 28],[41.20754717 84.79245283] ; [10.79245283 22.20754717],0
s6,1,0.017902,5.605689,[76 52] ; [12 21],[69.96273292 58.03726708] ; [18.03726708 14.96273292],0
r1,1,0.028313,4.808926,[93 37] ; [17 16],[87.73006135 42.26993865] ; [22.26993865 10.73006135],0
v3,1,0.057953,3.595016,[35 86] ; [ 4 28],[30.84313725 90.15686275] ; [ 8.15686275 23.84313725],0
v2,1,0.058243,3.586713,[61 61] ; [10 22],[56.24675325 65.75324675] ; [14.75324675 17.24675325],0
b4,1,0.073407,3.205151,[82 49] ; [15 18],[77.48170732 53.51829268] ; [19.51829268 13.48170732],0
u2,1,0.079206,3.081121,[32 19] ; [ 7 11],[28.82608696 22.17391304] ; [10.17391304  7.82608696],0
s3,1,0.094212,2.800898,[64 65] ; [11 22],[59.72222222 69.27777778] ; [15.27777778 17.72222222],0
v1,1,0.100948,2.690502,[50 76] ; [ 8 25],[45.96226415 80.03773585] ; [12.03773585 20.96226415],0
a2,1,0.102312,2.669133,[ 17 114] ; [ 1 32],[ 14.37804878 116.62195122] ; [ 3.62195122 29.37804878],0
a3,1,0.131681,2.272576,[78 52] ; [15 18],[74.17177914 55.82822086] ; [18.82822086 14.17177914],0
a7,1,0.135344,2.230118,[99 32] ; [20 12],[95.63803681 35.36196319] ; [23.36196319  8.63803681],0
p10,1,0.147344,2.099535,[84 44] ; [16 15],[80.50314465 47.49685535] ; [19.49685535 11.50314465],0
u3,1,0.157502,1.998048,[35 16] ; [9 9],[32.52173913 18.47826087] ; [11.47826087  6.52173913],0
p3,1,0.18691,1.741805,[47 82] ; [ 8 25],[43.7962963 85.2037037] ; [11.2037037 21.7962963],0
s1,1,0.208731,1.580206,[  5 126] ; [ 3 30],[  6.3902439 124.6097561] ; [ 1.6097561 31.3902439],0
p9,1,0.210847,1.5656,[90 37] ; [19 13],[87.06289308 39.93710692] ; [21.93710692 10.06289308],0
a6,1,0.218953,1.51122,[79 52] ; [16 17],[75.88414634 55.11585366] ; [19.11585366 13.88414634],0
n6,1,0.274056,1.19633,[73 57] ; [22 11],[75.76687117 54.23312883] ; [19.23312883 13.76687117],0
n3,1,0.375435,0.785597,[30 17] ; [10  3],[31.33333333 15.66666667] ; [8.66666667 4.33333333],0
p11,1,0.457261,0.55259,[74 57] ; [21 12],[75.88414634 55.11585366] ; [19.11585366 13.88414634],0
s2,1,0.457261,0.55259,[57 74] ; [12 21],[55.11585366 75.88414634] ; [13.88414634 19.11585366],0
p7,1,0.501656,0.451431,[63 64] ; [18 14],[64.69811321 62.30188679] ; [16.30188679 15.69811321],0
p1,1,0.524189,0.405644,[  8 121] ; [ 3 29],[  8.8136646 120.1863354] ; [ 2.1863354 29.8136646],0
b5,1,0.547443,0.361918,[79 52] ; [18 15],[77.48170732 53.51829268] ; [19.51829268 13.48170732],0
s4,1,0.558324,0.342615,[ 30 101] ; [ 6 27],[ 28.75609756 102.24390244] ; [ 7.24390244 25.75609756],0
a1,1,0.581398,0.303979,[  7 124] ; [ 1 32],[  6.3902439 124.6097561] ; [ 1.6097561 31.3902439],0
p4,1,0.588625,0.292496,[54 76] ; [12 21],[52.63803681 77.36196319] ; [13.36196319 19.63803681],0
p5,1,0.591778,0.287576,[  7 122] ; [ 1 31],[  6.40993789 122.59006211] ; [ 1.59006211 30.40993789],0
r4,1,0.598031,0.277976,[101  30] ; [24  9],[99.84756098 31.15243902] ; [25.15243902  7.84756098],0
n2,1,0.618096,0.248553,[29 18] ; [9 4],[29.76666667 17.23333333] ; [8.23333333 4.76666667],0
s7,1,0.630571,0.231287,[35 88] ; [ 8 25],[33.90384615 89.09615385] ; [ 9.09615385 23.90384615],0
b2,1,0.694623,0.154126,[17 43] ; [ 4 13],[16.36363636 43.63636364] ; [ 4.63636364 12.36363636],0
b3,1,0.694623,0.154126,[17 43] ; [ 4 13],[16.36363636 43.63636364] ; [ 4.63636364 12.36363636],0
v4,1,0.727204,0.121695,[115  15] ; [29  3],[115.55555556  14.44444444] ; [28.44444444  3.55555556],0
s8,1,0.754995,0.097381,[35 95] ; [ 8 25],[34.29447853 95.70552147] ; [ 8.70552147 24.29447853],0
