Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.00046,12.272891,[17 10] ; [93 10],[22.84615385  4.15384615] ; [87.15384615 15.84615385],1
p2,1,0.001367,10.250344,[18 10] ; [92 11],[23.51145038  4.48854962] ; [86.48854962 16.51145038],0
p10,1,0.003974,8.295693,[17 11] ; [87 15],[22.4  5.6] ; [81.6 20.4],0
u3,1,0.006719,7.346671,[ 1 11] ; [20 18],[5.04 6.96] ; [15.96 22.04],0
s8,1,0.02839,4.804248,[ 6 22] ; [46 58],[11.03030303 16.96969697] ; [40.96969697 63.03030303],0
p7,1,0.044579,4.034483,[15 13] ; [72 26],[19.33333333  8.66666667] ; [67.66666667 30.33333333],0
v2,1,0.062716,3.464076,[ 9 18] ; [53 46],[13.28571429 13.71428571] ; [48.71428571 50.28571429],0
s6,1,0.079389,3.077361,[12 16] ; [62 39],[16.0620155 11.9379845] ; [57.9379845 43.0620155],0
n5,1,0.11203,2.525354,[14 14] ; [69 35],[17.60606061 10.39393939] ; [65.39393939 38.60606061],0
r3,1,0.150004,2.072214,[25  3] ; [100   4],[26.51515152  1.48484848] ; [98.48484848  5.51515152],0
n2,1,0.151191,2.06019,[11  1] ; [14  6],[9.375 2.625] ; [15.625  4.375],0
s7,1,0.161938,1.956035,[ 8 19] ; [45 56],[11.1796875 15.8203125] ; [41.8203125 59.1796875],0
n1,1,0.179452,1.802153,[6 5] ; [ 6 14],[4.25806452 6.74193548] ; [ 7.74193548 12.25806452],0
n6,1,0.183444,1.769502,[20  8] ; [86 18],[22.48484848  5.51515152] ; [83.51515152 20.48484848],0
p3,1,0.214651,1.539775,[ 6 22] ; [35 69],[ 8.6969697 19.3030303] ; [32.3030303 71.6969697],0
r4,1,0.222567,1.487743,[23  5] ; [94 10],[24.81818182  3.18181818] ; [92.18181818 11.81818182],0
u2,1,0.223733,1.480263,[3 9] ; [17 21],[4.8 7.2] ; [15.2 22.8],0
a8,1,0.246771,1.341494,[ 2 21] ; [18 78],[ 3.86554622 19.13445378] ; [16.13445378 79.86554622],0
a5,1,0.270253,1.21546,[16 12] ; [71 33],[18.45454545  9.54545455] ; [68.54545455 35.45454545],0
b5,1,0.291438,1.112968,[20  8] ; [63 41],[17.60606061 10.39393939] ; [65.39393939 38.60606061],0
b1,1,0.291957,1.110577,[ 7 21] ; [37 67],[ 9.33333333 18.66666667] ; [34.66666667 69.33333333],0
s4,1,0.300185,1.073371,[ 2 26] ; [15 88],[ 3.63358779 24.36641221] ; [13.36641221 89.63358779],0
s2,1,0.323177,0.976045,[10 18] ; [48 56],[12.3030303 15.6969697] ; [45.6969697 58.3030303],0
a4,1,0.325534,0.966583,[11 16] ; [32 72],[ 8.86259542 18.13740458] ; [34.13740458 69.86259542],0
a7,1,0.434054,0.611951,[22  6] ; [74 30],[20.36363636  7.63636364] ; [75.63636364 28.36363636],0
p5,1,0.436418,0.605682,[ 1 27] ; [ 8 95],[ 1.92366412 26.07633588] ; [ 7.07633588 95.92366412],0
r2,1,0.436418,0.605682,[27  1] ; [95  8],[26.07633588  1.92366412] ; [95.92366412  7.07633588],0
n3,1,0.501138,0.452525,[7 5] ; [14  6],[7.875 4.125] ; [13.125  6.875],0
d5,1,0.51447,0.424966,[19  9] ; [77 27],[20.36363636  7.63636364] ; [75.63636364 28.36363636],0
a2,1,0.529136,0.396051,[ 6 22] ; [17 87],[ 4.87878788 23.12121212] ; [18.12121212 85.87878788],0
a6,1,0.535193,0.384523,[17 11] ; [69 34],[18.38167939  9.61832061] ; [67.61832061 35.38167939],0
s5,1,0.539072,0.377263,[ 7 21] ; [31 69],[ 8.3125 19.6875] ; [29.6875 70.3125],0
d2,1,0.540663,0.374313,[12 16] ; [38 66],[10.60606061 17.39393939] ; [39.39393939 64.60606061],0
d1,1,0.544022,0.368137,[15 13] ; [49 55],[13.57575758 14.42424242] ; [50.42424242 53.57575758],0
r1,1,0.550973,0.355577,[19  8] ; [79 25],[20.19847328  6.80152672] ; [77.80152672 26.19847328],0
p1,1,0.569401,0.323685,[ 2 26] ; [11 91],[ 2.8 25.2] ; [10.2 91.8],0
s1,1,0.633046,0.227952,[ 2 26] ; [ 5 98],[ 1.49618321 26.50381679] ; [ 5.50381679 97.49618321],0
v4,1,0.633046,0.227952,[26  2] ; [98  5],[26.50381679  1.49618321] ; [97.49618321  5.50381679],0
a3,1,0.644229,0.213254,[16 11] ; [66 37],[17.03076923  9.96923077] ; [64.96923077 38.03076923],0
v3,1,0.646153,0.210784,[ 8 19] ; [35 67],[ 9. 18.] ; [34. 68.],0
u1,1,0.692578,0.156309,[ 4 24] ; [12 92],[ 3.39393939 24.60606061] ; [12.60606061 91.39393939],0
b2,1,0.692953,0.155907,[3 8] ; [20 40],[3.56338028 7.43661972] ; [19.43661972 40.56338028],0
b3,1,0.692953,0.155907,[3 8] ; [20 40],[3.56338028 7.43661972] ; [19.43661972 40.56338028],0
d3,1,0.742131,0.108263,[16 12] ; [63 41],[16.75757576 11.24242424] ; [62.24242424 41.75757576],0
s3,1,0.759564,0.093669,[13 14] ; [53 50],[13.70769231 13.29230769] ; [52.29230769 50.70769231],0
