Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,64.190467,[36 74] ; [215  68],[70.25445293 39.74554707] ; [180.74554707 102.25445293],1
a3,1,0.0,34.822955,[61 49] ; [238  46],[83.47715736 26.52284264] ; [215.52284264  68.47715736],1
n4,1,1e-06,25.1517,[70 40] ; [244  39],[87.88804071 22.11195929] ; [226.11195929  56.88804071],1
s6,1,1.9e-05,18.310196,[83 26] ; [256  22],[95.48062016 13.51937984] ; [243.51937984  34.48062016],1
n5,1,0.000114,14.88774,[74 36] ; [238  43],[87.77493606 22.22506394] ; [224.22506394  56.77493606],1
d2,1,0.000261,13.329151,[42 68] ; [166 117],[58.21882952 51.78117048] ; [149.78117048 133.21882952],1
r1,1,0.000345,12.807732,[76 33] ; [242  41],[88.42346939 20.57653061] ; [229.57653061  53.42346939],1
s5,1,0.002301,9.292302,[40 66] ; [148 120],[53.28342246 52.71657754] ; [134.71657754 133.28342246],0
p6,1,0.003844,8.355947,[37 72] ; [142 141],[49.77295918 59.22704082] ; [129.22704082 153.77295918],0
p7,1,0.006297,7.463225,[61 45] ; [199  77],[72.14659686 33.85340314] ; [187.85340314  88.14659686],0
a4,1,0.006933,7.29036,[42 68] ; [152 133],[54.02531646 55.97468354] ; [139.97468354 145.02531646],0
a5,1,0.008124,7.005904,[76 34] ; [232  53],[85.7721519 24.2278481] ; [222.2278481  62.7721519],0
s3,1,0.008981,6.82665,[90 20] ; [258  25],[97.40458015 12.59541985] ; [250.59541985  32.40458015],0
n6,1,0.00993,6.647463,[88 21] ; [252  27],[95.51546392 13.48453608] ; [244.48453608  34.51546392],0
u1,1,0.010337,6.575948,[15 95] ; [ 73 212],[24.50632911 85.49367089] ; [ 63.49367089 221.50632911],0
p3,1,0.01173,6.351278,[48 62] ; [164 120],[59.18781726 50.81218274] ; [152.81218274 131.18781726],0
a7,1,0.016805,5.716611,[89 19] ; [201  84],[79.69465649 28.30534351] ; [210.30534351  74.69465649],0
r2,1,0.017197,5.676203,[102   7] ; [276   5],[105.64615385   3.35384615] ; [272.35384615   8.64615385],0
d1,1,0.031077,4.648699,[63 47] ; [196  89],[72.12658228 37.87341772] ; [186.87341772  98.12658228],0
n1,1,0.032827,4.554793,[ 7 18] ; [30 26],[11.41975309 13.58024691] ; [25.58024691 30.41975309],0
a8,1,0.03299,4.546292,[10 94] ; [ 49 213],[16.76502732 87.23497268] ; [ 42.23497268 219.76502732],0
