Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.1e-05,19.298462,[27 69] ; [23  9],[37.5 58.5] ; [12.5 19.5],1
p6,1,0.000161,14.236974,[12 83] ; [14 18],[19.4488189 75.5511811] ; [ 6.5511811 25.4488189],1
s6,1,0.004143,8.220036,[32 63] ; [20 12],[38.8976378 56.1023622] ; [13.1023622 18.8976378],0
p2,1,0.004192,8.198693,[44 52] ; [24  8],[51. 45.] ; [17. 15.],0
n6,1,0.008703,6.882758,[52 44] ; [25  6],[58.20472441 37.79527559] ; [18.79527559 12.20472441],0
d3,1,0.00916,6.791308,[43 52] ; [23  9],[49.37007874 45.62992126] ; [16.62992126 15.37007874],0
p5,1,0.011412,6.4,[ 3 93] ; [ 5 27],[ 6. 90.] ; [ 2. 30.],0
p4,1,0.011887,6.327633,[25 71] ; [16 16],[30.75 65.25] ; [10.25 21.75],0
s3,1,0.012512,6.236866,[34 61] ; [19 12],[39.96031746 55.03968254] ; [13.03968254 17.96031746],0
s8,1,0.016084,5.793634,[12 83] ; [10 22],[16.45669291 78.54330709] ; [ 5.54330709 26.45669291],0
r3,1,0.018422,5.555556,[67 29] ; [29  3],[72. 24.] ; [24.  8.],0
d1,1,0.035015,4.444444,[31 65] ; [17 15],[36. 60.] ; [12. 20.],0
b4,1,0.03965,4.232804,[59 37] ; [13 19],[54. 42.] ; [18. 14.],0
p3,1,0.044378,4.042105,[24 72] ; [14 18],[28.5 67.5] ; [ 9.5 22.5],0
p1,1,0.051967,3.776828,[ 5 90] ; [ 5 26],[ 7.53968254 87.46031746] ; [ 2.46031746 28.53968254],0
s2,1,0.055795,3.658165,[22 73] ; [13 19],[26.18110236 68.81889764] ; [ 8.81889764 23.18110236],0
a4,1,0.068964,3.307503,[42 53] ; [ 8 23],[37.6984127 57.3015873] ; [12.3015873 18.6984127],0
s7,1,0.084374,2.97856,[19 68] ; [12 20],[22.66386555 64.33613445] ; [ 8.33613445 23.66386555],0
p9,1,0.136109,2.221405,[27 67] ; [13 17],[30.32258065 63.67741935] ; [ 9.67741935 20.32258065],0
p11,1,0.147999,2.092759,[37 59] ; [17 15],[40.5 55.5] ; [13.5 18.5],0
a7,1,0.151233,2.05977,[49 47] ; [21 11],[52.5 43.5] ; [17.5 14.5],0
r4,1,0.186449,1.745455,[63 33] ; [25  7],[66. 30.] ; [22. 10.],0
a1,1,0.202472,1.62445,[10 86] ; [ 1 31],[ 8.25 87.75] ; [ 2.75 29.25],0
d4,1,0.220833,1.498951,[60 35] ; [24  8],[62.83464567 32.16535433] ; [21.16535433 10.83464567],0
d5,1,0.270618,1.21361,[58 37] ; [23  9],[60.59055118 34.40944882] ; [20.40944882 11.59055118],0
v4,1,0.272571,1.203762,[72 24] ; [27  5],[74.25 21.75] ; [24.75  7.25],0
a3,1,0.275519,1.189059,[56 38] ; [15 16],[53.392 40.608] ; [17.608 13.392],0
b2,1,0.309284,1.033729,[23 43] ; [ 4 14],[21.21428571 44.78571429] ; [ 5.78571429 12.21428571],0
b3,1,0.309284,1.033729,[23 43] ; [ 4 14],[21.21428571 44.78571429] ; [ 5.78571429 12.21428571],0
r2,1,0.329285,0.951708,[75 19] ; [28  4],[76.84126984 17.15873016] ; [26.15873016  5.84126984],0
n3,1,0.344161,0.894871,[22 20] ; [4 7],[20.60377358 21.39622642] ; [5.39622642 5.60377358],0
n1,1,0.395085,0.723234,[16 29] ; [5 5],[17.18181818 27.81818182] ; [3.81818182 6.18181818],0
b5,1,0.405839,0.690958,[55 41] ; [21 11],[57. 39.] ; [19. 13.],0
n5,1,0.405839,0.690958,[55 41] ; [21 11],[57. 39.] ; [19. 13.],0
u4,1,0.410536,0.677249,[ 1 95] ; [ 1 31],[ 1.5 94.5] ; [ 0.5 31.5],0
s5,1,0.429916,0.623052,[12 80] ; [ 6 26],[13.35483871 78.64516129] ; [ 4.64516129 27.35483871],0
r1,1,0.464583,0.53483,[58 38] ; [21 10],[59.71653543 36.28346457] ; [19.28346457 11.71653543],0
a2,1,0.49083,0.474707,[17 79] ; [ 4 28],[15.75 80.25] ; [ 5.25 26.75],0
u3,1,0.541618,0.372549,[20 20] ; [10  7],[21.05263158 18.94736842] ; [8.94736842 8.05263158],0
v1,1,0.571563,0.320075,[22 73] ; [ 9 23],[23.18897638 71.81102362] ; [ 7.81102362 24.18897638],0
a5,1,0.608739,0.262016,[53 43] ; [16 16],[51.75 44.25] ; [17.25 14.75],0
b1,1,0.60979,0.26048,[50 46] ; [15 17],[48.75 47.25] ; [16.25 15.75],0
u2,1,0.611935,0.257366,[17 23] ; [ 6 11],[16.14035088 23.85964912] ; [ 6.85964912 10.14035088],0
s4,1,0.724293,0.124416,[18 77] ; [ 5 26],[17.34126984 77.65873016] ; [ 5.65873016 25.34126984],0
n4,1,0.750792,0.100867,[60 36] ; [21 11],[60.75 35.25] ; [20.25 11.75],0
a8,1,0.871687,0.026087,[11 82] ; [ 3 25],[10.76033058 82.23966942] ; [ 3.23966942 24.76033058],0
u1,1,0.873939,0.025172,[11 85] ; [ 4 28],[11.25 84.75] ; [ 3.75 28.25],0
a6,1,0.881675,0.022155,[52 43] ; [18 14],[52.36220472 42.63779528] ; [17.63779528 14.36220472],0
d2,1,0.911771,0.012278,[43 51] ; [15 17],[43.26984127 50.73015873] ; [14.73015873 17.26984127],0
n2,1,0.951829,0.003649,[25 20] ; [6 5],[24.91071429 20.08928571] ; [6.08928571 4.91071429],0
v3,1,0.952762,0.003509,[17 76] ; [ 6 26],[17.112 75.888] ; [ 5.888 26.112],0
s1,1,0.960084,0.002505,[ 9 87] ; [ 3 28],[ 9.07086614 86.92913386] ; [ 2.92913386 28.07086614],0
