Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.2e-05,18.00371,[ 8 39] ; [29 20],[18.11458333 28.88541667] ; [18.88541667 30.11458333],1
v1,1,0.002859,8.895495,[21 25] ; [37 12],[28.08421053 17.91578947] ; [29.91578947 19.08421053],0
d5,1,0.003459,8.548174,[33 13] ; [47  3],[38.33333333  7.66666667] ; [41.66666667  8.33333333],0
s6,1,0.009133,6.796662,[42  3] ; [35 13],[37.25806452  7.74193548] ; [39.74193548  8.25806452],0
p7,1,0.051332,3.797406,[31 16] ; [40  8],[35.12631579 11.87368421] ; [35.87368421 12.12631579],0
b5,1,0.085486,2.957394,[20 27] ; [13 37],[15.98969072 31.01030928] ; [17.01030928 32.98969072],0
s4,1,0.10726,2.59414,[17 29] ; [11 39],[13.41666667 32.58333333] ; [14.58333333 35.41666667],0
p1,1,0.149984,2.072417,[ 7 40] ; [ 3 47],[ 4.84536082 42.15463918] ; [ 5.15463918 44.84536082],0
a3,1,0.159642,1.977612,[31 15] ; [40 10],[34.02083333 11.97916667] ; [36.97916667 13.02083333],0
n4,1,0.179359,1.802925,[34 13] ; [41  8],[36.71875 10.28125] ; [38.28125 10.71875],0
a5,1,0.179976,1.797825,[32 15] ; [40 10],[34.88659794 12.11340206] ; [37.11340206 12.88659794],0
r3,1,0.206691,1.594456,[42  5] ; [48  2],[43.60824742  3.39175258] ; [46.39175258  3.60824742],0
p3,1,0.226112,1.465153,[26 21] ; [33 16],[28.88541667 18.11458333] ; [30.11458333 18.88541667],0
a8,1,0.230816,1.435826,[ 3 43] ; [ 7 43],[ 4.79166667 41.20833333] ; [ 5.20833333 44.79166667],0
n3,1,0.249561,1.325758,[7 7] ; [8 3],[8.4 5.6] ; [6.6 4.4],0
b3,1,0.255881,1.290904,[13 18] ; [18 14],[15.25396825 15.74603175] ; [15.74603175 16.25396825],0
b2,1,0.255881,1.290904,[13 18] ; [18 14],[15.25396825 15.74603175] ; [15.74603175 16.25396825],0
a4,1,0.259582,1.270985,[27 20] ; [23 27],[24.22680412 22.77319588] ; [25.77319588 24.22680412],0
d3,1,0.265136,1.241738,[26 21] ; [22 28],[23.25773196 23.74226804] ; [24.74226804 25.25773196],0
u2,1,0.270948,1.211939,[9 7] ; [3 6],[7.68 8.32] ; [4.32 4.68],0
r4,1,0.284578,1.145098,[40  7] ; [46  4],[41.67010309  5.32989691] ; [44.32989691  5.67010309],0
d4,1,0.290362,1.117943,[38  8] ; [45  5],[39.77083333  6.22916667] ; [43.22916667  6.77083333],0
p6,1,0.309883,1.031174,[23 23] ; [19 29],[20.55319149 25.44680851] ; [21.44680851 26.55319149],0
r1,1,0.35847,0.843246,[36 11] ; [42  8],[37.79381443  9.20618557] ; [40.20618557  9.79381443],0
a6,1,0.386103,0.751178,[20 27] ; [17 33],[17.92783505 29.07216495] ; [19.07216495 30.92783505],0
n2,1,0.446248,0.580165,[12  3] ; [10  1],[12.69230769  2.30769231] ; [9.30769231 1.69230769],0
p8,1,0.476647,0.506524,[24 23] ; [28 20],[25.72631579 21.27368421] ; [26.27368421 21.72631579],0
b1,1,0.478959,0.501233,[25 22] ; [23 27],[23.25773196 23.74226804] ; [24.74226804 25.25773196],0
s2,1,0.51269,0.428574,[28 19] ; [33 17],[29.55670103 17.44329897] ; [31.44329897 18.55670103],0
s3,1,0.515441,0.423006,[33 14] ; [32 18],[31.49484536 15.50515464] ; [33.50515464 16.49484536],0
u1,1,0.595786,0.281399,[ 3 44] ; [ 2 48],[ 2.42268041 44.57731959] ; [ 2.57731959 47.42268041],0
