Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,24.535675,[17 63] ; [21  8],[27.88990826 52.11009174] ; [10.11009174 18.88990826],1
s6,1,5.6e-05,16.245938,[20 63] ; [19 10],[28.90178571 54.09821429] ; [10.09821429 18.90178571],1
r3,1,0.000443,12.342298,[33 47] ; [23  6],[41.10091743 38.89908257] ; [14.89908257 14.10091743],1
s7,1,0.002052,9.502364,[15 65] ; [14 15],[21.28440367 58.71559633] ; [ 7.71559633 21.28440367],0
s8,1,0.003687,8.432104,[ 7 76] ; [ 9 21],[11.75221239 71.24778761] ; [ 4.24778761 25.75221239],0
p7,1,0.00381,8.372411,[18 61] ; [15 14],[24.13888889 54.86111111] ; [ 8.86111111 20.13888889],0
p2,1,0.011439,6.395826,[37 45] ; [21  8],[42.84684685 39.15315315] ; [15.15315315 13.84684685],0
u3,1,0.01445,5.982359,[11 28] ; [7 3],[14.32653061 24.67346939] ; [3.67346939 6.32653061],0
p4,1,0.025106,5.016579,[18 64] ; [13 17],[22.69642857 59.30357143] ; [ 8.30357143 21.69642857],0
p10,1,0.027242,4.875382,[37 45] ; [20  9],[42.10810811 39.89189189] ; [14.89189189 14.10810811],0
v2,1,0.029525,4.736751,[21 59] ; [14 15],[25.68807339 54.31192661] ; [ 9.31192661 19.68807339],0
s5,1,0.03942,4.24266,[11 72] ; [ 9 21],[14.69026549 68.30973451] ; [ 5.30973451 24.69026549],0
d1,1,0.044289,4.045499,[27 56] ; [16 14],[31.5840708 51.4159292] ; [11.4159292 18.5840708],0
p11,1,0.093485,2.813312,[35 48] ; [18 12],[38.92920354 44.07079646] ; [14.07079646 15.92920354],0
n1,1,0.127713,2.320086,[17 25] ; [ 2 10],[14.77777778 27.22222222] ; [4.22222222 7.77777778],0
p3,1,0.133687,2.249155,[14 68] ; [ 9 21],[16.83928571 65.16071429] ; [ 6.16071429 23.83928571],0
d3,1,0.154781,2.024492,[40 43] ; [19 11],[43.33628319 39.66371681] ; [15.66371681 14.33628319],0
p9,1,0.191834,1.703476,[39 40] ; [19 11],[42.03669725 36.96330275] ; [15.96330275 14.03669725],0
s4,1,0.195994,1.671978,[11 72] ; [ 7 23],[13.22123894 69.77876106] ; [ 4.77876106 25.22123894],0
v1,1,0.21206,1.557306,[23 57] ; [12 17],[25.68807339 54.31192661] ; [ 9.31192661 19.68807339],0
a2,1,0.21451,1.540725,[ 9 74] ; [ 1 29],[ 7.34513274 75.65486726] ; [ 2.65486726 27.34513274],0
b4,1,0.226762,1.461058,[52 31] ; [15 15],[49.21238938 33.78761062] ; [17.78761062 12.21238938],0
d4,1,0.227253,1.457976,[53 29] ; [23  7],[55.64285714 26.35714286] ; [20.35714286  9.64285714],0
a3,1,0.242375,1.366726,[44 37] ; [20 10],[46.7027027 34.2972973] ; [17.2972973 12.7027027],0
b2,1,0.244765,1.352941,[19 32] ; [ 4 14],[17. 34.] ; [ 6. 12.],0
b3,1,0.244765,1.352941,[19 32] ; [ 4 14],[17. 34.] ; [ 6. 12.],0
p8,1,0.26018,1.267801,[17 65] ; [ 9 20],[19.20720721 62.79279279] ; [ 6.79279279 22.20720721],0
v3,1,0.288549,1.126381,[15 67] ; [ 8 21],[16.99099099 65.00900901] ; [ 6.00900901 22.99099099],0
n2,1,0.307181,1.042759,[21 21] ; [8 4],[22.55555556 19.44444444] ; [6.44444444 5.55555556],0
u2,1,0.332791,0.938006,[15 23] ; [2 7],[13.74468085 24.25531915] ; [3.25531915 5.74468085],0
d5,1,0.337398,0.920294,[47 36] ; [20 10],[49.21238938 33.78761062] ; [17.78761062 12.21238938],0
a6,1,0.34822,0.879932,[36 47] ; [16 14],[38.19469027 44.80530973] ; [13.80530973 16.19469027],0
b1,1,0.426269,0.632967,[43 40] ; [13 17],[41.13274336 41.86725664] ; [14.86725664 15.13274336],0
n6,1,0.432808,0.615277,[44 37] ; [17 10],[45.75 35.25] ; [15.25 11.75],0
v4,1,0.4384,0.600467,[46 35] ; [17  9],[47.69158879 33.30841121] ; [15.30841121 10.69158879],0
u1,1,0.448096,0.575465,[ 6 77] ; [ 1 29],[ 5.14159292 77.85840708] ; [ 1.85840708 28.14159292],0
s1,1,0.47761,0.504315,[ 5 77] ; [ 3 27],[ 5.85714286 76.14285714] ; [ 2.14285714 27.85714286],0
