Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.501667,[4 5] ; [332  25],[8.26229508 0.73770492] ; [327.73770492  29.26229508],1
r2,1,9e-06,19.798471,[6 3] ; [341  12],[8.62707182 0.37292818] ; [338.37292818  14.62707182],1
r1,1,0.019616,5.445758,[5 4] ; [301  55],[7.54520548 1.45479452] ; [298.45479452  57.54520548],0
d1,1,0.069492,3.294983,[3 6] ; [225 132],[5.60655738 3.39344262] ; [222.39344262 134.60655738],0
b1,1,0.069492,3.294983,[6 3] ; [132 225],[3.39344262 5.60655738] ; [134.60655738 222.39344262],0
s4,1,0.093767,2.808479,[4 5] ; [ 75 280],[1.9532967 7.0467033] ; [ 77.0467033 277.9532967],0
s8,1,0.1124,2.520152,[4 5] ; [246 109],[6.18131868 2.81868132] ; [243.81868132 111.18131868],0
a4,1,0.117797,2.44637,[2 7] ; [173 183],[4.31506849 4.68493151] ; [170.68493151 185.31506849],0
n4,1,0.139578,2.182601,[6 3] ; [301  54],[7.59065934 1.40934066] ; [299.40934066  55.59065934],0
a6,1,0.185497,1.753026,[4 5] ; [234 122],[5.86849315 3.13150685] ; [232.13150685 123.86849315],0
s3,1,0.190185,1.716186,[5 4] ; [265  89],[6.69421488 2.30578512] ; [263.30578512  90.69421488],0
n5,1,0.208776,1.579897,[6 3] ; [294  61],[7.41758242 1.58241758] ; [292.58241758  62.41758242],0
d3,1,0.234241,1.414924,[5 4] ; [262  95],[6.56557377 2.43442623] ; [260.43442623  96.56557377],0
v1,1,0.238145,1.391539,[7 2] ; [203 146],[5.27932961 3.72067039] ; [204.72067039 144.27932961],0
r3,1,0.249836,1.324223,[8 1] ; [343  13],[8.65479452 0.34520548] ; [342.34520548  13.65479452],0
p4,1,0.254741,1.297114,[5 4] ; [259  97],[6.50958904 2.49041096] ; [257.49041096  98.50958904],0
p11,1,0.272498,1.204127,[6 3] ; [290  67],[7.27868852 1.72131148] ; [288.72131148  68.27868852],0
a7,1,0.299806,1.075057,[5 4] ; [255 102],[6.39344262 2.60655738] ; [253.60655738 103.39344262],0
s1,1,0.324162,0.972081,[1 8] ; [ 15 337],[0.39889197 8.60110803] ; [ 15.60110803 336.39889197],0
a5,1,0.439343,0.597998,[8 1] ; [279  78],[7.05737705 1.94262295] ; [279.94262295  77.05737705],0
v3,1,0.447541,0.576871,[3 6] ; [160 187],[4.12078652 4.87921348] ; [158.87921348 188.12078652],0
p8,1,0.474914,0.510519,[4 4] ; [219 132],[4.96935933 3.03064067] ; [218.03064067 132.96935933],0
a1,1,0.482778,0.492582,[1 8] ; [ 20 337],[0.51639344 8.48360656] ; [ 20.48360656 336.51639344],0
b4,1,0.483342,0.491314,[6 3] ; [196 161],[4.96721311 4.03278689] ; [197.03278689 159.96721311],0
s6,1,0.489186,0.478316,[6 2] ; [296  56],[6.71111111 1.28888889] ; [295.28888889  56.71111111],0
d4,1,0.525105,0.403855,[7 2] ; [304  52],[7.66849315 1.33150685] ; [303.33150685  52.66849315],0
n3,1,0.538068,0.379132,[1 1] ; [52 22],[1.39473684 0.60526316] ; [51.60526316 22.39473684],0
s2,1,0.642125,0.215973,[6 3] ; [262  94],[6.60821918 2.39178082] ; [261.39178082  94.60821918],0
a2,1,0.689249,0.159899,[2 7] ; [101 256],[2.53278689 6.46721311] ; [100.46721311 256.53278689],0
d5,1,0.690001,0.159085,[7 2] ; [295  61],[7.44657534 1.55342466] ; [294.55342466  61.44657534],0
p5,1,0.690001,0.159085,[2 7] ; [ 61 295],[1.55342466 7.44657534] ; [ 61.44657534 294.55342466],0
p3,1,0.703728,0.144623,[6 3] ; [215 141],[5.44931507 3.55068493] ; [215.55068493 140.44931507],0
a8,1,0.740919,0.10932,[2 7] ; [ 57 261],[1.62385321 7.37614679] ; [ 57.37614679 260.62385321],0
v2,1,0.788231,0.07215,[5 4] ; [210 140],[5.38997214 3.61002786] ; [209.61002786 140.38997214],0
p6,1,0.80005,0.064152,[4 5] ; [171 180],[4.375 4.625] ; [170.625 180.375],0
s5,1,0.831215,0.04543,[4 4] ; [158 184],[3.70285714 4.29714286] ; [158.29714286 183.70285714],0
n6,1,0.84946,0.036027,[7 1] ; [318  37],[7.16253444 0.83746556] ; [317.83746556  37.16253444],0
p7,1,0.856664,0.032624,[7 2] ; [260  86],[6.76901408 2.23098592] ; [260.23098592  85.76901408],0
p12,1,0.901119,0.015437,[1 8] ; [ 35 320],[0.89010989 8.10989011] ; [ 35.10989011 319.89010989],0
b3,1,0.902397,0.015039,[4 5] ; [103 140],[3.82142857 5.17857143] ; [103.17857143 139.82142857],0
b2,1,0.902397,0.015039,[4 5] ; [103 140],[3.82142857 5.17857143] ; [103.17857143 139.82142857],0
d2,1,0.902873,0.014892,[5 4] ; [191 166],[4.81967213 4.18032787] ; [191.18032787 165.81967213],0
b5,1,0.910916,0.012518,[5 4] ; [205 152],[5.16393443 3.83606557] ; [204.83606557 152.16393443],0
