Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002997,8.809185,[15  9] ; [22 54],[ 8.88 15.12] ; [28.12 47.88],0
a5,1,0.008524,6.919935,[18  6] ; [36 45],[12.34285714 11.65714286] ; [41.65714286 39.34285714],0
s1,1,0.093534,2.812475,[ 3 20] ; [ 3 77],[ 1.33980583 21.66019417] ; [ 4.66019417 75.33980583],0
p6,1,0.115446,2.478037,[ 1 23] ; [13 64],[ 3.32673267 20.67326733] ; [10.67326733 66.32673267],0
r2,1,0.117008,2.456925,[22  2] ; [61 18],[19.33980583  4.66019417] ; [63.66019417 15.33980583],0
v1,1,0.139226,2.186493,[13 11] ; [29 49],[ 9.88235294 14.11764706] ; [32.11764706 45.88235294],0
a3,1,0.14924,2.08,[18  6] ; [47 33],[15.  9.] ; [50. 30.],0
u2,1,0.165012,1.927687,[5 1] ; [18 16],[3.45 2.55] ; [19.55 14.45],0
s8,1,0.201168,1.633873,[ 7 17] ; [14 67],[ 4.8 19.2] ; [16.2 64.8],0
b5,1,0.210497,1.568005,[12 12] ; [52 29],[14.62857143  9.37142857] ; [49.37142857 31.62857143],0
n4,1,0.216617,1.526643,[15  9] ; [39 42],[12.34285714 11.65714286] ; [41.65714286 39.34285714],0
p9,1,0.223693,1.480522,[16  8] ; [41 37],[13.41176471 10.58823529] ; [43.58823529 34.41176471],0
s5,1,0.226947,1.459893,[ 2 21] ; [15 62],[ 3.91 19.09] ; [13.09 63.91],0
p11,1,0.231468,1.431818,[14 10] ; [36 45],[11.42857143 12.57142857] ; [38.57142857 42.42857143],0
p3,1,0.273115,1.201035,[ 7 17] ; [15 65],[ 5.07692308 18.92307692] ; [16.92307692 63.07692308],0
r4,1,0.283076,1.152263,[16  8] ; [44 37],[13.71428571 10.28571429] ; [46.28571429 34.71428571],0
p7,1,0.285677,1.139882,[ 6 18] ; [28 48],[ 8.16 15.84] ; [25.84 50.16],0
p10,1,0.296602,1.089408,[14 10] ; [36 42],[11.76470588 12.23529412] ; [38.23529412 39.76470588],0
p1,1,0.313559,1.015625,[ 3 21] ; [ 5 75],[ 1.84615385 22.15384615] ; [ 6.15384615 73.84615385],0
a4,1,0.324127,0.972222,[10 14] ; [25 56],[ 8. 16.] ; [27. 54.],0
p5,1,0.356023,0.851874,[ 1 23] ; [ 1 80],[ 0.45714286 23.54285714] ; [ 1.54285714 79.45714286],0
r1,1,0.357185,0.847767,[17  7] ; [49 32],[15.08571429  8.91428571] ; [50.91428571 30.08571429],0
b4,1,0.357716,0.845897,[15  9] ; [42 39],[13.02857143 10.97142857] ; [43.97142857 37.02857143],0
p12,1,0.367079,0.813529,[ 1 23] ; [ 1 78],[ 0.46601942 23.53398058] ; [ 1.53398058 77.46601942],0
s4,1,0.41756,0.657172,[ 3 21] ; [16 65],[ 4.34285714 19.65714286] ; [14.65714286 66.34285714],0
a1,1,0.433772,0.612703,[ 3 21] ; [ 6 75],[ 2.05714286 21.94285714] ; [ 6.94285714 74.05714286],0
u3,1,0.45102,0.568087,[2 4] ; [17 17],[2.85 3.15] ; [16.15 17.85],0
s2,1,0.465707,0.532144,[ 9 15] ; [24 57],[ 7.54285714 16.45714286] ; [25.45714286 55.54285714],0
a2,1,0.493055,0.469853,[ 2 22] ; [11 70],[ 2.97142857 21.02857143] ; [10.02857143 70.97142857],0
v4,1,0.49377,0.468301,[19  5] ; [57 22],[17.70873786  6.29126214] ; [58.29126214 20.70873786],0
s3,1,0.49599,0.463506,[13 11] ; [37 43],[11.53846154 12.46153846] ; [38.46153846 41.53846154],0
a6,1,0.513549,0.426829,[16  8] ; [48 33],[14.62857143  9.37142857] ; [49.37142857 31.62857143],0
d3,1,0.515419,0.423051,[15  9] ; [44 36],[13.61538462 10.38461538] ; [45.38461538 34.61538462],0
r3,1,0.557143,0.344675,[18  6] ; [55 25],[16.84615385  7.15384615] ; [56.15384615 23.84615385],0
b3,1,0.58361,0.300434,[4 7] ; [12 31],[3.25925926 7.74074074] ; [12.74074074 30.25925926],0
b2,1,0.58361,0.300434,[4 7] ; [12 31],[3.25925926 7.74074074] ; [12.74074074 30.25925926],0
p2,1,0.631329,0.230263,[12 12] ; [45 36],[13.02857143 10.97142857] ; [43.97142857 37.02857143],0
s7,1,0.652664,0.202559,[ 7 16] ; [19 55],[ 6.16494845 16.83505155] ; [19.83505155 54.16494845],0
p8,1,0.653689,0.201281,[ 5 19] ; [20 59],[ 5.82524272 18.17475728] ; [19.17475728 59.82524272],0
n1,1,0.665706,0.186667,[2 5] ; [13 22],[2.5 4.5] ; [12.5 22.5],0
n5,1,0.728442,0.120547,[10 14] ; [37 44],[10.74285714 13.25714286] ; [36.25714286 44.74285714],0
n3,1,0.733625,0.115809,[5 3] ; [19 15],[4.57142857 3.42857143] ; [19.42857143 14.57142857],0
b1,1,0.75993,0.093374,[11 13] ; [40 41],[11.65714286 12.34285714] ; [39.34285714 41.65714286],0
d5,1,0.791704,0.069748,[15  9] ; [53 28],[15.54285714  8.45714286] ; [52.45714286 28.54285714],0
s6,1,0.822468,0.050343,[ 9 15] ; [28 52],[ 8.53846154 15.46153846] ; [28.46153846 51.53846154],0
a8,1,0.825688,0.048504,[ 2 21] ; [ 8 70],[ 2.27722772 20.72277228] ; [ 7.72277228 70.27722772],0
d2,1,0.859554,0.031308,[ 9 15] ; [32 49],[ 9.37142857 14.62857143] ; [31.62857143 49.37142857],0
d1,1,0.859554,0.031308,[ 9 15] ; [32 49],[ 9.37142857 14.62857143] ; [31.62857143 49.37142857],0
d4,1,0.873123,0.025502,[17  7] ; [58 22],[17.30769231  6.69230769] ; [57.69230769 22.30769231],0
n2,1,0.896187,0.017025,[5 3] ; [21 14],[4.8372093 3.1627907] ; [21.1627907 13.8372093],0
