Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000327,12.90974,[ 1 13] ; [15  7],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],1
d2,1,0.00159,9.971614,[ 2 12] ; [15  7],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
n5,1,0.001701,9.846953,[6 8] ; [20  2],[10.11111111  3.88888889] ; [15.88888889  6.11111111],0
d1,1,0.003673,8.438961,[ 2 12] ; [14  8],[6.22222222 7.77777778] ; [ 9.77777778 12.22222222],0
n6,1,0.005735,7.63183,[6 8] ; [19  3],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
a5,1,0.012649,6.217575,[5 9] ; [17  5],[8.55555556 5.44444444] ; [13.44444444  8.55555556],0
r4,1,0.014986,5.918111,[ 1 13] ; [10 12],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
s5,1,0.014986,5.918111,[ 1 13] ; [10 12],[4.27777778 9.72222222] ; [ 6.72222222 15.27777778],0
s3,1,0.03198,4.599567,[ 2 12] ; [10 10],[4.94117647 9.05882353] ; [ 7.05882353 12.94117647],0
s2,1,0.053116,3.74026,[ 2 12] ; [10 12],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
a6,1,0.073753,3.197459,[ 4 10] ; [13  9],[6.61111111 7.38888889] ; [10.38888889 11.61111111],0
p1,1,0.136826,2.213294,[ 1 13] ; [ 6 16],[ 2.72222222 11.27777778] ; [ 4.27777778 17.72222222],0
p9,1,0.14298,2.145594,[10  4] ; [19  2],[11.6  2.4] ; [17.4  3.6],0
r2,1,0.14298,2.145594,[10  4] ; [19  2],[11.6  2.4] ; [17.4  3.6],0
p3,1,0.163187,1.944444,[ 4 10] ; [11 10],[6. 8.] ; [ 9. 12.],0
b4,1,0.201176,1.633813,[8 6] ; [17  5],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
v2,1,0.20655,1.595442,[ 2 12] ; [ 7 14],[ 3.6 10.4] ; [ 5.4 15.6],0
a4,1,0.226765,1.461039,[ 3 11] ; [ 9 13],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
s8,1,0.226765,1.461039,[ 3 11] ; [ 9 13],[4.66666667 9.33333333] ; [ 7.33333333 14.66666667],0
n1,1,0.245084,1.351111,[3 6] ; [6 4],[4.26315789 4.73684211] ; [4.73684211 5.26315789],0
v4,1,0.296715,1.088898,[11  3] ; [20  2],[12.05555556  1.94444444] ; [18.94444444  3.05555556],0
d5,1,0.33355,0.935065,[8 6] ; [16  6],[9.33333333 4.66666667] ; [14.66666667  7.33333333],0
p7,1,0.340943,0.906883,[7 6] ; [ 7 12],[5.6875 7.3125] ; [ 8.3125 10.6875],0
b5,1,0.341533,0.904668,[6 8] ; [13  9],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
p11,1,0.341533,0.904668,[6 8] ; [13  9],[7.38888889 6.61111111] ; [11.61111111 10.38888889],0
u2,1,0.390636,0.736961,[4 2] ; [3 4],[3.23076923 2.76923077] ; [3.76923077 3.23076923],0
p2,1,0.445009,0.583333,[11  3] ; [14  7],[10.  4.] ; [15.  6.],0
p5,1,0.490153,0.47619,[ 2 12] ; [ 5 16],[ 2.8 11.2] ; [ 4.2 16.8],0
a7,1,0.494125,0.467532,[8 6] ; [10 12],[7. 7.] ; [11. 11.],0
n3,1,0.497739,0.459753,[4 5] ; [6 4],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
a3,1,0.501436,0.451896,[8 6] ; [15  7],[8.94444444 5.05555556] ; [14.05555556  7.94444444],0
s4,1,0.540818,0.374026,[ 3 11] ; [ 3 19],[ 2.33333333 11.66666667] ; [ 3.66666667 18.33333333],0
p8,1,0.563341,0.333952,[9 5] ; [12 10],[8.16666667 5.83333333] ; [12.83333333  9.16666667],0
b1,1,0.563341,0.333952,[9 5] ; [12 10],[8.16666667 5.83333333] ; [12.83333333  9.16666667],0
s7,1,0.567822,0.32634,[6 7] ; [ 8 14],[5.2 7.8] ; [ 8.8 13.2],0
d4,1,0.591943,0.28732,[9 5] ; [16  6],[9.72222222 4.27777778] ; [15.27777778  6.72222222],0
r1,1,0.59256,0.286364,[7 7] ; [13  9],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
a2,1,0.628745,0.233766,[ 2 12] ; [ 2 20],[ 1.55555556 12.44444444] ; [ 2.44444444 19.55555556],0
v3,1,0.635738,0.224359,[ 3 11] ; [ 6 15],[ 3.6 10.4] ; [ 5.4 15.6],0
