Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,21.018513,[ 3 13] ; [52 14],[10.73170732  5.26829268] ; [44.26829268 21.73170732],1
r3,1,7.2e-05,15.749437,[9 7] ; [62  4],[13.85365854  2.14634146] ; [57.14634146  8.85365854],1
r2,1,0.000654,11.614647,[7 8] ; [57  9],[11.85185185  3.14814815] ; [52.14814815 13.85185185],1
p2,1,0.007428,7.166512,[ 4 12] ; [41 25],[8.7804878 7.2195122] ; [36.2195122 29.7804878],0
n6,1,0.04399,4.056956,[ 4 12] ; [35 31],[7.6097561 8.3902439] ; [31.3902439 34.6097561],0
p11,1,0.089464,2.883985,[ 4 12] ; [32 34],[7.02439024 8.97560976] ; [28.97560976 37.02439024],0
b2,1,0.097322,2.748885,[4 5] ; [ 7 31],[2.10638298 6.89361702] ; [ 8.89361702 29.10638298],0
b3,1,0.097322,2.748885,[4 5] ; [ 7 31],[2.10638298 6.89361702] ; [ 8.89361702 29.10638298],0
n2,1,0.12437,2.361404,[3 5] ; [17  8],[4.84848485 3.15151515] ; [15.15151515  9.84848485],0
a4,1,0.172345,1.862424,[8 8] ; [21 45],[ 5.65853659 10.34146341] ; [23.34146341 42.65853659],0
a7,1,0.180836,1.790743,[7 9] ; [41 25],[9.36585366 6.63414634] ; [38.63414634 27.36585366],0
a6,1,0.182296,1.778808,[ 6 10] ; [37 29],[8.3902439 7.6097561] ; [34.6097561 31.3902439],0
d2,1,0.221345,1.49563,[9 7] ; [26 40],[6.82926829 9.17073171] ; [28.17073171 37.82926829],0
p7,1,0.255656,1.292129,[ 5 11] ; [31 35],[7.02439024 8.97560976] ; [28.97560976 37.02439024],0
d4,1,0.259488,1.271487,[14  2] ; [49 17],[12.29268293  3.70731707] ; [50.70731707 15.29268293],0
r1,1,0.304499,1.054387,[9 7] ; [46 20],[10.73170732  5.26829268] ; [44.26829268 21.73170732],0
p4,1,0.41352,0.668658,[ 5 11] ; [28 38],[6.43902439 9.56097561] ; [26.56097561 39.43902439],0
d5,1,0.419875,0.650666,[10  6] ; [48 18],[11.31707317  4.68292683] ; [46.68292683 19.31707317],0
a5,1,0.429222,0.624928,[10  6] ; [34 32],[8.58536585 7.41463415] ; [35.41463415 30.58536585],0
d1,1,0.509528,0.435037,[8 8] ; [27 39],[6.82926829 9.17073171] ; [28.17073171 37.82926829],0
p8,1,0.520449,0.413004,[ 4 12] ; [22 44],[ 5.07317073 10.92682927] ; [20.92682927 45.07317073],0
s1,1,0.527119,0.399942,[ 2 14] ; [ 5 61],[ 1.36585366 14.63414634] ; [ 5.63414634 60.36585366],0
v2,1,0.532603,0.389423,[ 6 10] ; [30 35],[7.11111111 8.88888889] ; [28.88888889 36.11111111],0
a3,1,0.565151,0.330863,[10  6] ; [36 30],[8.97560976 7.02439024] ; [37.02439024 28.97560976],0
s5,1,0.572102,0.319177,[ 2 14] ; [12 53],[ 2.7654321 13.2345679] ; [11.2345679 53.7654321],0
b4,1,0.584624,0.298818,[9 7] ; [42 24],[9.95121951 6.04878049] ; [41.04878049 24.95121951],0
p10,1,0.587897,0.29364,[ 2 14] ; [12 54],[ 2.73170732 13.26829268] ; [11.26829268 54.73170732],0
n3,1,0.592948,0.285764,[4 3] ; [17  8],[4.59375 2.40625] ; [16.40625  8.59375],0
a2,1,0.603626,0.269562,[ 3 13] ; [ 9 57],[ 2.34146341 13.65853659] ; [ 9.65853659 56.34146341],0
s6,1,0.671558,0.179785,[ 5 11] ; [24 41],[ 5.72839506 10.27160494] ; [23.27160494 41.72839506],0
s4,1,0.682257,0.167596,[ 2 14] ; [11 55],[ 2.53658537 13.46341463] ; [10.46341463 55.53658537],0
s3,1,0.742101,0.108289,[ 5 10] ; [25 41],[5.55555556 9.44444444] ; [24.44444444 41.55555556],0
b5,1,0.743582,0.107003,[8 8] ; [36 30],[8.58536585 7.41463415] ; [35.41463415 30.58536585],0
n1,1,0.75415,0.098077,[2 6] ; [ 8 18],[2.35294118 5.64705882] ; [ 7.64705882 18.35294118],0
p6,1,0.784617,0.074697,[ 3 13] ; [14 50],[ 3.4 12.6] ; [13.6 50.4],0
p3,1,0.843563,0.038942,[ 5 11] ; [22 43],[ 5.33333333 10.66666667] ; [21.66666667 43.33333333],0
v3,1,0.845772,0.037837,[ 4 12] ; [17 45],[ 4.30769231 11.69230769] ; [16.69230769 45.30769231],0
s2,1,0.846026,0.03771,[ 5 11] ; [19 47],[ 4.68292683 11.31707317] ; [19.31707317 46.68292683],0
s7,1,0.878747,0.023274,[ 3 11] ; [14 46],[ 3.21621622 10.78378378] ; [13.78378378 46.21621622],0
n4,1,0.889189,0.019413,[ 6 10] ; [26 40],[6.24390244 9.75609756] ; [25.75609756 40.24390244],0
b1,1,0.923371,0.009252,[9 7] ; [38 28],[9.17073171 6.82926829] ; [37.82926829 28.17073171],0
v1,1,0.96505,0.00192,[ 5 11] ; [21 45],[ 5.07317073 10.92682927] ; [20.92682927 45.07317073],0
d3,1,0.989073,0.000188,[9 7] ; [37 29],[8.97560976 7.02439024] ; [37.02439024 28.97560976],0
u2,1,1.0,0.0,[3 3] ; [15 15],[3. 3.] ; [15. 15.],0
