Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.014357,5.993717,[1 3] ; [ 1 53],[0.13793103 3.86206897] ; [ 1.86206897 52.13793103],0
s1,1,0.014357,5.993717,[1 3] ; [ 1 53],[0.13793103 3.86206897] ; [ 1.86206897 52.13793103],0
s5,1,0.081531,3.034114,[2 2] ; [ 8 44],[0.71428571 3.28571429] ; [ 9.28571429 42.71428571],0
a5,1,0.09431,2.799228,[1 3] ; [36 18],[2.55172414 1.44827586] ; [34.44827586 19.55172414],0
a4,1,0.100824,2.692456,[2 2] ; [ 9 45],[0.75862069 3.24137931] ; [10.24137931 43.75862069],0
s7,1,0.107907,2.584615,[3 1] ; [18 34],[1.5 2.5] ; [19.5 32.5],0
b1,1,0.157087,2.002042,[1 3] ; [33 21],[2.34482759 1.65517241] ; [31.65517241 22.34482759],0
p3,1,0.221063,1.497454,[3 1] ; [23 30],[1.8245614 2.1754386] ; [24.1754386 28.8245614],0
s2,1,0.221063,1.497454,[3 1] ; [23 30],[1.8245614 2.1754386] ; [24.1754386 28.8245614],0
p1,1,0.226426,1.463173,[1 3] ; [ 4 50],[0.34482759 3.65517241] ; [ 4.65517241 49.34482759],0
v4,1,0.226426,1.463173,[3 1] ; [50  4],[3.65517241 0.34482759] ; [49.34482759  4.65517241],0
p6,1,0.296299,1.090776,[2 1] ; [19 33],[1.14545455 1.85454545] ; [19.85454545 32.14545455],0
a8,1,0.297147,1.086957,[1 3] ; [ 4 42],[0.4 3.6] ; [ 4.6 41.4],0
s8,1,0.311419,1.024649,[2 2] ; [14 39],[1.12280702 2.87719298] ; [14.87719298 38.12280702],0
r3,1,0.318549,0.994896,[3 1] ; [49  5],[3.5862069 0.4137931] ; [48.4137931  5.5862069],0
s3,1,0.334307,0.932143,[3 1] ; [27 27],[2.06896552 1.93103448] ; [27.93103448 26.06896552],0
a3,1,0.334307,0.932143,[3 1] ; [27 27],[2.06896552 1.93103448] ; [27.93103448 26.06896552],0
d1,1,0.408585,0.682915,[3 1] ; [29 25],[2.20689655 1.79310345] ; [29.79310345 24.20689655],0
u1,1,0.410643,0.676937,[1 3] ; [ 6 48],[0.48275862 3.51724138] ; [ 6.51724138 47.48275862],0
v3,1,0.4111,0.675617,[2 2] ; [16 37],[1.26315789 2.73684211] ; [16.73684211 36.26315789],0
s6,1,0.472403,0.516349,[3 1] ; [30 23],[2.31578947 1.68421053] ; [30.68421053 22.31578947],0
v1,1,0.49861,0.457895,[2 2] ; [18 36],[1.37931034 2.62068966] ; [18.62068966 35.37931034],0
a6,1,0.49861,0.457895,[2 2] ; [36 18],[2.62068966 1.37931034] ; [35.37931034 18.62068966],0
b2,1,0.557867,0.343411,[1 3] ; [ 4 25],[0.60606061 3.39393939] ; [ 4.39393939 24.60606061],0
b3,1,0.557867,0.343411,[1 3] ; [ 4 25],[0.60606061 3.39393939] ; [ 4.39393939 24.60606061],0
b5,1,0.606159,0.265806,[2 2] ; [34 20],[2.48275862 1.51724138] ; [33.51724138 20.48275862],0
p10,1,0.628857,0.233615,[1 3] ; [20 34],[1.44827586 2.55172414] ; [19.55172414 34.44827586],0
a7,1,0.731862,0.117409,[3 1] ; [36 18],[2.68965517 1.31034483] ; [36.31034483 17.68965517],0
p11,1,0.829316,0.046474,[2 2] ; [30 24],[2.20689655 1.79310345] ; [29.79310345 24.20689655],0
d4,1,0.897716,0.016524,[3 1] ; [42 12],[3.10344828 0.89655172] ; [41.89655172 12.10344828],0
r1,1,0.904533,0.014385,[3 1] ; [39 15],[2.89655172 1.10344828] ; [39.10344828 14.89655172],0
d5,1,0.904533,0.014385,[3 1] ; [39 15],[2.89655172 1.10344828] ; [39.10344828 14.89655172],0
r4,1,0.966693,0.001744,[3 1] ; [41 13],[3.03448276 0.96551724] ; [40.96551724 13.03448276],0
p2,1,0.966693,0.001744,[3 1] ; [41 13],[3.03448276 0.96551724] ; [40.96551724 13.03448276],0
v2,1,1.0,0.0,[2 2] ; [27 27],[2. 2.] ; [27. 27.],0
d2,1,1.0,0.0,[2 2] ; [27 27],[2. 2.] ; [27. 27.],0
