Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,24.0224,[ 3 36] ; [44 37],[15.275 23.725] ; [31.725 49.275],1
a3,1,6.4e-05,15.991176,[17 22] ; [64 16],[26.54621849 12.45378151] ; [54.45378151 25.54621849],1
n4,1,7.3e-05,15.73552,[ 9 30] ; [50 31],[19.175 19.825] ; [39.825 41.175],1
d2,1,8.6e-05,15.412181,[ 5 34] ; [40 40],[14.74789916 24.25210084] ; [30.25210084 49.74789916],1
s4,1,0.000883,11.058514,[11 28] ; [ 5 76],[ 5.2 33.8] ; [10.8 70.2],1
p4,1,0.004544,8.052595,[ 8 31] ; [38 42],[15.07563025 23.92436975] ; [30.92436975 49.07563025],0
p3,1,0.010121,6.613446,[ 7 32] ; [33 46],[13.22033898 25.77966102] ; [26.77966102 52.22033898],0
d5,1,0.015963,5.806944,[27 12] ; [70 10],[31.78991597  7.21008403] ; [65.21008403 14.78991597],0
v2,1,0.020438,5.374119,[11 25] ; [41 35],[16.71428571 19.28571429] ; [35.28571429 40.71428571],0
d1,1,0.023152,5.157083,[14 25] ; [47 34],[19.825 19.175] ; [41.175 39.825],0
r1,1,0.06084,3.514346,[25 14] ; [64 16],[29.16806723  9.83193277] ; [59.83193277 20.16806723],0
v3,1,0.062219,3.477229,[ 6 31] ; [25 51],[10.15044248 26.84955752] ; [20.84955752 55.15044248],0
r4,1,0.11259,2.517483,[25 14] ; [63 18],[28.6 10.4] ; [59.4 21.6],0
p6,1,0.125407,2.348462,[11 27] ; [13 65],[ 7.86206897 30.13793103] ; [16.13793103 61.86206897],0
u1,1,0.162929,1.946825,[ 2 37] ; [11 70],[ 4.225 34.775] ; [ 8.775 72.225],0
b1,1,0.211244,1.562882,[15 24] ; [41 40],[18.2 20.8] ; [37.8 43.2],0
p7,1,0.251324,1.315929,[15 21] ; [41 36],[17.84070796 18.15929204] ; [38.15929204 38.84070796],0
v1,1,0.265723,1.238692,[12 26] ; [33 45],[14.74137931 23.25862069] ; [30.25862069 47.74137931],0
a8,1,0.280045,1.166871,[ 3 35] ; [11 62],[ 4.79279279 33.20720721] ; [ 9.20720721 63.79279279],0
a6,1,0.298864,1.079257,[29 10] ; [66 14],[31.13445378  7.86554622] ; [63.86554622 16.13445378],0
p2,1,0.35425,0.858173,[30  9] ; [55 25],[27.85714286 11.14285714] ; [57.14285714 22.85714286],0
b4,1,0.382512,0.762612,[24 15] ; [43 38],[21.775 17.225] ; [45.225 35.775],0
n3,1,0.416184,0.661065,[9 3] ; [16 10],[7.89473684 4.10526316] ; [17.10526316  8.89473684],0
n5,1,0.421389,0.646438,[15 24] ; [37 43],[17.04201681 21.95798319] ; [34.95798319 45.04201681],0
p10,1,0.432946,0.614909,[25 13] ; [46 33],[23.05982906 14.94017094] ; [47.94017094 31.05982906],0
p1,1,0.437826,0.601973,[ 4 35] ; [ 5 75],[ 2.94957983 36.05042017] ; [ 6.05042017 73.94957983],0
d3,1,0.447199,0.57774,[27 11] ; [62 18],[28.66101695  9.33898305] ; [60.33898305 19.66101695],0
u3,1,0.456845,0.553613,[14  8] ; [12  4],[15.05263158  6.94736842] ; [10.94736842  5.05263158],0
p9,1,0.469147,0.523984,[28 10] ; [53 26],[26.30769231 11.69230769] ; [54.69230769 24.30769231],0
s3,1,0.474735,0.510933,[20 19] ; [35 44],[18.1779661 20.8220339] ; [36.8220339 42.1779661],0
p8,1,0.533666,0.387407,[16 21] ; [29 49],[14.47826087 22.52173913] ; [30.52173913 47.47826087],0
s1,1,0.545359,0.365698,[ 3 35] ; [ 4 75],[ 2.27350427 35.72649573] ; [ 4.72649573 74.27350427],0
n1,1,0.55336,0.351331,[3 9] ; [ 9 17],[3.78947368 8.21052632] ; [ 8.21052632 17.78947368],0
p11,1,0.569992,0.322695,[20 19] ; [46 35],[21.45 17.55] ; [44.55 36.45],0
b2,1,0.595904,0.281217,[ 4 16] ; [12 34],[ 4.84848485 15.15151515] ; [11.15151515 34.84848485],0
b3,1,0.595904,0.281217,[ 4 16] ; [12 34],[ 4.84848485 15.15151515] ; [11.15151515 34.84848485],0
s2,1,0.614074,0.254285,[16 23] ; [29 51],[14.74789916 24.25210084] ; [30.25210084 49.74789916],0
s7,1,0.628111,0.234631,[13 25] ; [22 52],[11.875 26.125] ; [23.125 50.875],0
s5,1,0.662038,0.191057,[ 6 33] ; [14 61],[ 6.84210526 32.15789474] ; [13.15789474 61.84210526],0
r2,1,0.665035,0.187465,[33  6] ; [70 10],[33.75630252  5.24369748] ; [69.24369748 10.75630252],0
d4,1,0.691073,0.157926,[31  8] ; [66 14],[31.78991597  7.21008403] ; [65.21008403 14.78991597],0
r3,1,0.748144,0.103097,[32  6] ; [70 11],[32.57142857  5.42857143] ; [69.42857143 11.57142857],0
b5,1,0.790542,0.070547,[26 13] ; [52 29],[25.35 13.65] ; [52.65 28.35],0
s8,1,0.872251,0.025856,[11 28] ; [24 57],[11.375 27.625] ; [23.625 57.375],0
u2,1,0.899192,0.016048,[14  7] ; [11  6],[13.81578947  7.18421053] ; [11.18421053  5.81578947],0
v4,1,0.934746,0.006704,[33  6] ; [69 12],[33.15  5.85] ; [68.85 12.15],0
s6,1,0.945606,0.004655,[19 20] ; [40 41],[19.175 19.825] ; [39.825 41.175],0
n2,1,0.95673,0.002944,[7 5] ; [16 11],[7.07692308 4.92307692] ; [15.92307692 11.07692308],0
