Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,24.098655,[ 9 38] ; [28 11],[20.22093023 26.77906977] ; [16.77906977 22.22093023],1
v3,1,0.000124,14.728088,[ 7 40] ; [21 18],[15.30232558 31.69767442] ; [12.69767442 26.30232558],1
d4,1,0.004454,8.088862,[27 21] ; [33  6],[33.10344828 14.89655172] ; [26.89655172 12.10344828],0
a3,1,0.004726,7.981301,[15 33] ; [24 15],[21.51724138 26.48275862] ; [17.48275862 21.51724138],0
b3,1,0.007552,7.136642,[ 3 24] ; [11 14],[ 7.26923077 19.73076923] ; [ 6.73076923 18.26923077],0
b2,1,0.007552,7.136642,[ 3 24] ; [11 14],[ 7.26923077 19.73076923] ; [ 6.73076923 18.26923077],0
s6,1,0.01211,6.294748,[24 24] ; [27  8],[29.4939759 18.5060241] ; [21.5060241 13.4939759],0
p4,1,0.016872,5.709613,[25 23] ; [30  9],[30.34482759 17.65517241] ; [24.65517241 14.34482759],0
d5,1,0.022221,5.228365,[27 21] ; [31  8],[32. 16.] ; [26. 13.],0
n4,1,0.027514,4.858284,[26 22] ; [30  9],[30.89655172 17.10344828] ; [25.10344828 13.89655172],0
s3,1,0.034794,4.455236,[17 30] ; [23 16],[21.86046512 25.13953488] ; [18.13953488 20.86046512],0
d1,1,0.037419,4.331225,[13 35] ; [19 20],[17.65517241 30.34482759] ; [14.34482759 24.65517241],0
s5,1,0.038942,4.263388,[ 8 39] ; [13 22],[12.03658537 34.96341463] ; [ 8.96341463 26.03658537],0
n5,1,0.047607,3.923792,[28 19] ; [31  8],[32.24418605 14.75581395] ; [26.75581395 12.24418605],0
n1,1,0.049184,3.869048,[ 2 12] ; [6 6],[4.30769231 9.69230769] ; [3.69230769 8.30769231],0
p10,1,0.070655,3.267735,[34 12] ; [34  4],[37.23809524  8.76190476] ; [30.76190476  7.23809524],0
p9,1,0.077508,3.1164,[36 12] ; [35  4],[39.17241379  8.82758621] ; [31.82758621  7.17241379],0
d3,1,0.079504,3.07502,[23 25] ; [26 13],[27.03448276 20.96551724] ; [21.96551724 17.03448276],0
a5,1,0.144447,2.129935,[22 26] ; [24 15],[25.37931034 22.62068966] ; [20.62068966 18.37931034],0
n2,1,0.149173,2.080688,[8 6] ; [10  2],[9.69230769 4.30769231] ; [8.30769231 3.69230769],0
r4,1,0.19228,1.700062,[28 20] ; [28 11],[30.89655172 17.10344828] ; [25.10344828 13.89655172],0
p3,1,0.204851,1.607444,[23 25] ; [24 15],[25.93103448 22.06896552] ; [21.06896552 17.93103448],0
p5,1,0.209677,1.573657,[ 6 41] ; [ 9 30],[ 8.19767442 38.80232558] ; [ 6.80232558 32.19767442],0
