Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,56.734827,[132 220] ; [107  36],[169.95555556 182.04444444] ; [69.04444444 73.95555556],1
v1,1,1.1e-05,19.382516,[133 228] ; [85 61],[155.22287968 205.77712032] ; [62.77712032 83.22287968],1
r2,1,0.000213,13.711575,[313  46] ; [143   3],[324.16633663  34.83366337] ; [131.83366337  14.16633663],1
p12,1,0.006363,7.44461,[  6 358] ; [  9 137],[ 10.70588235 353.29411765] ; [  4.29411765 141.70588235],0
v4,1,0.009776,6.675193,[313  48] ; [140   8],[321.28290766  39.71709234] ; [131.71709234  16.28290766],0
r4,1,0.010876,6.485481,[279  86] ; [128  20],[289.58089669  75.41910331] ; [117.41910331  30.58089669],0
p3,1,0.01336,6.120851,[123 240] ; [67 80],[135.23529412 227.76470588] ; [54.76470588 92.23529412],0
n4,1,0.018197,5.577109,[239 126] ; [112  35],[250.22460938 114.77539062] ; [100.77539062  46.22460938],0
n5,1,0.020296,5.386259,[229 132] ; [109  38],[240.19291339 120.80708661] ; [97.80708661 49.19291339],0
b4,1,0.020343,5.382194,[201 164] ; [98 50],[212.73879142 152.26120858] ; [86.26120858 61.73879142],0
a2,1,0.031113,4.646715,[ 59 306] ; [ 36 112],[ 67.59259259 297.40740741] ; [ 27.40740741 120.59259259],0
r1,1,0.033914,4.499017,[248 115] ; [115  33],[257.86497065 105.13502935] ; [105.13502935  42.86497065],0
p10,1,0.03682,4.358741,[237 123] ; [110  36],[246.87747036 113.12252964] ; [100.12252964  45.87747036],0
p7,1,0.039516,4.238556,[180 178] ; [87 57],[190.41035857 167.58964143] ; [76.58964143 67.41035857],0
p4,1,0.056166,3.647121,[158 206] ; [76 68],[167.66929134 196.33070866] ; [66.33070866 77.66929134],0
a7,1,0.056688,3.631717,[249 115] ; [113  34],[257.8630137 106.1369863] ; [104.1369863  42.8630137],0
p8,1,0.057244,3.615476,[141 220] ; [70 75],[150.53557312 210.46442688] ; [60.46442688 84.53557312],0
r3,1,0.06251,3.469503,[316  45] ; [137  10],[321.91535433  39.08464567] ; [131.08464567  15.91535433],0
b1,1,0.067826,3.334869,[150 215] ; [ 48 100],[140.87719298 224.12280702] ; [57.12280702 90.87719298],0
d2,1,0.094294,2.7995,[135 228] ; [66 80],[143.34577603 219.65422397] ; [57.65422397 88.34577603],0
a3,1,0.099255,2.717468,[218 144] ; [100  47],[226.1611002 135.8388998] ; [91.8388998 55.1611002],0
u1,1,0.105046,2.627206,[ 36 329] ; [ 22 126],[ 41.26705653 323.73294347] ; [ 16.73294347 131.26705653],0
