Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.00187,9.672833,[29 39] ; [23  7],[36.08163265 31.91836735] ; [15.91836735 14.08163265],0
r3,1,0.004903,7.914918,[55 13] ; [16 14],[49.26530612 18.73469388] ; [21.73469388  8.26530612],0
p9,1,0.012768,6.200939,[51 15] ; [15 14],[45.85263158 20.14736842] ; [20.14736842  8.85263158],0
p11,1,0.015759,5.829517,[47 21] ; [13 17],[41.63265306 26.36734694] ; [18.36734694 11.63265306],0
r4,1,0.015947,5.808701,[36 32] ; [ 8 22],[30.53061224 37.46938776] ; [13.46938776 16.53061224],0
p2,1,0.036872,4.356303,[47 21] ; [13 15],[42.5 25.5] ; [17.5 10.5],0
p8,1,0.041844,4.141518,[28 38] ; [ 6 23],[23.62105263 42.37894737] ; [10.37894737 18.62105263],0
p10,1,0.0441,4.052728,[42 26] ; [11 17],[37.54166667 30.45833333] ; [15.45833333 12.54166667],0
v4,1,0.049322,3.864369,[55 13] ; [18 11],[51.17525773 16.82474227] ; [21.82474227  7.17525773],0
n4,1,0.04995,3.843137,[48 20] ; [15 15],[43.71428571 24.28571429] ; [19.28571429 10.71428571],0
d3,1,0.057114,3.619268,[27 41] ; [ 6 24],[22.89795918 45.10204082] ; [10.10204082 19.89795918],0
v3,1,0.067947,3.331943,[19 49] ; [ 3 25],[15.58333333 52.41666667] ; [ 6.41666667 21.58333333],0
n1,1,0.077602,3.114429,[ 9 19] ; [9 6],[11.72093023 16.27906977] ; [6.27906977 8.72093023],0
u2,1,0.085495,2.957223,[ 8 21] ; [9 8],[10.7173913 18.2826087] ; [ 6.2826087 10.7173913],0
b4,1,0.113018,2.511507,[39 29] ; [12 18],[35.3877551 32.6122449] ; [15.6122449 14.3877551],0
d4,1,0.163931,1.937582,[42 26] ; [14 16],[38.85714286 29.14285714] ; [17.14285714 12.85714286],0
a3,1,0.174512,1.843751,[39 28] ; [13 17],[35.91752577 31.08247423] ; [16.08247423 13.91752577],0
a4,1,0.19631,1.669618,[27 40] ; [ 8 22],[24.17525773 42.82474227] ; [10.82474227 19.17525773],0
a1,1,0.214391,1.541525,[ 4 64] ; [ 4 26],[ 5.55102041 62.44897959] ; [ 2.44897959 27.55102041],0
u3,1,0.225413,1.469574,[ 7 22] ; [ 7 10],[ 8.82608696 20.17391304] ; [ 5.17391304 11.82608696],0
a5,1,0.237553,1.395059,[36 32] ; [12 18],[33.30612245 34.69387755] ; [14.69387755 15.30612245],0
d5,1,0.264794,1.24352,[40 28] ; [14 16],[37.46938776 30.53061224] ; [16.53061224 13.46938776],0
s8,1,0.26643,1.235036,[21 47] ; [ 6 24],[18.73469388 49.26530612] ; [ 8.26530612 21.73469388],0
b2,1,0.277678,1.178422,[11 33] ; [ 8 13],[12.86153846 31.13846154] ; [ 6.13846154 14.86153846],0
b3,1,0.277678,1.178422,[11 33] ; [ 8 13],[12.86153846 31.13846154] ; [ 6.13846154 14.86153846],0
s6,1,0.280449,1.164913,[32 34] ; [11 19],[29.5625 36.4375] ; [13.4375 16.5625],0
a2,1,0.28756,1.13101,[ 3 65] ; [ 3 27],[ 4.16326531 63.83673469] ; [ 1.83673469 28.16326531],0
b5,1,0.311961,1.022355,[37 31] ; [13 17],[34.69387755 33.30612245] ; [15.30612245 14.69387755],0
d1,1,0.329619,0.950393,[25 43] ; [ 8 22],[22.89795918 45.10204082] ; [10.10204082 19.89795918],0
s7,1,0.377577,0.778574,[24 41] ; [ 8 21],[22.12765957 42.87234043] ; [ 9.87234043 19.12765957],0
p3,1,0.382389,0.763006,[25 43] ; [ 8 21],[23.13402062 44.86597938] ; [ 9.86597938 19.13402062],0
n5,1,0.394763,0.724222,[51 17] ; [20 10],[49.26530612 18.73469388] ; [21.73469388  8.26530612],0
s4,1,0.399074,0.711114,[11 57] ; [ 7 23],[12.48979592 55.51020408] ; [ 5.51020408 24.48979592],0
a6,1,0.449279,0.572469,[24 44] ; [13 17],[25.67346939 42.32653061] ; [11.32653061 18.67346939],0
s5,1,0.454643,0.559051,[15 49] ; [ 5 25],[13.61702128 50.38297872] ; [ 6.38297872 23.61702128],0
n2,1,0.462941,0.538776,[18 10] ; [12  4],[19.09090909  8.90909091] ; [10.90909091  5.09090909],0
s2,1,0.548668,0.359709,[27 41] ; [10 20],[25.67346939 42.32653061] ; [11.32653061 18.67346939],0
r2,1,0.574219,0.315674,[50 18] ; [19  9],[48.875 19.125] ; [20.125  7.875],0
v2,1,0.596596,0.280161,[25 41] ; [ 9 19],[23.87234043 42.12765957] ; [10.12765957 17.87234043],0
v1,1,0.640429,0.218182,[21 45] ; [11 19],[22. 44.] ; [10. 20.],0
p1,1,0.652494,0.20277,[ 9 59] ; [ 3 27],[ 8.32653061 59.67346939] ; [ 3.67346939 26.32653061],0
p5,1,0.659149,0.194559,[ 5 63] ; [ 3 27],[ 5.55102041 62.44897959] ; [ 2.44897959 27.55102041],0
p6,1,0.788204,0.07217,[18 47] ; [ 7 21],[17.47311828 47.52688172] ; [ 7.52688172 20.47311828],0
d2,1,0.803305,0.062037,[29 37] ; [14 16],[29.5625 36.4375] ; [13.4375 16.5625],0
s3,1,0.827584,0.047437,[28 38] ; [13 16],[28.48421053 37.51578947] ; [12.51578947 16.48421053],0
p4,1,0.896475,0.01693,[31 36] ; [13 16],[30.70833333 36.29166667] ; [13.29166667 15.70833333],0
n3,1,0.90571,0.014031,[18 10] ; [10  6],[17.81818182 10.18181818] ; [10.18181818  5.81818182],0
p7,1,0.945829,0.004617,[33 34] ; [15 15],[33.15463918 33.84536082] ; [14.84536082 15.15463918],0
a8,1,0.953546,0.003394,[ 4 59] ; [ 2 28],[ 4.06451613 58.93548387] ; [ 1.93548387 28.06451613],0
