Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-06,21.013264,[93 26] ; [10 19],[82.81756757 36.18243243] ; [20.18243243  8.81756757],1
s2,1,2.2e-05,18.015744,[90 29] ; [10 19],[80.40540541 38.59459459] ; [19.59459459  9.40540541],1
s5,1,0.000282,13.184662,[64 53] ; [ 4 22],[55.63636364 61.36363636] ; [12.36363636 13.63636364],1
r3,1,0.000515,12.059727,[112   7] ; [21  8],[106.93918919  12.06081081] ; [26.06081081  2.93918919],1
r4,1,0.001104,10.644588,[106  15] ; [18 11],[100.02666667  20.97333333] ; [23.97333333  5.02666667],0
r1,1,0.002234,9.346683,[93 28] ; [14 15],[86.31333333 34.68666667] ; [20.68666667  8.31333333],0
s8,1,0.003831,8.362259,[61 60] ; [ 6 23],[54.04666667 66.95333333] ; [12.95333333 16.04666667],0
b4,1,0.004278,8.162052,[77 44] ; [10 19],[70.18 50.82] ; [16.82 12.18],0
d1,1,0.00573,7.633167,[72 49] ; [ 9 20],[65.34 55.66] ; [15.66 13.34],0
s7,1,0.006149,7.506195,[75 42] ; [10 18],[68.5862069 48.4137931] ; [16.4137931 11.5862069],0
p4,1,0.015057,5.909819,[72 49] ; [10 19],[66.14666667 54.85333333] ; [15.85333333 13.14666667],0
v4,1,0.018665,5.53266,[115   6] ; [23  5],[112.06711409   8.93288591] ; [25.93288591  2.06711409],0
a2,1,0.01919,5.484108,[27 94] ; [ 1 28],[22.58666667 98.41333333] ; [ 5.41333333 23.58666667],0
n6,1,0.022819,5.182236,[101  19] ; [19 10],[96.6442953 23.3557047] ; [23.3557047  5.6442953],0
d5,1,0.041768,4.144574,[99 22] ; [18 10],[95.01342282 25.98657718] ; [21.98657718  6.01342282],0
d2,1,0.047409,3.930801,[58 63] ; [ 8 21],[53.24 67.76] ; [12.76 16.24],0
r2,1,0.048113,3.906022,[113   8] ; [22  5],[110.37162162  10.62837838] ; [24.62837838  2.37162162],0
p11,1,0.065569,3.390612,[88 33] ; [16 13],[83.89333333 37.10666667] ; [20.10666667  8.89333333],0
p7,1,0.070468,3.272077,[76 41] ; [13 15],[71.8137931 45.1862069] ; [17.1862069 10.8137931],0
p8,1,0.072904,3.216388,[58 59] ; [ 9 20],[53.69178082 63.30821918] ; [13.30821918 15.69178082],0
p9,1,0.083473,2.995952,[99 20] ; [20  9],[95.68243243 23.31756757] ; [23.31756757  5.68243243],0
n2,1,0.090131,2.872033,[30  8] ; [4 4],[28.08695652  9.91304348] ; [5.91304348 2.08695652],0
a5,1,0.120014,2.41714,[85 36] ; [16 13],[81.47333333 39.52666667] ; [19.52666667  9.47333333],0
a3,1,0.143749,2.137361,[84 37] ; [16 13],[80.66666667 40.33333333] ; [19.33333333  9.66666667],0
a4,1,0.158495,1.988522,[55 66] ; [ 9 20],[51.62666667 69.37333333] ; [12.37333333 16.62666667],0
n1,1,0.185759,1.75094,[10 28] ; [4 4],[11.56521739 26.43478261] ; [2.43478261 5.56521739],0
p10,1,0.199055,1.649292,[96 24] ; [20  9],[93.42281879 26.57718121] ; [22.57718121  6.42281879],0
p3,1,0.226889,1.460256,[61 60] ; [11 18],[58.08 62.92] ; [13.92 15.08],0
u1,1,0.268313,1.22535,[23 98] ; [ 3 26],[ 20.97333333 100.02666667] ; [ 5.02666667 23.97333333],0
n5,1,0.306128,1.047307,[83 38] ; [17 12],[80.66666667 40.33333333] ; [19.33333333  9.66666667],0
a6,1,0.311116,1.025933,[75 46] ; [15 14],[72.6 48.4] ; [17.4 11.6],0
d4,1,0.360097,0.837556,[97 24] ; [21  8],[95.18666667 25.81333333] ; [22.81333333  6.18666667],0
n3,1,0.418609,0.654218,[29  9] ; [5 3],[28.08695652  9.91304348] ; [5.91304348 2.08695652],0
v2,1,0.451691,0.566406,[53 63] ; [11 18],[51.2 64.8] ; [12.8 16.2],0
v3,1,0.464294,0.535523,[32 85] ; [ 6 23],[30.45205479 86.54794521] ; [ 7.54794521 21.45205479],0
u3,1,0.481374,0.495748,[24 13] ; [7 6],[22.94 14.06] ; [8.06 4.94],0
a1,1,0.535085,0.384725,[  2 119] ; [ 1 28],[  2.42 118.58] ; [ 0.58 28.42],0
s1,1,0.539856,0.375808,[  5 114] ; [ 2 27],[  5.62837838 113.37162162] ; [ 1.37162162 27.62837838],0
p6,1,0.562593,0.335235,[48 71] ; [10 19],[46.63513514 72.36486486] ; [11.36486486 17.63513514],0
u2,1,0.623808,0.240551,[17 20] ; [7 6],[17.76 19.24] ; [6.24 6.76],0
b1,1,0.676358,0.174255,[45 76] ; [12 17],[45.98 75.02] ; [11.02 17.98],0
a7,1,0.723704,0.124971,[82 39] ; [18 10],[81.20805369 39.79194631] ; [18.79194631  9.20805369],0
n4,1,0.73839,0.111547,[75 46] ; [17 12],[74.21333333 46.78666667] ; [17.78666667 11.21333333],0
b5,1,0.73839,0.111547,[75 46] ; [17 12],[74.21333333 46.78666667] ; [17.78666667 11.21333333],0
d3,1,0.806804,0.059805,[88 33] ; [21  7],[88.51677852 32.48322148] ; [20.48322148  7.51677852],0
b3,1,0.888531,0.019646,[14 48] ; [ 4 15],[13.77777778 48.22222222] ; [ 4.22222222 14.77777778],0
b2,1,0.888531,0.019646,[14 48] ; [ 4 15],[13.77777778 48.22222222] ; [ 4.22222222 14.77777778],0
p2,1,0.909189,0.01301,[93 28] ; [22  7],[92.76666667 28.23333333] ; [22.23333333  6.76666667],0
v1,1,0.977523,0.000794,[50 70] ; [12 17],[49.93288591 70.06711409] ; [12.06711409 16.93288591],0
a8,1,0.993481,6.7e-05,[  4 107] ; [ 1 27],[  3.99280576 107.00719424] ; [ 1.00719424 26.99280576],0
