Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,40.350006,[211  76] ; [104 122],[176.22807018 110.77192982] ; [138.77192982  87.22807018],1
v3,1,0.0,36.917617,[156 125] ; [ 65 162],[122.24606299 158.75393701] ; [ 98.75393701 128.24606299],1
n5,1,1e-06,25.207268,[246  48] ; [150  82],[221.33840304  72.66159696] ; [174.66159696  57.33840304],1
p8,1,3e-06,21.854527,[182 107] ; [ 97 132],[155.65830116 133.34169884] ; [123.34169884 105.65830116],1
p3,1,1e-05,19.570288,[177 115] ; [ 96 137],[151.84 140.16] ; [121.16 111.84],1
p4,1,1.4e-05,18.828627,[211  82] ; [124 107],[187.31870229 105.68129771] ; [147.68129771  83.31870229],1
p6,1,0.000113,14.913577,[134 153] ; [ 69 161],[112.69052224 174.30947776] ; [ 90.30947776 139.69052224],1
p2,1,0.000161,14.237282,[257  36] ; [174  58],[240.53904762  52.46095238] ; [190.46095238  41.53904762],1
p7,1,0.000252,13.399953,[200  84] ; [126 104],[180.12451362 103.87548638] ; [145.87548638  84.12451362],1
v4,1,0.000286,13.158065,[289   6] ; [211  21],[279.88614801  15.11385199] ; [220.11385199  11.88614801],1
p9,1,0.000379,12.632547,[260  30] ; [181  50],[245.47024952  44.52975048] ; [195.52975048  35.47024952],1
s5,1,0.000451,12.307361,[125 160] ; [ 64 159],[106.03346457 178.96653543] ; [ 82.96653543 140.03346457],1
p11,1,0.001538,10.03195,[244  52] ; [165  68],[228.85444234  67.14555766] ; [180.14555766  52.85444234],0
p10,1,0.001694,9.854884,[252  39] ; [177  56],[238.24236641  52.75763359] ; [190.75763359  42.24236641],0
p5,1,0.00172,9.826167,[ 46 246] ; [ 16 217],[ 34.48380952 257.51619048] ; [ 27.51619048 205.48380952],0
s8,1,0.005813,7.607237,[158 135] ; [ 97 135],[142.31428571 150.68571429] ; [112.68571429 119.31428571],0
s6,1,0.006241,7.479504,[212  79] ; [141  88],[197.54423077  93.45576923] ; [155.45576923  73.54423077],0
n4,1,0.00733,7.190268,[247  48] ; [173  60],[234.65909091  60.34090909] ; [185.34090909  47.65909091],0
s2,1,0.010138,6.61056,[172 120] ; [110 121],[157.44550669 134.55449331] ; [124.55449331 106.44550669],0
r4,1,0.011575,6.374799,[275  21] ; [201  32],[266.34404537  29.65595463] ; [209.65595463  23.34404537],0
r3,1,0.014092,6.026603,[287   9] ; [213  18],[280.83491461  15.16508539] ; [219.16508539  11.83491461],0
p12,1,0.022055,5.241424,[ 33 259] ; [ 13 219],[ 25.63358779 266.36641221] ; [ 20.36641221 211.63358779],0
a5,1,0.022189,5.230896,[257  39] ; [185  48],[247.3194707  48.6805293] ; [194.6805293  38.3194707],0
r1,1,0.023282,5.14731,[256  38] ; [185  47],[246.4904943  47.5095057] ; [194.5095057  37.4904943],0
n6,1,0.046768,3.953723,[257  36] ; [189  43],[248.91047619  44.08952381] ; [197.08952381  34.91047619],0
b3,1,0.052529,3.758843,[ 84 107] ; [49 97],[ 75.37982196 115.62017804] ; [57.62017804 88.37982196],0
