Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3e-06,21.741511,[65 15] ; [14 23],[54.01709402 25.98290598] ; [24.98290598 12.01709402],1
s6,1,0.000228,13.585786,[58 21] ; [13 22],[49.20175439 29.79824561] ; [21.79824561 13.20175439],1
p10,1,0.000639,11.65918,[65 14] ; [18 17],[57.51754386 21.48245614] ; [25.48245614  9.51754386],1
p4,1,0.000654,11.616732,[46 33] ; [ 9 28],[37.45689655 41.54310345] ; [17.54310345 19.45689655],1
v1,1,0.002841,8.906681,[55 24] ; [14 21],[47.81578947 31.18421053] ; [21.18421053 13.81578947],0
p7,1,0.003809,8.372776,[56 20] ; [17 20],[49.09734513 26.90265487] ; [23.90265487 13.09734513],0
p3,1,0.00454,8.054075,[37 43] ; [ 7 30],[30.08547009 49.91452991] ; [13.91452991 23.08547009],0
p5,1,0.018814,5.518741,[15 65] ; [ 1 36],[10.94017094 69.05982906] ; [ 5.05982906 31.94017094],0
s3,1,0.020408,5.376626,[46 33] ; [13 24],[40.18103448 38.81896552] ; [18.81896552 18.18103448],0
s2,1,0.023187,5.154478,[39 40] ; [10 27],[33.37068966 45.62931034] ; [15.62931034 21.37068966],0
v3,1,0.027485,4.86006,[47 32] ; [13 22],[41.57894737 37.42105263] ; [18.42105263 16.57894737],0
p6,1,0.030921,4.657316,[34 43] ; [ 8 27],[28.875 48.125] ; [13.125 21.875],0
s7,1,0.032677,4.562642,[33 42] ; [ 8 27],[27.95454545 47.04545455] ; [13.04545455 21.95454545],0
p8,1,0.044456,4.039153,[40 39] ; [11 25],[35.03478261 43.96521739] ; [15.96521739 20.03478261],0
d3,1,0.057936,3.595494,[46 34] ; [28  9],[50.5982906 29.4017094] ; [23.4017094 13.5982906],0
p2,1,0.070825,3.263803,[66 14] ; [25 12],[62.22222222 17.77777778] ; [28.77777778  8.22222222],0
n2,1,0.093079,2.820301,[15  4] ; [6 6],[12.87096774  6.12903226] ; [8.12903226 3.87096774],0
n6,1,0.129593,2.297369,[67 12] ; [27 10],[64.01724138 14.98275862] ; [29.98275862  7.01724138],0
p1,1,0.168381,1.897297,[ 8 72] ; [ 1 36],[ 6.15384615 73.84615385] ; [ 2.84615385 34.15384615],0
p9,1,0.176078,1.830418,[62 17] ; [24 12],[59.07826087 19.92173913] ; [26.92173913  9.07826087],0
r2,1,0.182026,1.781007,[67 11] ; [34  2],[69.10526316  8.89473684] ; [31.89473684  4.10526316],0
s8,1,0.231608,1.43096,[33 47] ; [11 26],[30.08547009 49.91452991] ; [13.91452991 23.08547009],0
