Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,33.367463,[108  15] ; [ 8 15],[97.7260274 25.2739726] ; [18.2739726  4.7260274],1
p9,1,2e-06,23.049004,[107  16] ; [10 13],[98.56849315 24.43150685] ; [18.43150685  4.56849315],1
n4,1,0.000162,14.229352,[100  24] ; [10 13],[92.78911565 31.21088435] ; [17.21088435  5.78911565],1
d5,1,0.001494,10.086108,[102  22] ; [12 11],[96.16326531 27.83673469] ; [17.83673469  5.16326531],0
v1,1,0.001918,9.626734,[74 47] ; [ 6 17],[67.22222222 53.77777778] ; [12.77777778 10.22222222],0
r1,1,0.002422,9.198513,[97 27] ; [11 12],[91.10204082 32.89795918] ; [16.89795918  6.10204082],0
r4,1,0.00334,8.611625,[107  17] ; [14  9],[102.06802721  21.93197279] ; [18.93197279  4.06802721],0
p2,1,0.004008,8.280272,[112  11] ; [16  7],[107.83561644  15.16438356] ; [20.16438356  2.83561644],0
r3,1,0.006147,7.506737,[115   9] ; [17  6],[111.34693878  12.65306122] ; [20.65306122  2.34693878],0
r2,1,0.008307,6.966105,[113  10] ; [16  6],[109.42758621  13.57241379] ; [19.57241379  2.42758621],0
p8,1,0.008882,6.84649,[81 42] ; [ 8 14],[75.49655172 47.50344828] ; [13.50344828  8.49655172],0
d1,1,0.011906,6.32477,[73 51] ; [ 7 16],[67.4829932 56.5170068] ; [12.5170068 10.4829932],0
n5,1,0.02028,5.387632,[94 30] ; [12 11],[89.41496599 34.58503401] ; [16.58503401  6.41496599],0
a5,1,0.02028,5.387632,[94 30] ; [12 11],[89.41496599 34.58503401] ; [16.58503401  6.41496599],0
p7,1,0.026042,4.953261,[93 31] ; [12 11],[88.57142857 35.42857143] ; [16.42857143  6.57142857],0
v2,1,0.027898,4.834373,[71 48] ; [ 8 15],[66.20422535 52.79577465] ; [12.79577465 10.20422535],0
b4,1,0.039488,4.23974,[72 52] ; [ 8 15],[67.4829932 56.5170068] ; [12.5170068 10.4829932],0
d2,1,0.056617,3.633804,[59 65] ; [ 6 17],[54.82993197 69.17006803] ; [10.17006803 12.82993197],0
d4,1,0.075441,3.160478,[97 27] ; [14  9],[93.63265306 30.36734694] ; [17.36734694  5.63265306],0
v3,1,0.083243,3.00042,[50 68] ; [ 5 17],[46.35714286 71.64285714] ; [ 8.64285714 13.35714286],0
u2,1,0.117709,2.44754,[19 16] ; [3 8],[16.73913043 18.26086957] ; [5.26086957 5.73913043],0
p3,1,0.11786,2.445534,[80 43] ; [11 12],[76.66438356 46.33561644] ; [14.33561644  8.66438356],0
a3,1,0.126486,2.335106,[88 36] ; [12 10],[84.93150685 39.06849315] ; [15.06849315  6.93150685],0
a4,1,0.128921,2.305455,[59 65] ; [ 7 16],[55.67346939 68.32653061] ; [10.32653061 12.67346939],0
v4,1,0.131699,2.272364,[118   6] ; [20  3],[116.40816327   7.59183673] ; [21.59183673  1.40816327],0
s5,1,0.167651,1.903823,[ 20 103] ; [ 1 20],[ 17.9375 105.0625] ; [ 3.0625 17.9375],0
b5,1,0.189939,1.718093,[68 56] ; [16  7],[70.85714286 53.14285714] ; [13.14285714  9.85714286],0
s4,1,0.195592,1.67499,[  7 117] ; [ 3 20],[  8.43537415 115.56462585] ; [ 1.56462585 21.43537415],0
a6,1,0.197675,1.659469,[87 37] ; [13 10],[84.3537415 39.6462585] ; [15.6462585  7.3537415],0
n3,1,0.201994,1.627897,[22  4] ; [3 2],[20.96774194  5.03225806] ; [4.03225806 0.96774194],0
s1,1,0.340054,0.910227,[  5 118] ; [ 2 21],[  5.89726027 117.10273973] ; [ 1.10273973 21.89726027],0
b2,1,0.349315,0.875943,[37 46] ; [4 9],[35.44791667 47.55208333] ; [5.55208333 7.44791667],0
b3,1,0.349315,0.875943,[37 46] ; [4 9],[35.44791667 47.55208333] ; [5.55208333 7.44791667],0
p6,1,0.394664,0.724524,[49 74] ; [ 7 16],[47.17808219 75.82191781] ; [ 8.82191781 14.17808219],0
n2,1,0.460181,0.545455,[19  6] ; [3 2],[18.33333333  6.66666667] ; [3.66666667 1.33333333],0
s3,1,0.464426,0.535206,[33 88] ; [ 8 15],[34.45138889 86.54861111] ; [ 6.54861111 16.45138889],0
b1,1,0.550289,0.356799,[51 73] ; [11 12],[52.29931973 71.70068027] ; [ 9.70068027 13.29931973],0
s8,1,0.570917,0.321151,[34 90] ; [ 5 18],[32.89795918 91.10204082] ; [ 6.10204082 16.89795918],0
d3,1,0.572772,0.318067,[83 41] ; [14  9],[81.82312925 42.17687075] ; [15.17687075  7.82312925],0
n6,1,0.591368,0.288213,[102  21] ; [18  5],[101.09589041  21.90410959] ; [18.90410959  4.09589041],0
a1,1,0.601605,0.272582,[  3 121] ; [ 1 22],[  3.37414966 120.62585034] ; [ 0.62585034 22.37414966],0
a7,1,0.644255,0.21322,[92 32] ; [16  7],[91.10204082 32.89795918] ; [16.89795918  6.10204082],0
s7,1,0.662134,0.190941,[35 81] ; [ 8 15],[35.88489209 80.11510791] ; [ 7.11510791 15.88489209],0
u3,1,0.670665,0.180825,[19 17] ; [5 6],[18.38297872 17.61702128] ; [5.61702128 5.38297872],0
s2,1,0.820174,0.051675,[24 98] ; [ 5 18],[24.4 97.6] ; [ 4.6 18.4],0
a2,1,0.93362,0.006937,[26 98] ; [ 5 18],[26.14965986 97.85034014] ; [ 4.85034014 18.14965986],0
u1,1,0.985308,0.000339,[ 16 108] ; [ 3 20],[ 16.02721088 107.97278912] ; [ 2.97278912 20.02721088],0
n1,1,1.0,0.0,[10 15] ; [2 3],[10. 15.] ; [2. 3.],0
