Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.002076,9.481481,[7 5] ; [ 5 31],[3. 9.] ; [ 9. 27.],0
p4,1,0.007661,7.111111,[10  2] ; [14 22],[6. 6.] ; [18. 18.],0
p5,1,0.008477,6.929846,[5 7] ; [ 3 32],[2.04255319 9.95744681] ; [ 5.95744681 29.04255319],0
s7,1,0.009801,6.670674,[6 4] ; [ 6 27],[2.79069767 7.20930233] ; [ 9.20930233 23.79069767],0
u3,1,0.01424,6.008127,[3 1] ; [ 3 16],[1.04347826 2.95652174] ; [ 4.95652174 14.04347826],0
p12,1,0.015861,5.818182,[3 9] ; [ 1 35],[ 1. 11.] ; [ 3. 33.],0
d1,1,0.020921,5.333333,[6 6] ; [ 6 30],[3. 9.] ; [ 9. 27.],0
d5,1,0.028977,4.768959,[10  2] ; [17 19],[6.75 5.25] ; [20.25 15.75],0
r3,1,0.029408,4.743544,[11  1] ; [20 15],[7.91489362 4.08510638] ; [23.08510638 11.91489362],0
r1,1,0.033895,4.5,[7 5] ; [ 9 27],[4. 8.] ; [12. 24.],0
v2,1,0.038757,4.271485,[8 3] ; [13 22],[5.02173913 5.97826087] ; [15.97826087 19.02173913],0
r4,1,0.039136,4.254945,[6 6] ; [ 7 29],[3.25 8.75] ; [ 9.75 26.25],0
p10,1,0.040264,4.20671,[10  1] ; [20 15],[7.17391304 3.82608696] ; [22.82608696 12.17391304],0
d4,1,0.042522,4.114286,[10  2] ; [18 18],[7. 5.] ; [21. 15.],0
p11,1,0.066744,3.361345,[11  1] ; [23 13],[8.5 3.5] ; [25.5 10.5],0
b3,1,0.075929,3.149952,[5 4] ; [ 5 17],[2.90322581 6.09677419] ; [ 7.09677419 14.90322581],0
b2,1,0.075929,3.149952,[5 4] ; [ 5 17],[2.90322581 6.09677419] ; [ 7.09677419 14.90322581],0
n6,1,0.082854,3.00801,[11  1] ; [23 12],[8.68085106 3.31914894] ; [25.31914894  9.68085106],0
a2,1,0.085192,2.962963,[ 2 10] ; [ 1 35],[ 0.75 11.25] ; [ 2.25 33.75],0
v1,1,0.105645,2.618182,[6 6] ; [ 9 27],[3.75 8.25] ; [11.25 24.75],0
p9,1,0.129393,2.299769,[10  1] ; [23 11],[8.06666667 2.93333333] ; [24.93333333  9.06666667],0
p7,1,0.133277,2.253913,[8 4] ; [15 21],[5.75 6.25] ; [17.25 18.75],0
p3,1,0.157299,2.0,[6 6] ; [10 26],[4. 8.] ; [12. 24.],0
s3,1,0.194194,1.685508,[5 6] ; [ 9 27],[3.27659574 7.72340426] ; [10.72340426 25.27659574],0
d2,1,0.222579,1.487666,[6 6] ; [11 25],[4.25 7.75] ; [12.75 23.25],0
s6,1,0.239639,1.382716,[7 5] ; [14 22],[5.25 6.75] ; [15.75 20.25],0
a5,1,0.242936,1.363478,[8 4] ; [17 19],[6.25 5.75] ; [18.75 17.25],0
n4,1,0.271315,1.210084,[10  2] ; [24 12],[8.5 3.5] ; [25.5 10.5],0
a3,1,0.278335,1.175203,[8 4] ; [17 18],[6.38297872 5.61702128] ; [18.61702128 16.38297872],0
p2,1,0.3017,1.066667,[9 3] ; [21 15],[7.5 4.5] ; [22.5 13.5],0
b1,1,0.315624,1.006993,[5 7] ; [21 15],[6.5 5.5] ; [19.5 16.5],0
p8,1,0.333871,0.933826,[6 6] ; [12 23],[4.59574468 7.40425532] ; [13.40425532 21.59574468],0
s2,1,0.34651,0.886195,[4 7] ; [ 8 28],[2.80851064 8.19148936] ; [ 9.19148936 26.80851064],0
p6,1,0.34651,0.886195,[4 8] ; [ 7 28],[2.80851064 9.19148936] ; [ 8.19148936 26.80851064],0
s5,1,0.371093,0.8,[3 9] ; [ 5 31],[ 2. 10.] ; [ 6. 30.],0
d3,1,0.394198,0.725953,[6 6] ; [13 23],[4.75 7.25] ; [14.25 21.75],0
v4,1,0.400953,0.705467,[8 4] ; [19 17],[6.75 5.25] ; [20.25 15.75],0
b5,1,0.404248,0.695652,[5 7] ; [20 16],[6.25 5.75] ; [18.75 17.25],0
p1,1,0.413133,0.669767,[ 2 10] ; [ 3 33],[ 1.25 10.75] ; [ 3.75 32.25],0
n2,1,0.598802,0.276807,[4 2] ; [7 6],[3.47368421 2.52631579] ; [7.52631579 5.47368421],0
a7,1,0.614295,0.253968,[6 6] ; [15 21],[5.25 6.75] ; [15.75 20.25],0
a4,1,0.713858,0.134454,[4 8] ; [10 26],[3.5 8.5] ; [10.5 25.5],0
u1,1,0.730647,0.118519,[ 1 11] ; [ 2 34],[ 0.75 11.25] ; [ 2.25 33.75],0
a6,1,0.738005,0.111888,[6 6] ; [16 20],[5.5 6.5] ; [16.5 19.5],0
a8,1,0.865339,0.028758,[2 8] ; [ 6 28],[1.81818182 8.18181818] ; [ 6.18181818 27.81818182],0
b4,1,0.867518,0.027826,[6 6] ; [19 17],[6.25 5.75] ; [18.75 17.25],0
n3,1,0.875975,0.024359,[3 3] ; [6 7],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
n1,1,0.911008,0.012492,[2 4] ; [4 9],[1.89473684 4.10526316] ; [4.10526316 8.89473684],0
u2,1,0.923708,0.009171,[2 2] ; [10  9],[2.08695652 1.91304348] ; [9.91304348 9.08695652],0
