Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.703029,[ 5 32] ; [22 12],[14.07042254 22.92957746] ; [12.92957746 21.07042254],1
s5,1,5e-05,16.456229,[ 2 34] ; [16 17],[ 9.39130435 26.60869565] ; [ 8.60869565 24.39130435],1
s4,1,0.000711,11.460367,[ 2 35] ; [13 21],[ 7.81690141 29.18309859] ; [ 7.18309859 26.81690141],1
s8,1,0.001566,9.99886,[ 2 35] ; [12 22],[ 7.29577465 29.70422535] ; [ 6.70422535 27.29577465],0
p6,1,0.008123,7.006048,[ 2 34] ; [10 24],[ 6.17142857 29.82857143] ; [ 5.82857143 28.17142857],0
s7,1,0.008943,6.834272,[ 4 29] ; [13 19],[ 8.63076923 24.36923077] ; [ 8.36923077 23.63076923],0
n6,1,0.012013,6.308987,[14 23] ; [23 11],[19.28169014 17.71830986] ; [17.71830986 16.28169014],0
s3,1,0.013474,6.105815,[10 27] ; [19 15],[15.11267606 21.88732394] ; [13.88732394 20.11267606],0
r4,1,0.019812,5.428386,[21 16] ; [28  6],[25.53521127 11.46478873] ; [23.46478873 10.53521127],0
v1,1,0.023604,5.123522,[ 8 29] ; [16 18],[12.50704225 24.49295775] ; [11.49295775 22.50704225],0
p4,1,0.02867,4.787345,[ 8 28] ; [16 18],[12.34285714 23.65714286] ; [11.65714286 22.34285714],0
p3,1,0.030408,4.686076,[ 4 32] ; [11 23],[ 7.71428571 28.28571429] ; [ 7.28571429 26.71428571],0
s1,1,0.033419,4.524174,[ 7 30] ; [ 1 33],[ 4.16901408 32.83098592] ; [ 3.83098592 30.16901408],0
v2,1,0.054792,3.688417,[11 24] ; [17 14],[14.84848485 20.15151515] ; [13.15151515 17.84848485],0
n2,1,0.07191,3.238866,[7 9] ; [12  4],[9.5 6.5] ; [9.5 6.5],0
r3,1,0.081678,3.031194,[28  9] ; [31  3],[30.74647887  6.25352113] ; [28.25352113  5.74647887],0
r2,1,0.106378,2.607218,[27 10] ; [30  4],[29.70422535  7.29577465] ; [27.29577465  6.70422535],0
p11,1,0.130734,2.283768,[13 24] ; [18 16],[16.15492958 20.84507042] ; [14.84507042 19.15492958],0
a5,1,0.172948,1.8572,[18 19] ; [22 12],[20.84507042 16.15492958] ; [19.15492958 14.84507042],0
d5,1,0.192772,1.696305,[23 14] ; [26  8],[25.53521127 11.46478873] ; [23.46478873 10.53521127],0
d3,1,0.196107,1.671136,[15 22] ; [19 15],[17.71830986 19.28169014] ; [16.28169014 17.71830986],0
u2,1,0.248767,1.330215,[9 5] ; [5 7],[7.53846154 6.46153846] ; [6.46153846 5.53846154],0
a4,1,0.310962,1.026587,[12 25] ; [15 19],[14.07042254 22.92957746] ; [12.92957746 21.07042254],0
p8,1,0.340784,0.907478,[ 8 28] ; [11 23],[ 9.77142857 26.22857143] ; [ 9.22857143 24.77142857],0
p7,1,0.347558,0.882353,[ 9 27] ; [12 22],[10.8 25.2] ; [10.2 23.8],0
r1,1,0.376809,0.781086,[19 18] ; [21 13],[20.84507042 16.15492958] ; [19.15492958 14.84507042],0
b4,1,0.376809,0.781086,[19 18] ; [21 13],[20.84507042 16.15492958] ; [19.15492958 14.84507042],0
a2,1,0.408111,0.684297,[ 4 33] ; [ 6 28],[ 5.21126761 31.78873239] ; [ 4.78873239 29.21126761],0
p9,1,0.466661,0.52987,[16 19] ; [18 15],[17.5 17.5] ; [16.5 16.5],0
