Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.46118,[ 24 133] ; [47 66],[ 41.28518519 115.71481481] ; [29.71481481 83.28518519],1
r3,1,1.6e-05,18.638619,[122  38] ; [108   5],[134.7985348  25.2014652] ; [95.2014652 17.7985348],1
v1,1,3.5e-05,17.116145,[ 42 117] ; [58 56],[ 58.24175824 100.75824176] ; [41.75824176 72.24175824],1
r1,1,0.000204,13.796334,[88 72] ; [89 27],[102.60869565  57.39130435] ; [74.39130435 41.60869565],1
d4,1,0.001091,10.665674,[107  53] ; [97 18],[118.69090909  41.30909091] ; [85.30909091 29.69090909],0
p11,1,0.002598,9.070149,[91 70] ; [86 30],[102.87725632  58.12274368] ; [74.12274368 41.87725632],0
d1,1,0.00308,8.75938,[ 56 105] ; [61 55],[68.00361011 92.99638989] ; [48.99638989 67.00361011],0
d5,1,0.005936,7.569567,[97 62] ; [89 27],[107.54181818  51.45818182] ; [78.45818182 37.54181818],0
p10,1,0.009517,6.723134,[83 76] ; [78 37],[93.4270073 65.5729927] ; [67.5729927 47.4270073],0
v4,1,0.010343,6.574915,[127  32] ; [104  10],[134.53846154  24.46153846] ; [96.46153846 17.53846154],0
d3,1,0.012359,6.25864,[81 77] ; [77 39],[91.10948905 66.89051095] ; [66.89051095 49.10948905],0
p7,1,0.013349,6.122235,[ 52 104] ; [55 59],[61.82222222 94.17777778] ; [45.17777778 68.82222222],0
a5,1,0.013712,6.074856,[83 78] ; [77 39],[92.99638989 68.00361011] ; [67.00361011 48.99638989],0
a7,1,0.019002,5.501316,[95 65] ; [84 31],[104.14545455  55.85454545] ; [74.85454545 40.14545455],0
r4,1,0.037962,4.306736,[108  53] ; [91 25],[115.66425993  45.33574007] ; [83.33574007 32.66425993],0
n6,1,0.040066,4.215094,[104  56] ; [88 27],[111.70909091  48.29090909] ; [80.29090909 34.70909091],0
p3,1,0.056259,3.644374,[ 22 138] ; [26 89],[ 27.92727273 132.07272727] ; [20.07272727 94.92727273],0
a3,1,0.069266,3.300328,[92 66] ; [80 36],[99.18248175 58.81751825] ; [72.81751825 43.18248175],0
n3,1,0.07669,3.1337,[35 26] ; [25  8],[38.93617021 22.06382979] ; [21.06382979 11.93617021],0
p9,1,0.076856,3.130163,[95 60] ; [81 32],[101.79104478  53.20895522] ; [74.20895522 38.79104478],0
s6,1,0.082587,3.013243,[ 55 105] ; [51 63],[61.89781022 98.10218978] ; [44.10218978 69.89781022],0
a4,1,0.127997,2.31663,[ 49 110] ; [46 70],[ 54.92727273 104.07272727] ; [40.07272727 75.92727273],0
p2,1,0.130553,2.28592,[97 62] ; [81 35],[102.91636364  56.08363636] ; [75.08363636 40.91636364],0
a6,1,0.138106,2.198932,[95 65] ; [79 37],[100.86956522  59.13043478] ; [73.13043478 42.86956522],0
r2,1,0.162137,1.954177,[136  23] ; [103  10],[139.70955882  19.29044118] ; [99.29044118 13.70955882],0
s1,1,0.164918,1.928545,[ 10 150] ; [  3 111],[  7.59124088 152.40875912] ; [  5.40875912 108.59124088],0
s5,1,0.30519,1.051379,[ 26 133] ; [24 89],[ 29.22794118 129.77205882] ; [20.77205882 92.22794118],0
p5,1,0.317946,0.997378,[  6 153] ; [  2 114],[  4.62545455 154.37454545] ; [  3.37454545 112.62545455],0
s7,1,0.343444,0.897534,[ 26 127] ; [24 87],[ 28.97727273 124.02272727] ; [21.02272727 89.97727273],0
b1,1,0.348254,0.879809,[63 98] ; [39 77],[ 59.28519856 101.71480144] ; [42.71480144 73.28519856],0
n5,1,0.350434,0.871885,[100  61] ; [65 50],[96.25 64.75] ; [68.75 46.25],0
p1,1,0.35503,0.855398,[ 11 147] ; [  5 111],[  9.22627737 148.77372263] ; [  6.77372263 109.22627737],0
s2,1,0.359042,0.84124,[ 42 118] ; [36 79],[ 45.38181818 114.61818182] ; [32.61818182 82.38181818],0
a1,1,0.374733,0.787911,[ 11 150] ; [  5 111],[  9.29963899 151.70036101] ; [  6.70036101 109.29963899],0
u1,1,0.377819,0.777787,[ 13 148] ; [ 13 103],[ 15.11191336 145.88808664] ; [ 10.88808664 105.11191336],0
