Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,22.958839,[115  42] ; [28 42],[98.9030837 58.0969163] ; [44.0969163 25.9030837],1
r4,1,0.000205,13.784759,[145  12] ; [52 18],[136.25110132  20.74889868] ; [60.74889868  9.25110132],1
d3,1,0.000855,11.118612,[118  39] ; [37 33],[107.20264317  49.79735683] ; [47.79735683 22.20264317],1
r2,1,0.001709,9.838329,[147   7] ; [58 12],[140.9375  13.0625] ; [64.0625  5.9375],0
a2,1,0.00245,9.177923,[ 38 119] ; [ 5 65],[ 29.74008811 127.25991189] ; [13.25991189 56.74008811],0
u1,1,0.003433,8.561595,[ 30 127] ; [ 3 67],[ 22.82378855 134.17621145] ; [10.17621145 59.82378855],0
v4,1,0.006093,7.522669,[154   3] ; [63  7],[150.08370044   6.91629956] ; [66.91629956  3.08370044],0
p2,1,0.01036,6.571998,[144  13] ; [55 14],[138.24336283  18.75663717] ; [60.75663717  8.24336283],0
b1,1,0.012332,6.262558,[66 91] ; [42 28],[74.69603524 82.30396476] ; [33.30396476 36.69603524],0
s7,1,0.037965,4.306575,[72 77] ; [42 24],[79.00465116 69.99534884] ; [34.99534884 31.00465116],0
p5,1,0.071019,3.259307,[ 19 135] ; [15 54],[ 23.47982063 130.52017937] ; [10.52017937 58.47982063],0
d5,1,0.077308,3.120598,[128  29] ; [49 20],[122.96017699  34.03982301] ; [54.03982301 14.96017699],0
r3,1,0.087728,2.91557,[148   8] ; [62  8],[144.95575221  11.04424779] ; [65.04424779  4.95575221],0
n6,1,0.091585,2.846283,[138  18] ; [56 14],[133.91150442  22.08849558] ; [60.08849558  9.91150442],0
n3,1,0.101756,2.677799,[22  8] ; [9 9],[19.375 10.625] ; [11.625  6.375],0
d4,1,0.124912,2.354623,[128  29] ; [50 19],[123.65486726  33.34513274] ; [54.34513274 14.65486726],0
v3,1,0.144016,2.134513,[ 25 128] ; [17 52],[ 28.94594595 124.05405405] ; [13.05405405 55.94594595],0
r1,1,0.150045,2.071797,[121  35] ; [48 22],[116.65486726  39.34513274] ; [52.34513274 17.65486726],0
d1,1,0.160336,1.971058,[92 65] ; [34 36],[87.14537445 69.85462555] ; [38.85462555 31.14537445],0
b5,1,0.170474,1.878768,[96 61] ; [36 34],[91.29515419 65.70484581] ; [40.70484581 29.29515419],0
u3,1,0.174439,1.844376,[36 17] ; [13 12],[33.29487179 19.70512821] ; [15.70512821  9.29487179],0
n4,1,0.181986,1.781328,[126  30] ; [51 19],[122.17699115  33.82300885] ; [54.82300885 15.17699115],0
a5,1,0.205984,1.599427,[114  43] ; [45 25],[109.969163  47.030837] ; [49.030837 20.969163],0
s8,1,0.2141,1.543485,[69 88] ; [37 33],[73.31277533 83.68722467] ; [32.68722467 37.31277533],0
a4,1,0.218327,1.515336,[68 89] ; [36 33],[72.24778761 84.75221239] ; [31.75221239 37.24778761],0
p1,1,0.235168,1.409327,[ 16 141] ; [11 59],[ 18.67400881 138.32599119] ; [ 8.32599119 61.67400881],0
p10,1,0.256155,1.289421,[129  26] ; [53 16],[125.9375  29.0625] ; [56.0625 12.9375],0
s5,1,0.27049,1.214258,[51 99] ; [28 39],[54.60829493 95.39170507] ; [24.39170507 42.60829493],0
p8,1,0.279082,1.171555,[96 59] ; [38 32],[92.31111111 62.68888889] ; [41.68888889 28.31111111],0
b2,1,0.296318,1.090692,[33 64] ; [21 28],[35.87671233 61.12328767] ; [18.12328767 30.87671233],0
b3,1,0.296318,1.090692,[33 64] ; [21 28],[35.87671233 61.12328767] ; [18.12328767 30.87671233],0
v1,1,0.316906,1.001671,[70 84] ; [26 42],[66.59459459 87.40540541] ; [29.40540541 38.59459459],0
s2,1,0.455466,0.557013,[88 67] ; [36 34],[85.42222222 69.57777778] ; [38.57777778 31.42222222],0
n1,1,0.457702,0.551509,[11 19] ; [ 9 10],[12.24489796 17.75510204] ; [ 7.75510204 11.24489796],0
s6,1,0.45813,0.55046,[108  46] ; [51 17],[110.2972973  43.7027027] ; [48.7027027 19.2972973],0
s3,1,0.497712,0.459811,[92 64] ; [44 25],[94.29333333 61.70666667] ; [41.70666667 27.29333333],0
a1,1,0.521053,0.411808,[  6 151] ; [ 4 66],[  6.91629956 150.08370044] ; [ 3.08370044 66.91629956],0
p9,1,0.621662,0.243539,[132  25] ; [57 13],[130.71806167  26.28193833] ; [58.28193833 11.71806167],0
p7,1,0.642723,0.215199,[111  44] ; [48 22],[109.53333333  45.46666667] ; [49.46666667 20.53333333],0
s1,1,0.689864,0.159233,[  9 145] ; [ 5 64],[  9.66816143 144.33183857] ; [ 4.33183857 64.66816143],0
u2,1,0.710588,0.137691,[30 24] ; [15 10],[30.75949367 23.24050633] ; [14.24050633 10.75949367],0
p11,1,0.741444,0.108862,[122  35] ; [53 17],[121.03524229  35.96475771] ; [53.96475771 16.03524229],0
a8,1,0.751404,0.100355,[ 17 126] ; [ 9 58],[ 17.7047619 125.2952381] ; [ 8.2952381 58.7047619],0
u4,1,0.798693,0.065045,[  3 154] ; [ 1 69],[  2.76651982 154.23348018] ; [ 1.23348018 68.76651982],0
p12,1,0.847426,0.037019,[  8 149] ; [ 4 66],[  8.29955947 148.70044053] ; [ 3.70044053 66.29955947],0
p6,1,0.853687,0.034009,[73 84] ; [33 36],[73.63716814 83.36283186] ; [32.36283186 36.63716814],0
a3,1,0.872727,0.025663,[102  54] ; [45 25],[101.46902655  54.53097345] ; [45.53097345 24.46902655],0
s4,1,0.902,0.015162,[ 36 117] ; [17 53],[ 36.3632287 116.6367713] ; [16.6367713 53.3632287],0
