Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.007454,7.160271,[2 1] ; [ 38 250],[0.41237113 2.58762887] ; [ 39.58762887 248.41237113],0
v4,1,0.057436,3.609917,[3 1] ; [294  14],[3.80769231 0.19230769] ; [293.19230769  14.80769231],0
b4,1,0.134591,2.238732,[1 3] ; [190 118],[2.44871795 1.55128205] ; [188.55128205 119.44871795],0
a1,1,0.142173,2.154276,[1 3] ; [ 20 288],[0.26923077 3.73076923] ; [ 20.73076923 287.26923077],0
b1,1,0.159972,1.974495,[3 1] ; [124 184],[1.62820513 2.37179487] ; [125.37179487 182.62820513],0
p6,1,0.206018,1.599189,[3 1] ; [132 172],[1.75324675 2.24675325] ; [133.24675325 170.75324675],0
s6,1,0.334197,0.932567,[2 1] ; [261  42],[2.57843137 0.42156863] ; [260.42156863  42.57843137],0
p1,1,0.346966,0.884523,[1 3] ; [ 32 275],[0.4244373 3.5755627] ; [ 32.5755627 274.4244373],0
p9,1,0.383184,0.760462,[3 1] ; [272  34],[3.5483871 0.4516129] ; [271.4516129  34.5483871],0
v3,1,0.43156,0.618621,[1 3] ; [130 161],[1.77627119 2.22372881] ; [129.22372881 161.77627119],0
v1,1,0.464133,0.535909,[3 1] ; [168 128],[2.28 1.72] ; [168.72 127.28],0
b3,1,0.482809,0.492511,[1 3] ; [ 85 115],[1.68627451 2.31372549] ; [ 84.31372549 115.68627451],0
b2,1,0.482809,0.492511,[1 3] ; [ 85 115],[1.68627451 2.31372549] ; [ 84.31372549 115.68627451],0
r1,1,0.514647,0.424608,[3 1] ; [265  42],[3.44694534 0.55305466] ; [264.55305466  42.44694534],0
p5,1,0.537638,0.379934,[1 3] ; [ 43 261],[0.57142857 3.42857143] ; [ 43.42857143 260.57142857],0
b5,1,0.552444,0.352957,[3 1] ; [186 122],[2.42307692 1.57692308] ; [186.57692308 121.42307692],0
p7,1,0.553383,0.351291,[2 2] ; [191 106],[2.56478405 1.43521595] ; [190.43521595 106.56478405],0
s5,1,0.643955,0.213607,[1 2] ; [135 154],[1.39726027 1.60273973] ; [134.60273973 154.39726027],0
a2,1,0.647466,0.209109,[1 3] ; [111 197],[1.43589744 2.56410256] ; [110.56410256 197.43589744],0
v2,1,0.657929,0.196049,[2 2] ; [179 115],[2.4295302 1.5704698] ; [178.5704698 115.4295302],0
s8,1,0.671611,0.179723,[3 1] ; [199 108],[2.59807074 1.40192926] ; [199.40192926 107.59807074],0
a4,1,0.723539,0.125127,[2 2] ; [181 127],[2.34615385 1.65384615] ; [180.65384615 127.34615385],0
p3,1,0.744802,0.105951,[2 1] ; [176 131],[1.72258065 1.27741935] ; [176.27741935 130.72258065],0
n5,1,0.82576,0.048463,[3 1] ; [244  63],[3.17684887 0.82315113] ; [243.82315113  63.17684887],0
p11,1,0.849645,0.035937,[3 1] ; [243  65],[3.15384615 0.84615385] ; [242.84615385  65.15384615],0
p8,1,0.859842,0.031179,[2 2] ; [166 139],[2.17475728 1.82524272] ; [165.82524272 139.17475728],0
a6,1,0.872007,0.025956,[3 1] ; [219  88],[2.85530547 1.14469453] ; [219.14469453  87.85530547],0
