Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.430593,[46  9] ; [27 37],[33.7394958 21.2605042] ; [39.2605042 24.7394958],1
r3,1,9.2e-05,15.298441,[49  5] ; [37 26],[39.69230769 14.30769231] ; [46.30769231 16.69230769],1
r1,1,0.001451,10.139881,[40 15] ; [27 35],[31.4957265 23.5042735] ; [35.5042735 26.4957265],0
p2,1,0.002902,8.868332,[39 16] ; [28 36],[30.96638655 24.03361345] ; [36.03361345 27.96638655],0
v2,1,0.005496,7.708587,[25 28] ; [14 48],[17.97391304 35.02608696] ; [21.02608696 40.97391304],0
n6,1,0.008989,6.825,[37 17] ; [28 35],[30. 24.] ; [35. 28.],0
v4,1,0.009632,6.701737,[47  8] ; [40 22],[40.8974359 14.1025641] ; [46.1025641 15.8974359],0
n2,1,0.018974,5.503908,[17  6] ; [12 17],[12.82692308 10.17307692] ; [16.17307692 12.82692308],0
n3,1,0.019284,5.475559,[18  6] ; [11 15],[13.92 10.08] ; [15.08 10.92],0
r2,1,0.02495,5.027322,[48  6] ; [44 17],[43.2 10.8] ; [48.8 12.2],0
s4,1,0.028005,4.82775,[ 1 54] ; [ 8 56],[ 4.15966387 50.84033613] ; [ 4.84033613 59.15966387],0
p9,1,0.034417,4.473859,[21 33] ; [13 49],[15.82758621 38.17241379] ; [18.17241379 43.82758621],0
p7,1,0.03542,4.424825,[27 28] ; [19 44],[21.44067797 33.55932203] ; [24.55932203 38.44067797],0
a2,1,0.042693,4.107528,[ 4 51] ; [13 51],[ 7.85714286 47.14285714] ; [ 9.14285714 54.85714286],0
p6,1,0.04387,4.06156,[15 38] ; [ 8 53],[10.69298246 42.30701754] ; [12.30701754 48.69298246],0
n5,1,0.05938,3.554611,[21 34] ; [35 28],[26.10169492 28.89830508] ; [29.89830508 33.10169492],0
b4,1,0.096271,2.766254,[35 20] ; [31 33],[30.50420168 24.49579832] ; [35.49579832 28.50420168],0
u3,1,0.101277,2.685315,[10 12] ; [ 6 20],[ 7.33333333 14.66666667] ; [ 8.66666667 17.33333333],0
b1,1,0.103079,2.657254,[21 34] ; [34 30],[25.42016807 29.57983193] ; [29.57983193 34.42016807],0
v1,1,0.120341,2.412879,[19 35] ; [14 49],[15.23076923 38.76923077] ; [17.76923077 45.23076923],0
a1,1,0.133144,2.255461,[ 2 53] ; [ 7 57],[ 4.15966387 50.84033613] ; [ 4.84033613 59.15966387],0
s3,1,0.169779,1.884894,[10 45] ; [18 44],[13.16239316 41.83760684] ; [14.83760684 47.16239316],0
d4,1,0.190712,1.712109,[38 16] ; [37 26],[34.61538462 19.38461538] ; [40.38461538 22.61538462],0
p8,1,0.215852,1.531734,[15 40] ; [11 51],[12.22222222 42.77777778] ; [13.77777778 48.22222222],0
s1,1,0.223418,1.48228,[ 2 51] ; [ 6 57],[ 3.65517241 49.34482759] ; [ 4.34482759 58.65517241],0
a6,1,0.300959,1.069938,[31 24] ; [42 22],[33.7394958 21.2605042] ; [39.2605042 24.7394958],0
p1,1,0.325032,0.96859,[ 5 49] ; [ 3 61],[ 3.66101695 50.33898305] ; [ 4.33898305 59.66101695],0
a8,1,0.332621,0.938667,[ 6 44] ; [ 4 56],[ 4.54545455 45.45454545] ; [ 5.45454545 54.54545455],0
s5,1,0.334291,0.932203,[ 5 48] ; [ 3 59],[ 3.68695652 49.31304348] ; [ 4.31304348 57.68695652],0
a5,1,0.341395,0.905187,[27 28] ; [37 27],[29.57983193 25.42016807] ; [34.42016807 29.57983193],0
u2,1,0.366452,0.815662,[10 11] ; [ 9 17],[ 8.4893617 12.5106383] ; [10.5106383 15.4893617],0
s8,1,0.374703,0.78801,[ 7 48] ; [ 5 59],[ 5.54621849 49.45378151] ; [ 6.45378151 57.54621849],0
b3,1,0.472287,0.516619,[11 25] ; [15 24],[12.48 23.52] ; [13.52 25.48],0
b2,1,0.472287,0.516619,[11 25] ; [15 24],[12.48 23.52] ; [13.52 25.48],0
d5,1,0.496309,0.46282,[31 24] ; [40 24],[32.81512605 22.18487395] ; [38.18487395 25.81512605],0
a4,1,0.541032,0.37363,[24 31] ; [24 39],[22.37288136 32.62711864] ; [25.62711864 37.37288136],0
p4,1,0.666475,0.185754,[15 40] ; [15 48],[13.98305085 41.01694915] ; [16.01694915 46.98305085],0
u1,1,0.680254,0.16984,[ 4 51] ; [ 6 58],[ 4.62184874 50.37815126] ; [ 5.37815126 58.62184874],0
n4,1,0.680267,0.169825,[32 23] ; [39 24],[33.09322034 21.90677966] ; [37.90677966 25.09322034],0
s2,1,0.755909,0.096633,[ 6 48] ; [ 6 58],[ 5.49152542 48.50847458] ; [ 6.50847458 57.49152542],0
p3,1,0.797269,0.065989,[12 43] ; [15 48],[12.58474576 42.41525424] ; [14.41525424 48.58474576],0
s7,1,0.853981,0.033871,[ 7 45] ; [ 7 50],[ 6.67889908 45.32110092] ; [ 7.32110092 49.67889908],0
v3,1,0.865393,0.028735,[11 43] ; [13 47],[11.36842105 42.63157895] ; [12.63157895 47.36842105],0
d3,1,0.876858,0.024011,[30 25] ; [34 30],[29.57983193 25.42016807] ; [34.42016807 29.57983193],0
a3,1,0.886596,0.020339,[33 22] ; [38 24],[33.37606838 21.62393162] ; [37.62393162 24.37606838],0
n1,1,0.895926,0.017111,[ 7 16] ; [ 9 19],[ 7.21568627 15.78431373] ; [ 8.78431373 19.21568627],0
p12,1,0.903443,0.014717,[ 1 53] ; [ 1 63],[ 0.91525424 53.08474576] ; [ 1.08474576 62.91525424],0
d1,1,0.916928,0.010879,[22 33] ; [25 39],[21.72268908 33.27731092] ; [25.27731092 38.72268908],0
d2,1,0.977171,0.000819,[25 29] ; [29 34],[24.92307692 29.07692308] ; [29.07692308 33.92307692],0
a7,1,0.977171,0.000819,[29 25] ; [34 29],[29.07692308 24.92307692] ; [33.92307692 29.07692308],0
b5,1,0.990059,0.000155,[31 24] ; [36 28],[30.96638655 24.03361345] ; [36.03361345 27.96638655],0
