Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,2e-06,22.351389,[ 1 63] ; [5 7],[ 5.05263158 58.94736842] ; [ 0.94736842 11.05263158],1
s8,1,8e-06,19.893116,[17 47] ; [12  1],[24.1038961 39.8961039] ; [4.8961039 8.1038961],1
p3,1,2.3e-05,17.917308,[12 52] ; [10  3],[18.28571429 45.71428571] ; [3.71428571 9.28571429],1
b2,1,6.7e-05,15.907633,[15 34] ; [12  1],[21.33870968 27.66129032] ; [5.66129032 7.33870968],1
b3,1,6.7e-05,15.907633,[15 34] ; [12  1],[21.33870968 27.66129032] ; [5.66129032 7.33870968],1
a2,1,0.000168,14.15668,[ 9 55] ; [8 5],[14.12987013 49.87012987] ; [ 2.87012987 10.12987013],1
s2,1,0.000183,13.999948,[18 44] ; [11  2],[23.97333333 38.02666667] ; [5.02666667 7.97333333],1
v3,1,0.000263,13.314529,[17 46] ; [8 1],[21.875 41.125] ; [3.125 5.875],1
s7,1,0.00077,11.312391,[21 41] ; [11  2],[26.45333333 35.54666667] ; [5.54666667 7.45333333],1
p12,1,0.000781,11.284889,[ 2 61] ; [4 9],[ 4.97368421 58.02631579] ; [ 1.02631579 11.97368421],1
p4,1,0.000846,11.136619,[22 42] ; [11  2],[27.42857143 36.57142857] ; [5.57142857 7.42857143],1
v1,1,0.001234,10.438273,[22 40] ; [9 1],[26.69444444 35.30555556] ; [4.30555556 5.69444444],0
s3,1,0.001377,10.236328,[27 35] ; [12  1],[32.24 29.76] ; [6.76 6.24],0
s6,1,0.002706,8.995673,[30 34] ; [12  1],[34.90909091 29.09090909] ; [7.09090909 5.90909091],0
p8,1,0.003464,8.545521,[17 46] ; [9 4],[21.55263158 41.44736842] ; [4.44736842 8.55263158],0
d1,1,0.003684,8.433459,[31 33] ; [12  1],[35.74025974 28.25974026] ; [7.25974026 5.74025974],0
a1,1,0.007777,7.084041,[ 2 62] ; [ 3 10],[ 4.15584416 59.84415584] ; [ 0.84415584 12.15584416],0
a5,1,0.011218,6.430385,[35 29] ; [12  1],[39.06493506 24.93506494] ; [7.93506494 5.06493506],0
p6,1,0.020258,5.389485,[14 49] ; [7 6],[17.40789474 45.59210526] ; [3.59210526 9.40789474],0
a4,1,0.022293,5.222776,[27 37] ; [10  3],[30.75324675 33.24675325] ; [6.24675325 6.75324675],0
v2,1,0.036687,4.364898,[28 35] ; [8 2],[31.06849315 31.93150685] ; [4.93150685 5.06849315],0
d2,1,0.05098,3.808943,[35 28] ; [11  2],[38.13157895 24.86842105] ; [7.86842105 5.13157895],0
p7,1,0.082926,3.006593,[27 36] ; [9 4],[29.84210526 33.15789474] ; [6.15789474 6.84210526],0
d3,1,0.084573,2.97476,[38 26] ; [11  2],[40.72727273 23.27272727] ; [8.27272727 4.72727273],0
u1,1,0.084783,2.970736,[11 53] ; [5 8],[13.2987013 50.7012987] ; [ 2.7012987 10.2987013],0
n4,1,0.210689,1.566685,[43 21] ; [11  2],[44.88311688 19.11688312] ; [9.11688312 3.88311688],0
a8,1,0.242341,1.366927,[ 8 46] ; [3 7],[ 9.28125 44.71875] ; [1.71875 8.28125],0
s5,1,0.313137,1.017396,[14 49] ; [4 7],[15.32432432 47.67567568] ; [2.67567568 8.32432432],0
d5,1,0.33954,0.912167,[46 18] ; [11  2],[47.37662338 16.62337662] ; [9.62337662 3.37662338],0
b4,1,0.358069,0.844655,[43 21] ; [7 6],[41.55844156 22.44155844] ; [8.44155844 4.55844156],0
a6,1,0.371368,0.799082,[41 23] ; [10  3],[42.38961039 21.61038961] ; [8.61038961 4.38961039],0
s1,1,0.454941,0.558313,[ 2 60] ; [ 1 12],[ 2.48 59.52] ; [ 0.52 12.48],0
r1,1,0.455177,0.557729,[48 16] ; [11  2],[49.03896104 14.96103896] ; [9.96103896 3.03896104],0
p2,1,0.455177,0.557729,[48 16] ; [11  2],[49.03896104 14.96103896] ; [9.96103896 3.03896104],0
s4,1,0.521975,0.40999,[ 9 54] ; [ 1 12],[ 8.28947368 54.71052632] ; [ 1.71052632 11.28947368],0
p1,1,0.666611,0.185592,[ 3 60] ; [ 1 12],[ 3.31578947 59.68421053] ; [ 0.68421053 12.31578947],0
b5,1,0.803731,0.061763,[37 27] ; [8 5],[37.4025974 26.5974026] ; [7.5974026 5.4025974],0
a7,1,0.857816,0.032097,[42 21] ; [9 4],[42.27631579 20.72368421] ; [8.72368421 4.27631579],0
