Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,8e-06,19.890566,[25  8] ; [33 71],[13.97080292 19.02919708] ; [44.02919708 59.97080292],1
s7,1,0.004541,8.05369,[12 21] ; [14 87],[ 6.40298507 26.59701493] ; [19.59701493 81.40298507],0
b1,1,0.006049,7.53566,[ 7 27] ; [50 56],[13.84285714 20.15714286] ; [43.15714286 62.84285714],0
v1,1,0.007551,7.136879,[19 15] ; [32 73],[12.47482014 21.52517986] ; [38.52517986 66.47482014],0
s6,1,0.008791,6.864801,[18 15] ; [31 74],[11.7173913 21.2826087] ; [37.2826087 67.7173913],0
s4,1,0.019626,5.444876,[ 9 25] ; [11 95],[ 4.85714286 29.14285714] ; [15.14285714 90.85714286],0
u2,1,0.019861,5.424107,[10  2] ; [22 26],[6.4 5.6] ; [25.6 22.4],0
p10,1,0.02189,5.254493,[26  8] ; [57 48],[20.30215827 13.69784173] ; [62.69784173 42.30215827],0
p5,1,0.038993,4.26117,[ 4 30] ; [  3 102],[ 1.71223022 32.28776978] ; [ 5.28776978 99.71223022],0
d4,1,0.057237,3.615682,[29  5] ; [72 33],[24.70503597  9.29496403] ; [76.29496403 28.70503597],0
a7,1,0.097332,2.748733,[27  7] ; [68 38],[23.07142857 10.92857143] ; [71.92857143 34.07142857],0
d3,1,0.107307,2.593436,[25  9] ; [61 44],[21.03597122 12.96402878] ; [64.96402878 40.03597122],0
v4,1,0.153228,2.039819,[32  2] ; [88 16],[29.56521739  4.43478261] ; [90.43478261 13.56521739],0
b4,1,0.154911,2.023215,[23 11] ; [57 49],[19.42857143 14.57142857] ; [60.57142857 45.42857143],0
p9,1,0.162441,1.951357,[26  8] ; [66 38],[22.66666667 11.33333333] ; [69.33333333 34.66666667],0
s8,1,0.176598,1.826027,[ 7 27] ; [12 93],[ 4.64748201 29.35251799] ; [14.35251799 90.64748201],0
n3,1,0.197703,1.659259,[7 7] ; [29 13],[9. 5.] ; [27. 15.],0
b5,1,0.205321,1.604113,[17 17] ; [66 40],[20.15714286 13.84285714] ; [62.84285714 43.15714286],0
r1,1,0.230786,1.436011,[25  9] ; [66 40],[22.1 11.9] ; [68.9 37.1],0
r2,1,0.23246,1.425747,[30  4] ; [83 22],[27.64028777  6.35971223] ; [85.35971223 19.64028777],0
d5,1,0.313636,1.015303,[25  9] ; [68 38],[22.58571429 11.41428571] ; [70.41428571 35.58571429],0
b3,1,0.329842,0.949517,[ 6 10] ; [13 39],[ 4.47058824 11.52941176] ; [14.52941176 37.47058824],0
b2,1,0.329842,0.949517,[ 6 10] ; [13 39],[ 4.47058824 11.52941176] ; [14.52941176 37.47058824],0
a3,1,0.33166,0.942406,[22 12] ; [58 47],[19.56834532 14.43165468] ; [60.43165468 44.56834532],0
p3,1,0.393692,0.727508,[12 22] ; [29 76],[10.02877698 23.97122302] ; [30.97122302 74.02877698],0
r4,1,0.396637,0.718498,[26  8] ; [73 33],[24.04285714  9.95714286] ; [74.95714286 31.04285714],0
p1,1,0.404014,0.696346,[ 2 32] ; [  3 103],[ 1.21428571 32.78571429] ; [  3.78571429 102.21428571],0
