Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,46.820186,[ 21 131] ; [75 73],[ 48.64 103.36] ; [ 47.36 100.64],1
v1,1,8e-06,20.053465,[54 96] ; [90 55],[73.22033898 76.77966102] ; [70.77966102 74.22033898],1
r1,1,1.7e-05,18.500493,[92 61] ; [123  26],[108.92384106  44.07615894] ; [106.07615894  42.92384106],1
p3,1,0.003438,8.559144,[57 96] ; [79 67],[69.59197324 83.40802676] ; [66.40802676 79.59197324],0
r3,1,0.004247,8.17507,[137  15] ; [145   3],[142.88   9.12] ; [139.12   8.88],0
p7,1,0.008678,6.887962,[81 65] ; [102  43],[91.81443299 54.18556701] ; [91.18556701 53.81443299],0
a3,1,0.010178,6.603475,[79 74] ; [98 50],[89.97009967 63.02990033] ; [87.02990033 60.97009967],0
p6,1,0.013831,6.059644,[ 41 110] ; [59 86],[51.01351351 99.98648649] ; [48.98648649 96.01351351],0
s8,1,0.025465,4.991958,[ 43 109] ; [60 88],[52.18666667 99.81333333] ; [50.81333333 97.18666667],0
u1,1,0.041989,4.135661,[  3 150] ; [ 10 139],[  6.58609272 146.41390728] ; [  6.41390728 142.58609272],0
r4,1,0.045005,4.018455,[124  29] ; [133  16],[130.20198675  22.79801325] ; [126.79801325  22.20198675],0
d3,1,0.045506,3.999774,[ 53 100] ; [68 80],[61.50498339 91.49501661] ; [59.49501661 88.50498339],0
p9,1,0.05532,3.672419,[121  30] ; [128  17],[127.02364865  23.97635135] ; [121.97635135  23.02364865],0
p10,1,0.056137,3.647978,[115  35] ; [123  21],[121.42857143  28.57142857] ; [116.57142857  27.42857143],0
a7,1,0.058311,3.584783,[89 64] ; [101  46],[96.9 56.1] ; [93.1 53.9],0
r2,1,0.083489,2.995643,[131  21] ; [134  11],[135.62289562  16.37710438] ; [129.37710438  15.62289562],0
a5,1,0.083507,2.995289,[80 73] ; [92 56],[87.42857143 65.57142857] ; [84.57142857 63.42857143],0
n1,1,0.086561,2.937187,[19 18] ; [11 24],[15.41666667 21.58333333] ; [14.58333333 20.41666667],0
p8,1,0.142273,2.153205,[73 78] ; [83 63],[79.31313131 71.68686869] ; [76.68686869 69.31313131],0
s4,1,0.148087,2.091847,[ 30 121] ; [ 20 127],[ 25.33557047 125.66442953] ; [ 24.66442953 122.33557047],0
p5,1,0.162945,1.94668,[ 13 138] ; [ 20 126],[ 16.77777778 134.22222222] ; [ 16.22222222 129.77777778],0
b5,1,0.173074,1.856111,[93 60] ; [79 70],[87.13907285 65.86092715] ; [84.86092715 64.13907285],0
a8,1,0.204534,1.609702,[ 24 119] ; [ 16 123],[ 20.28368794 122.71631206] ; [ 19.71631206 119.28368794],0
a1,1,0.22047,1.501306,[  4 149] ; [  8 141],[  6.0794702 146.9205298] ; [  5.9205298 143.0794702],0
s1,1,0.221645,1.493689,[  7 145] ; [  3 143],[  5.10067114 146.89932886] ; [  4.89932886 141.10067114],0
