Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.4e-05,15.243956,[53 12] ; [1 6],[48.75 16.25] ; [5.25 1.75],1
p2,1,0.000255,13.377275,[56  9] ; [2 5],[52.36111111 12.63888889] ; [5.63888889 1.36111111],1
a7,1,0.001322,10.31183,[48 17] ; [1 6],[44.23611111 20.76388889] ; [4.76388889 2.23611111],0
p7,1,0.003213,8.682203,[45 19] ; [1 6],[41.46478873 22.53521127] ; [4.53521127 2.46478873],0
p4,1,0.00989,6.654656,[42 23] ; [1 6],[38.81944444 26.18055556] ; [4.18055556 2.81944444],0
p3,1,0.022827,5.181655,[38 26] ; [1 6],[35.15492958 28.84507042] ; [3.84507042 3.15492958],0
r2,1,0.023454,5.134549,[60  4] ; [4 2],[58.51428571  5.48571429] ; [5.48571429 0.51428571],0
s1,1,0.051182,3.802323,[ 1 64] ; [1 6],[ 1.80555556 63.19444444] ; [0.19444444 6.80555556],0
s8,1,0.066192,3.375008,[33 32] ; [1 6],[30.69444444 34.30555556] ; [3.30555556 3.69444444],0
r1,1,0.067911,3.332815,[49 16] ; [3 4],[46.94444444 18.05555556] ; [5.05555556 1.94444444],0
p9,1,0.092407,2.831932,[52 13] ; [3 3],[50.35211268 14.64788732] ; [4.64788732 1.35211268],0
p10,1,0.099503,2.713495,[54 11] ; [4 3],[52.36111111 12.63888889] ; [5.63888889 1.36111111],0
v3,1,0.126934,2.329609,[27 34] ; [1 6],[25.11764706 35.88235294] ; [2.88235294 4.11764706],0
n4,1,0.131023,2.280347,[53 12] ; [4 3],[51.45833333 13.54166667] ; [5.54166667 1.45833333],0
v2,1,0.149988,2.072368,[36 27] ; [2 5],[34.2 28.8] ; [3.8 3.2],0
a1,1,0.158514,1.988342,[ 2 63] ; [1 6],[ 2.70833333 62.29166667] ; [0.29166667 6.70833333],0
d3,1,0.159599,1.978022,[45 20] ; [3 4],[43.33333333 21.66666667] ; [4.66666667 2.33333333],0
s3,1,0.159925,1.974939,[27 38] ; [1 6],[25.27777778 39.72222222] ; [2.72222222 4.27777778],0
r3,1,0.176,1.831083,[58  7] ; [5 2],[56.875  8.125] ; [6.125 0.875],0
s2,1,0.181799,1.782857,[26 39] ; [1 6],[24.375 40.625] ; [2.625 4.375],0
b5,1,0.203647,1.616021,[35 30] ; [2 5],[33.40277778 31.59722222] ; [3.59722222 3.40277778],0
a6,1,0.222741,1.486626,[43 22] ; [3 4],[41.52777778 23.47222222] ; [4.47222222 2.52777778],0
n2,1,0.226023,1.465714,[12  2] ; [3 2],[11.05263158  2.94736842] ; [3.94736842 1.05263158],0
d5,1,0.298128,1.08255,[49 16] ; [4 3],[47.84722222 17.15277778] ; [5.15277778 1.84722222],0
a4,1,0.334697,0.930639,[31 34] ; [2 5],[29.79166667 35.20833333] ; [3.20833333 3.79166667],0
n5,1,0.401629,0.703444,[47 18] ; [4 3],[46.04166667 18.95833333] ; [4.95833333 2.04166667],0
p1,1,0.421307,0.646666,[ 4 61] ; [1 6],[ 4.51388889 60.48611111] ; [0.48611111 6.51388889],0
d1,1,0.527359,0.399477,[36 29] ; [3 4],[35.20833333 29.79166667] ; [3.79166667 3.20833333],0
b3,1,0.537537,0.380124,[24 21] ; [4 2],[24.70588235 20.29411765] ; [3.29411765 2.70588235],0
b2,1,0.537537,0.380124,[24 21] ; [4 2],[24.70588235 20.29411765] ; [3.29411765 2.70588235],0
b1,1,0.634216,0.226387,[22 43] ; [3 4],[22.56944444 42.43055556] ; [2.43055556 4.56944444],0
u1,1,0.653473,0.20155,[14 51] ; [1 6],[13.54166667 51.45833333] ; [1.45833333 5.54166667],0
p11,1,0.670646,0.180848,[51 14] ; [5 2],[50.55555556 14.44444444] ; [5.44444444 1.55555556],0
a3,1,0.703576,0.144779,[51 13] ; [6 1],[51.38028169 12.61971831] ; [5.61971831 1.38028169],0
a8,1,0.718531,0.129905,[11 44] ; [1 6],[10.64516129 44.35483871] ; [1.35483871 5.64516129],0
d2,1,0.748536,0.102765,[32 33] ; [3 4],[31.59722222 33.40277778] ; [3.40277778 3.59722222],0
b4,1,0.807638,0.059279,[34 31] ; [4 3],[34.30555556 30.69444444] ; [3.69444444 3.30555556],0
v1,1,0.852249,0.034689,[29 34] ; [3 3],[29.2173913 33.7826087] ; [2.7826087 3.2173913],0
d4,1,0.858802,0.031648,[54 11] ; [6 1],[54.16666667 10.83333333] ; [5.83333333 1.16666667],0
s4,1,0.880486,0.022606,[ 8 57] ; [1 6],[ 8.125 56.875] ; [0.875 6.125],0
n3,1,0.888153,0.01978,[10  4] ; [3 1],[10.11111111  3.88888889] ; [2.88888889 1.11111111],0
s5,1,0.899505,0.015948,[10 52] ; [1 6],[ 9.88405797 52.11594203] ; [1.11594203 5.88405797],0
a5,1,0.904531,0.014386,[45 20] ; [5 2],[45.13888889 19.86111111] ; [4.86111111 2.13888889],0
n1,1,0.95218,0.003596,[8 5] ; [3 2],[7.94444444 5.05555556] ; [3.05555556 1.94444444],0
n6,1,0.987206,0.000257,[54 11] ; [5 1],[54.01408451 10.98591549] ; [4.98591549 1.01408451],0
