Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000803,11.235434,[10 13] ; [13 86],[ 4.33606557 18.66393443] ; [18.66393443 80.33606557],1
s7,1,0.012716,6.208243,[18  4] ; [49 44],[12.8173913  9.1826087] ; [54.1826087 38.8173913],0
v1,1,0.023429,5.136381,[16  7] ; [42 55],[11.11666667 11.88333333] ; [46.88333333 50.11666667],0
d3,1,0.037408,4.33173,[20  3] ; [64 35],[15.83606557  7.16393443] ; [68.16393443 30.83606557],0
b1,1,0.061243,3.503399,[14  9] ; [39 60],[ 9.99180328 13.00819672] ; [43.00819672 55.99180328],0
p2,1,0.061728,3.490337,[17  6] ; [88 11],[19.79508197  3.20491803] ; [85.20491803 13.79508197],0
p1,1,0.0649,3.407523,[ 6 17] ; [11 87],[ 3.23140496 19.76859504] ; [13.76859504 84.23140496],0
s2,1,0.08081,3.04853,[19  4] ; [63 36],[15.45901639  7.54098361] ; [66.54098361 32.45901639],0
d5,1,0.099584,2.712197,[20  2] ; [74 25],[17.09090909  4.90909091] ; [76.90909091 22.09090909],0
b5,1,0.125218,2.350805,[15  8] ; [47 52],[11.68852459 11.31147541] ; [50.31147541 48.68852459],0
n6,1,0.140542,2.172017,[22  1] ; [83 16],[19.79508197  3.20491803] ; [85.20491803 13.79508197],0
a8,1,0.192865,1.695596,[ 1 21] ; [14 80],[ 2.84482759 19.15517241] ; [12.15517241 81.84482759],0
s8,1,0.196706,1.666662,[14  9] ; [45 53],[11.21487603 11.78512397] ; [47.78512397 50.21487603],0
p11,1,0.251721,1.313727,[15  8] ; [76 23],[17.1557377  5.8442623] ; [73.8442623 25.1557377],0
p7,1,0.31059,1.028166,[13 10] ; [65 31],[15.07563025  7.92436975] ; [62.92436975 33.07563025],0
p10,1,0.327004,0.960728,[17  5] ; [84 14],[18.51666667  3.48333333] ; [82.48333333 15.51666667],0
p4,1,0.327107,0.960317,[16  6] ; [61 38],[14.  8.] ; [63. 36.],0
n3,1,0.338352,0.916667,[3 3] ; [19  8],[4. 2.] ; [18.  9.],0
u3,1,0.370213,0.802949,[2 3] ; [19 12],[2.91666667 2.08333333] ; [18.08333333 12.91666667],0
r4,1,0.385512,0.75305,[22  1] ; [89 10],[20.92622951  2.07377049] ; [90.07377049  8.92622951],0
a3,1,0.398322,0.713387,[18  5] ; [68 30],[16.34710744  6.65289256] ; [69.65289256 28.34710744],0
d1,1,0.398639,0.712428,[15  8] ; [55 44],[13.19672131  9.80327869] ; [56.80327869 42.19672131],0
d4,1,0.399226,0.710656,[20  2] ; [83 16],[18.72727273  3.27272727] ; [84.27272727 14.72727273],0
s3,1,0.425572,0.634877,[17  5] ; [68 31],[15.45454545  6.54545455] ; [69.54545455 29.45454545],0
a6,1,0.448575,0.57425,[15  8] ; [56 43],[13.3852459  9.6147541] ; [57.6147541 41.3852459],0
p12,1,0.463752,0.536823,[ 3 20] ; [ 8 90],[ 2.09090909 20.90909091] ; [ 8.90909091 89.09090909],0
s1,1,0.470663,0.520419,[ 2 20] ; [ 5 93],[ 1.28333333 20.71666667] ; [ 5.71666667 92.28333333],0
n5,1,0.524513,0.40501,[18  5] ; [71 28],[16.77868852  6.22131148] ; [72.22131148 26.77868852],0
b2,1,0.533983,0.386806,[6 6] ; [25 37],[5.02702703 6.97297297] ; [25.97297297 36.02702703],0
b3,1,0.533983,0.386806,[6 6] ; [25 37],[5.02702703 6.97297297] ; [25.97297297 36.02702703],0
p9,1,0.562973,0.334583,[18  4] ; [84 13],[18.85714286  3.14285714] ; [83.14285714 13.85714286],0
n4,1,0.56953,0.32347,[18  5] ; [71 27],[16.91735537  6.08264463] ; [72.08264463 25.91735537],0
n1,1,0.575942,0.312841,[2 3] ; [15 13],[2.57575758 2.42424242] ; [14.42424242 13.57575758],0
b4,1,0.587875,0.293675,[13 10] ; [62 37],[14.13934426  8.86065574] ; [60.86065574 38.13934426],0
a2,1,0.611934,0.257368,[ 6 17] ; [21 78],[ 5.09016393 17.90983607] ; [21.90983607 77.09016393],0
