Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000169,14.149531,[4 8] ; [23  2],[8.75675676 3.24324324] ; [18.24324324  6.75675676],1
d2,1,0.00345,8.552554,[ 2 10] ; [17  8],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
a5,1,0.005378,7.747863,[4 8] ; [20  5],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
d3,1,0.014014,6.036441,[3 9] ; [17  8],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
p9,1,0.040166,4.210876,[7 5] ; [22  3],[9.40540541 2.59459459] ; [19.59459459  5.40540541],0
p12,1,0.054139,3.708409,[3 9] ; [ 1 24],[ 1.2972973 10.7027027] ; [ 2.7027027 22.2972973],0
s1,1,0.054139,3.708409,[3 9] ; [ 1 24],[ 1.2972973 10.7027027] ; [ 2.7027027 22.2972973],0
s8,1,0.05778,3.6,[4 8] ; [16  8],[6.66666667 5.33333333] ; [13.33333333 10.66666667],0
a6,1,0.065817,3.384389,[10  2] ; [13 12],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
a3,1,0.074919,3.171812,[5 7] ; [18  7],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
s7,1,0.076134,3.145558,[4 7] ; [17  8],[6.41666667 4.58333333] ; [14.58333333 10.41666667],0
p8,1,0.076517,3.137382,[9 3] ; [11 14],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
p4,1,0.079736,3.070275,[4 8] ; [16  9],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
p5,1,0.156788,2.004938,[3 9] ; [ 2 23],[ 1.62162162 10.37837838] ; [ 3.37837838 21.62162162],0
a8,1,0.172848,1.858065,[3 9] ; [ 2 22],[ 1.66666667 10.33333333] ; [ 3.33333333 20.66666667],0
a7,1,0.182227,1.779364,[9 3] ; [13 12],[7.13513514 4.86486486] ; [14.86486486 10.13513514],0
v1,1,0.199266,1.647748,[5 7] ; [16  9],[6.81081081 5.18918919] ; [14.18918919 10.81081081],0
b2,1,0.210874,1.565417,[1 5] ; [ 9 11],[2.30769231 3.69230769] ; [ 7.69230769 12.30769231],0
b3,1,0.210874,1.565417,[1 5] ; [ 9 11],[2.30769231 3.69230769] ; [ 7.69230769 12.30769231],0
u3,1,0.236724,1.4,[4 3] ; [6 1],[5. 2.] ; [5. 2.],0
v3,1,0.255506,1.292946,[6 6] ; [ 7 16],[4.45714286 7.54285714] ; [ 8.54285714 14.45714286],0
s5,1,0.271434,1.209486,[4 7] ; [13 10],[5.5 5.5] ; [11.5 11.5],0
s2,1,0.290588,1.116894,[6 6] ; [17  8],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
p3,1,0.294859,1.097304,[5 7] ; [15 10],[6.48648649 5.51351351] ; [13.51351351 11.48648649],0
p1,1,0.315251,1.008548,[3 9] ; [ 3 22],[ 1.94594595 10.05405405] ; [ 4.05405405 20.94594595],0
n4,1,0.37095,0.800481,[9 3] ; [15 10],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
v2,1,0.391249,0.735058,[6 5] ; [16  7],[7.11764706 3.88235294] ; [14.88235294  8.11764706],0
s4,1,0.451946,0.565767,[ 2 10] ; [ 7 18],[2.91891892 9.08108108] ; [ 6.08108108 18.91891892],0
s6,1,0.453255,0.5625,[10  2] ; [22  2],[10.66666667  1.33333333] ; [21.33333333  2.66666667],0
n6,1,0.512902,0.428143,[9 3] ; [21  4],[9.72972973 2.27027027] ; [20.27027027  4.72972973],0
p10,1,0.564222,0.332447,[7 5] ; [17  8],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
u2,1,0.576999,0.311111,[5 2] ; [4 3],[4.5 2.5] ; [4.5 2.5],0
r3,1,0.585289,0.297762,[11  1] ; [24  1],[11.35135135  0.64864865] ; [23.64864865  1.35135135],0
v4,1,0.585289,0.297762,[11  1] ; [24  1],[11.35135135  0.64864865] ; [23.64864865  1.35135135],0
p11,1,0.695487,0.153209,[8 4] ; [15 10],[7.45945946 4.54054054] ; [15.54054054  9.45945946],0
s3,1,0.717491,0.130909,[6 5] ; [12 13],[5.5 5.5] ; [12.5 12.5],0
r4,1,0.736692,0.113056,[11  1] ; [22  3],[10.7027027  1.2972973] ; [22.2972973  2.7027027],0
n5,1,0.873624,0.025299,[8 4] ; [16  9],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
b5,1,0.873624,0.025299,[8 4] ; [16  9],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
b4,1,0.873624,0.025299,[8 4] ; [16  9],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
b1,1,0.909285,0.012982,[6 6] ; [13 12],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
p7,1,0.93536,0.006578,[8 4] ; [17  8],[8.10810811 3.89189189] ; [16.89189189  8.10810811],0
r1,1,0.93536,0.006578,[8 4] ; [17  8],[8.10810811 3.89189189] ; [16.89189189  8.10810811],0
