Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,48.53197,[233   9] ; [79 33],[213.28813559  28.71186441] ; [98.71186441 13.28813559],1
p9,1,0.0,36.511507,[195  45] ; [53 54],[171.52737752  68.47262248] ; [76.47262248 30.52737752],1
r4,1,0.0,34.686684,[213  32] ; [67 46],[191.62011173  53.37988827] ; [88.37988827 24.62011173],1
p2,1,0.0,32.029828,[189  55] ; [53 59],[165.86516854  78.13483146] ; [76.13483146 35.86516854],1
p10,1,0.0,31.515953,[182  60] ; [49 61],[158.8125  83.1875] ; [72.1875 37.8125],1
n6,1,0.0,30.320649,[201  43] ; [60 50],[179.89830508  64.10169492] ; [81.10169492 28.89830508],1
v2,1,0.000295,13.104031,[128 104] ; [36 70],[112.56804734 119.43195266] ; [51.43195266 54.56804734],1
v4,1,0.00042,12.443142,[222  20] ; [87 24],[211.83569405  30.16430595] ; [97.16430595 13.83569405],1
b1,1,0.000978,10.868742,[ 85 160] ; [60 53],[ 99.23184358 145.76815642] ; [45.76815642 67.23184358],1
a1,1,0.004863,7.929528,[  8 237] ; [ 12 101],[ 13.68715084 231.31284916] ; [  6.31284916 106.68715084],0
s8,1,0.010813,6.495755,[ 85 159] ; [24 88],[ 74.70786517 169.29213483] ; [34.29213483 77.70786517],0
p8,1,0.012,6.310858,[ 88 152] ; [26 86],[ 77.72727273 162.27272727] ; [36.27272727 75.72727273],0
s6,1,0.012303,6.266705,[127 114] ; [43 69],[116.06232295 124.93767705] ; [53.93767705 58.06232295],0
u3,1,0.012508,6.237441,[43 38] ; [12 29],[36.51639344 44.48360656] ; [18.48360656 22.51639344],0
s1,1,0.016204,5.780631,[  6 235] ; [  9 103],[ 10.2407932 230.7592068] ; [  4.7592068 107.2407932],0
r1,1,0.01622,5.778917,[188  56] ; [72 39],[178.70422535  65.29577465] ; [81.29577465 29.70422535],0
p12,1,0.033068,4.542276,[ 14 227] ; [  1 111],[ 10.2407932 230.7592068] ; [  4.7592068 107.2407932],0
r2,1,0.04169,4.147763,[222  18] ; [95 16],[216.75213675  23.24786325] ; [100.24786325  10.75213675],0
p7,1,0.049715,3.851036,[115 120] ; [41 68],[106.56976744 128.43023256] ; [49.43023256 59.56976744],0
s3,1,0.055621,3.663357,[118 124] ; [42 69],[109.68838527 132.31161473] ; [50.31161473 60.68838527],0
v3,1,0.058444,3.580994,[ 86 152] ; [27 78],[ 78.40816327 159.59183673] ; [34.59183673 70.40816327],0
s2,1,0.063851,3.434432,[ 91 152] ; [31 82],[ 83.2752809 159.7247191] ; [38.7247191 74.2752809],0
d3,1,0.076683,3.133838,[146  99] ; [55 56],[138.32865169 106.67134831] ; [62.67134831 48.32865169],0
a6,1,0.11051,2.546907,[165  79] ; [66 46],[158.3258427  85.6741573] ; [72.6741573 39.3258427],0
s7,1,0.11066,2.544766,[ 84 153] ; [28 77],[ 77.61403509 159.38596491] ; [34.38596491 70.61403509],0
u2,1,0.117312,2.452852,[43 37] ; [15 24],[38.99159664 41.00840336] ; [19.00840336 19.99159664],0
p5,1,0.124181,2.363779,[ 13 230] ; [  2 109],[ 10.29661017 232.70338983] ; [  4.70338983 106.29661017],0
n1,1,0.143609,2.138858,[20 43] ; [23 28],[23.76315789 39.23684211] ; [19.23684211 31.76315789],0
n4,1,0.157971,1.993541,[175  70] ; [71 40],[169.29775281  75.70224719] ; [76.70224719 34.29775281],0
a5,1,0.158288,1.990503,[162  83] ; [66 47],[156.03351955  88.96648045] ; [71.96648045 41.03351955],0
v1,1,0.180422,1.794143,[106 129] ; [42 70],[100.23054755 134.76945245] ; [47.76945245 64.23054755],0
s5,1,0.200188,1.641001,[ 56 182] ; [19 90],[ 51.44092219 186.55907781] ; [23.55907781 85.44092219],0
d4,1,0.202111,1.627056,[191  53] ; [80 31],[186.26478873  57.73521127] ; [84.73521127 26.26478873],0
n3,1,0.217507,1.520747,[45 19] ; [29 20],[41.91150442 22.08849558] ; [32.08849558 16.91150442],0
a2,1,0.305279,1.050991,[ 43 202] ; [25 88],[ 46.53631285 198.46368715] ; [21.46368715 91.53631285],0
d5,1,0.317924,0.997468,[183  62] ; [78 34],[179.11764706  65.88235294] ; [81.88235294 30.11764706],0
n2,1,0.347364,0.883062,[47 17] ; [34 18],[44.68965517 19.31034483] ; [36.31034483 15.68965517],0
a8,1,0.379395,0.772663,[ 36 192] ; [13 94],[ 33.34925373 194.65074627] ; [15.65074627 91.34925373],0
d2,1,0.403963,0.696497,[ 98 145] ; [50 61],[101.59322034 141.40677966] ; [46.40677966 64.59322034],0
p3,1,0.4197,0.651155,[ 58 187] ; [22 89],[ 55.05617978 189.94382022] ; [24.94382022 86.05617978],0
d1,1,0.498246,0.45867,[120 125] ; [51 62],[117.02513966 127.97486034] ; [53.97486034 59.02513966],0
b4,1,0.612536,0.256499,[150  95] ; [66 47],[147.82122905  97.17877095] ; [68.17877095 44.82122905],0
b2,1,0.623095,0.241542,[53 89] ; [25 36],[54.56157635 87.43842365] ; [23.43842365 37.56157635],0
b3,1,0.623095,0.241542,[53 89] ; [25 36],[54.56157635 87.43842365] ; [23.43842365 37.56157635],0
a4,1,0.643312,0.214437,[ 93 152] ; [45 66],[ 94.97191011 150.02808989] ; [43.02808989 67.97191011],0
n5,1,0.730412,0.118733,[160  83] ; [71 40],[158.56779661  84.43220339] ; [72.43220339 38.56779661],0
a3,1,0.74531,0.105514,[164  80] ; [72 38],[162.66666667  81.33333333] ; [73.33333333 36.66666667],0
