Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000112,14.923256,[18  3] ; [56 82],[ 9.77358491 11.22641509] ; [64.22641509 73.77358491],1
s5,1,0.000392,12.571886,[11  9] ; [ 26 111],[ 4.7133758 15.2866242] ; [ 32.2866242 104.7133758],1
s2,1,0.004689,7.995617,[14  8] ; [45 94],[ 8.0621118 13.9378882] ; [50.9378882 88.0621118],0
s3,1,0.007318,7.193162,[16  6] ; [58 80],[10.175 11.825] ; [63.825 74.175],0
s7,1,0.038614,4.277778,[12 10] ; [42 90],[ 7.71428571 14.28571429] ; [46.28571429 85.71428571],0
p12,1,0.042813,4.102768,[ 3 19] ; [  5 135],[ 1.08641975 20.91358025] ; [  6.91358025 133.08641975],0
b2,1,0.043264,4.085055,[1 9] ; [37 49],[3.95833333 6.04166667] ; [34.04166667 51.95833333],0
b3,1,0.043264,4.085055,[1 9] ; [37 49],[3.95833333 6.04166667] ; [34.04166667 51.95833333],0
p6,1,0.098834,2.724251,[ 2 20] ; [ 34 102],[ 5.01265823 16.98734177] ; [ 30.98734177 105.01265823],0
p4,1,0.107205,2.594952,[ 4 19] ; [47 90],[ 7.33125 15.66875] ; [43.66875 93.33125],0
d3,1,0.171295,1.871575,[12 11] ; [52 88],[ 9.03067485 13.96932515] ; [54.96932515 85.03067485],0
d4,1,0.219731,1.506125,[12 11] ; [91 48],[14.62345679  8.37654321] ; [88.37654321 50.62345679],0
s1,1,0.24424,1.355954,[ 2 20] ; [  5 133],[ 0.9625 21.0375] ; [  6.0375 131.9625],0
s8,1,0.248365,1.332476,[ 9 14] ; [ 38 101],[ 6.67283951 16.32716049] ; [40.32716049 98.67283951],0
p1,1,0.261263,1.262051,[ 2 21] ; [  5 135],[ 0.98773006 22.01226994] ; [  6.01226994 133.98773006],0
n3,1,0.266433,1.23502,[10  3] ; [32 21],[8.27272727 4.72727273] ; [33.72727273 19.27272727],0
b1,1,0.269848,1.21752,[ 8 15] ; [66 74],[10.44171779 12.55828221] ; [63.55828221 76.44171779],0
n2,1,0.327646,0.958178,[8 5] ; [42 14],[9.42028986 3.57971014] ; [40.57971014 15.42028986],0
