Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,24.155831,[11  2] ; [ 6 38],[3.87719298 9.12280702] ; [13.12280702 30.87719298],1
p4,1,0.002033,9.519474,[7 6] ; [ 6 39],[ 2.9137931 10.0862069] ; [10.0862069 34.9137931],0
p6,1,0.0021,9.460052,[5 9] ; [ 2 41],[ 1.71929825 12.28070175] ; [ 5.28070175 37.71929825],0
s2,1,0.008152,6.999877,[7 7] ; [ 7 38],[ 3.3220339 10.6779661] ; [10.6779661 34.3220339],0
a4,1,0.019045,5.49738,[ 1 13] ; [18 26],[4.5862069 9.4137931] ; [14.4137931 29.5862069],0
p11,1,0.045047,4.016885,[7 7] ; [10 35],[4.03389831 9.96610169] ; [12.96610169 32.03389831],0
r3,1,0.052953,3.745413,[9 5] ; [15 28],[5.89473684 8.10526316] ; [18.10526316 24.89473684],0
p2,1,0.078563,3.094388,[8 6] ; [14 31],[5.22033898 8.77966102] ; [16.77966102 28.22033898],0
v4,1,0.090272,2.869511,[10  4] ; [20 24],[7.24137931 6.75862069] ; [22.75862069 21.24137931],0
n4,1,0.092799,2.825128,[5 9] ; [27 17],[7.72413793 6.27586207] ; [24.27586207 19.72413793],0
p10,1,0.101732,2.67818,[5 9] ; [ 7 38],[ 2.84745763 11.15254237] ; [ 9.15254237 35.84745763],0
b4,1,0.111181,2.537351,[5 9] ; [27 18],[7.59322034 6.40677966] ; [24.40677966 20.59322034],0
s7,1,0.144816,2.126026,[5 9] ; [ 7 34],[ 3.05454545 10.94545455] ; [ 8.94545455 32.05454545],0
a6,1,0.148792,2.084593,[9 5] ; [19 26],[6.6440678 7.3559322] ; [21.3559322 23.6440678],0
u3,1,0.173016,1.856614,[4 4] ; [ 5 16],[2.48275862 5.51724138] ; [ 6.51724138 14.48275862],0
s6,1,0.18401,1.764937,[6 8] ; [11 34],[4.03389831 9.96610169] ; [12.96610169 32.03389831],0
u2,1,0.184054,1.764583,[5 3] ; [ 7 13],[3.42857143 4.57142857] ; [ 8.57142857 11.42857143],0
s8,1,0.200829,1.636335,[ 2 12] ; [ 2 43],[ 0.94915254 13.05084746] ; [ 3.05084746 41.94915254],0
n2,1,0.207596,1.58811,[6 3] ; [11 15],[4.37142857 4.62857143] ; [12.62857143 13.37142857],0
r1,1,0.238064,1.39202,[ 3 11] ; [17 27],[4.82758621 9.17241379] ; [15.17241379 28.82758621],0
r2,1,0.250841,1.318613,[9 4] ; [22 21],[7.19642857 5.80357143] ; [23.80357143 19.19642857],0
d1,1,0.291021,1.11489,[ 4 10] ; [20 25],[5.69491525 8.30508475] ; [18.30508475 26.69491525],0
p3,1,0.292514,1.108016,[ 4 10] ; [ 7 37],[ 2.65517241 11.34482759] ; [ 8.34482759 35.65517241],0
n6,1,0.308119,1.03872,[8 5] ; [20 24],[6.38596491 6.61403509] ; [21.61403509 22.38596491],0
n5,1,0.361697,0.831991,[6 8] ; [25 19],[7.48275862 6.51724138] ; [23.51724138 20.48275862],0
s5,1,0.376348,0.782596,[ 1 12] ; [ 8 37],[ 2.01724138 10.98275862] ; [ 6.98275862 38.01724138],0
d5,1,0.416201,0.661019,[7 7] ; [28 17],[8.30508475 5.69491525] ; [26.69491525 18.30508475],0
s3,1,0.434663,0.610332,[5 9] ; [11 33],[ 3.86206897 10.13793103] ; [12.13793103 31.86206897],0
a3,1,0.445891,0.581076,[6 8] ; [24 20],[7.24137931 6.75862069] ; [22.75862069 21.24137931],0
d2,1,0.479477,0.500052,[5 9] ; [20 23],[6.14035088 7.85964912] ; [18.85964912 24.14035088],0
s4,1,0.499187,0.456665,[ 4 10] ; [ 9 36],[ 3.08474576 10.91525424] ; [ 9.91525424 35.08474576],0
a2,1,0.531603,0.391327,[ 1 13] ; [ 6 39],[ 1.66101695 12.33898305] ; [ 5.33898305 39.66101695],0
a5,1,0.56373,0.333287,[5 9] ; [20 25],[5.93220339 8.06779661] ; [19.06779661 25.93220339],0
n3,1,0.577155,0.310857,[3 6] ; [11 14],[3.70588235 5.29411765] ; [10.29411765 14.70588235],0
s1,1,0.57828,0.309024,[ 2 12] ; [ 4 40],[ 1.44827586 12.55172414] ; [ 4.55172414 39.44827586],0
b5,1,0.589535,0.291071,[8 6] ; [22 23],[7.11864407 6.88135593] ; [22.88135593 22.11864407],0
v2,1,0.593157,0.285441,[ 4 10] ; [16 28],[4.82758621 9.17241379] ; [15.17241379 28.82758621],0
u1,1,0.688144,0.161102,[ 1 13] ; [ 2 43],[ 0.71186441 13.28813559] ; [ 2.28813559 42.71186441],0
a7,1,0.704428,0.143906,[7 7] ; [19 24],[6.38596491 7.61403509] ; [19.61403509 23.38596491],0
v3,1,0.787235,0.072848,[ 3 11] ; [ 8 36],[ 2.65517241 11.34482759] ; [ 8.34482759 35.65517241],0
v1,1,0.816807,0.053663,[ 3 11] ; [11 34],[ 3.3220339 10.6779661] ; [10.6779661 34.3220339],0
n1,1,0.886436,0.020396,[3 6] ; [ 8 18],[2.82857143 6.17142857] ; [ 8.17142857 17.82857143],0
d3,1,0.942103,0.005275,[7 7] ; [22 23],[6.88135593 7.11864407] ; [22.11864407 22.88135593],0
b1,1,0.942103,0.005275,[7 7] ; [23 22],[7.11864407 6.88135593] ; [22.88135593 22.11864407],0
d4,1,0.964879,0.001939,[9 5] ; [28 16],[8.93103448 5.06896552] ; [28.06896552 15.93103448],0
