Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.5e-05,17.766065,[74  9] ; [6 8],[68.45360825 14.54639175] ; [11.54639175  2.45360825],1
a5,1,4.6e-05,16.60654,[67 16] ; [ 4 10],[60.75257732 22.24742268] ; [10.24742268  3.75257732],1
s1,1,0.000431,12.392485,[ 1 82] ; [ 3 11],[ 3.42268041 79.57731959] ; [ 0.57731959 13.42268041],1
a3,1,0.000701,11.486771,[65 17] ; [5 9],[59.79166667 22.20833333] ; [10.20833333  3.79166667],1
p9,1,0.00765,7.113556,[71 11] ; [8 6],[67.47916667 14.52083333] ; [11.52083333  2.47916667],0
p10,1,0.028127,4.820246,[68 14] ; [8 6],[64.91666667 17.08333333] ; [11.08333333  2.91666667],0
p3,1,0.040853,4.182095,[53 29] ; [5 9],[49.54166667 32.45833333] ; [8.45833333 5.54166667],0
v1,1,0.044562,4.035126,[52 29] ; [5 9],[48.6 32.4] ; [8.4 5.6],0
b3,1,0.08959,2.881728,[29 26] ; [2 7],[26.640625 28.359375] ; [4.359375 4.640625],0
b2,1,0.08959,2.881728,[29 26] ; [2 7],[26.640625 28.359375] ; [4.359375 4.640625],0
b4,1,0.09201,2.838842,[52 31] ; [12  2],[54.7628866 28.2371134] ; [9.2371134 4.7628866],0
u1,1,0.094836,2.790302,[ 3 80] ; [ 2 12],[ 4.27835052 78.72164948] ; [ 0.72164948 13.27835052],0
d3,1,0.107571,2.589556,[43 40] ; [ 4 10],[40.21649485 42.78350515] ; [6.78350515 7.21649485],0
n4,1,0.149092,2.081513,[62 20] ; [13  1],[64.0625 17.9375] ; [10.9375  3.0625],0
n5,1,0.166802,1.911449,[62 19] ; [13  1],[63.94736842 17.05263158] ; [11.05263158  2.94736842],0
r4,1,0.198116,1.656211,[75  8] ; [11  3],[73.58762887  9.41237113] ; [12.41237113  1.58762887],0
a4,1,0.231128,1.433905,[44 39] ; [5 9],[41.92783505 41.07216495] ; [7.07216495 6.92783505],0
s4,1,0.264738,1.243811,[23 59] ; [6 8],[24.77083333 57.22916667] ; [4.22916667 9.77083333],0
r3,1,0.269136,1.221146,[78  5] ; [12  2],[77.01030928  5.98969072] ; [12.98969072  1.01030928],0
v2,1,0.290362,1.117943,[45 38] ; [5 8],[43.22916667 39.77083333] ; [6.77083333 6.22916667],0
d2,1,0.296819,1.088433,[48 35] ; [6 8],[46.20618557 36.79381443] ; [7.79381443 6.20618557],0
p7,1,0.329749,0.949884,[62 19] ; [9 5],[60.53684211 20.46315789] ; [10.46315789  3.53684211],0
s7,1,0.344506,0.893592,[47 34] ; [10  4],[48.6 32.4] ; [8.4 5.6],0
n1,1,0.35188,0.866667,[11  9] ; [2 4],[10. 10.] ; [3. 3.],0
p4,1,0.388491,0.743659,[51 31] ; [7 7],[49.54166667 32.45833333] ; [8.45833333 5.54166667],0
s3,1,0.395938,0.720629,[57 26] ; [8 6],[55.6185567 27.3814433] ; [9.3814433 4.6185567],0
u3,1,0.411314,0.675,[11  7] ; [4 5],[10.  8.] ; [5. 4.],0
r1,1,0.426529,0.632255,[67 16] ; [10  4],[65.88659794 17.11340206] ; [11.11340206  2.88659794],0
s8,1,0.431051,0.619991,[45 38] ; [6 8],[43.63917526 39.36082474] ; [7.36082474 6.63917526],0
n6,1,0.530888,0.392692,[69 12] ; [11  3],[68.21052632 12.78947368] ; [11.78947368  2.21052632],0
s2,1,0.630582,0.231272,[53 30] ; [8 6],[52.19587629 30.80412371] ; [8.80412371 5.19587629],0
u2,1,0.68017,0.169935,[8 9] ; [5 4],[8.5 8.5] ; [4.5 4.5],0
n3,1,0.702195,0.146199,[11  8] ; [4 2],[11.4  7.6] ; [3.6 2.4],0
p1,1,0.707104,0.141187,[ 9 74] ; [ 2 12],[ 9.41237113 73.58762887] ; [ 1.58762887 12.41237113],0
a8,1,0.729475,0.119594,[ 9 74] ; [ 1 12],[ 8.64583333 74.35416667] ; [ 1.35416667 11.64583333],0
p5,1,0.781141,0.077191,[15 67] ; [ 3 11],[15.375 66.625] ; [ 2.625 11.375],0
a6,1,0.839637,0.040949,[32 51] ; [5 9],[31.65979381 51.34020619] ; [5.34020619 8.65979381],0
p8,1,0.844711,0.038365,[44 37] ; [8 6],[44.33684211 36.66315789] ; [7.66315789 6.33684211],0
s6,1,0.851322,0.03513,[66 14] ; [11  2],[66.23655914 13.76344086] ; [10.76344086  2.23655914],0
p12,1,0.852046,0.034786,[ 7 74] ; [ 1 13],[ 6.82105263 74.17894737] ; [ 1.17894737 12.82105263],0
p2,1,0.867899,0.027665,[66 16] ; [11  3],[65.77083333 16.22916667] ; [11.22916667  2.77083333],0
v3,1,0.881293,0.0223,[31 51] ; [5 9],[30.75 51.25] ; [5.25 8.75],0
p6,1,0.881729,0.022135,[36 44] ; [6 8],[35.74468085 44.25531915] ; [6.25531915 7.74468085],0
b5,1,0.885028,0.020909,[28 55] ; [5 9],[28.2371134 54.7628866] ; [4.7628866 9.2371134],0
n2,1,0.920948,0.009848,[17  3] ; [5 1],[16.92307692  3.07692308] ; [5.07692308 0.92307692],0
b1,1,0.966736,0.001739,[41 42] ; [7 7],[41.07216495 41.92783505] ; [6.92783505 7.07216495],0
p11,1,0.98269,0.000471,[65 18] ; [11  3],[65.03092784 17.96907216] ; [10.96907216  3.03092784],0
r2,1,0.990816,0.000133,[77  6] ; [13  1],[77.01030928  5.98969072] ; [12.98969072  1.01030928],0
