Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000566,11.886055,[16  7] ; [19 47],[ 9.04494382 13.95505618] ; [25.95505618 40.04494382],1
s6,1,0.00059,11.807474,[18  6] ; [23 44],[10.81318681 13.18681319] ; [30.18681319 36.81318681],1
s3,1,0.001091,10.666858,[18  5] ; [26 41],[11.24444444 11.75555556] ; [32.75555556 34.24444444],0
s7,1,0.001801,9.741629,[15  9] ; [17 47],[ 8.72727273 15.27272727] ; [23.27272727 40.72727273],0
p4,1,0.01314,6.150147,[16  8] ; [25 42],[10.81318681 13.18681319] ; [30.18681319 36.81318681],0
p6,1,0.041588,4.151875,[ 9 14] ; [12 54],[ 5.42696629 17.57303371] ; [15.57303371 50.42696629],0
n5,1,0.068737,3.312929,[18  6] ; [36 31],[14.24175824  9.75824176] ; [39.75824176 27.24175824],0
p8,1,0.076085,3.146613,[12 12] ; [20 47],[ 8.43956044 15.56043956] ; [23.56043956 43.43956044],0
d5,1,0.104106,2.641486,[20  4] ; [44 23],[16.87912088  7.12087912] ; [47.12087912 19.87912088],0
p3,1,0.106792,2.601071,[10 14] ; [16 50],[ 6.93333333 17.06666667] ; [19.06666667 46.93333333],0
p5,1,0.107283,2.593802,[ 2 22] ; [ 1 66],[ 0.79120879 23.20879121] ; [ 2.20879121 64.79120879],0
v3,1,0.133779,2.248093,[10 14] ; [17 50],[ 7.12087912 16.87912088] ; [19.87912088 47.12087912],0
u2,1,0.140501,2.17246,[7 2] ; [15 15],[5.07692308 3.92307692] ; [16.92307692 13.07692308],0
d3,1,0.144912,2.125011,[17  7] ; [36 31],[13.97802198 10.02197802] ; [39.02197802 27.97802198],0
p10,1,0.170341,1.879939,[11 13] ; [20 46],[ 8.26666667 15.73333333] ; [22.73333333 43.26666667],0
v2,1,0.170424,1.879207,[13 10] ; [26 39],[10.19318182 12.80681818] ; [28.80681818 36.19318182],0
p2,1,0.176352,1.828099,[19  5] ; [43 24],[16.35164835  7.64835165] ; [45.64835165 21.35164835],0
r2,1,0.212972,1.551111,[23  1] ; [58  9],[21.36263736  2.63736264] ; [59.63736264  7.36263736],0
u3,1,0.216222,1.529271,[7 2] ; [17 14],[5.4 3.6] ; [18.6 12.4],0
v4,1,0.265978,1.237374,[23  1] ; [58  8],[21.6  2.4] ; [59.4  6.6],0
b1,1,0.310409,1.028936,[14 10] ; [31 36],[11.86813187 12.13186813] ; [33.13186813 33.86813187],0
a4,1,0.311873,1.022727,[ 6 18] ; [24 42],[ 8. 16.] ; [22. 44.],0
d1,1,0.358784,0.842143,[13 11] ; [29 38],[11.07692308 12.92307692] ; [30.92307692 36.07692308],0
r4,1,0.36522,0.819865,[21  3] ; [53 14],[19.51648352  4.48351648] ; [54.48351648 12.51648352],0
a8,1,0.371176,0.799724,[ 1 20] ; [ 7 54],[ 2.04878049 18.95121951] ; [ 5.95121951 55.04878049],0
n2,1,0.393454,0.728241,[5 1] ; [13  7],[4.15384615 1.84615385] ; [13.84615385  6.15384615],0
s4,1,0.394526,0.724946,[ 4 19] ; [ 7 59],[ 2.84269663 20.15730337] ; [ 8.15730337 57.84269663],0
u1,1,0.422594,0.643091,[ 4 20] ; [ 7 60],[ 2.9010989 21.0989011] ; [ 8.0989011 58.9010989],0
p7,1,0.438305,0.600717,[14  9] ; [34 32],[12.40449438 10.59550562] ; [35.59550562 30.40449438],0
r3,1,0.440501,0.594977,[23  1] ; [60  6],[22.13333333  1.86666667] ; [60.86666667  5.13333333],0
a1,1,0.443249,0.587858,[ 1 23] ; [ 1 66],[ 0.52747253 23.47252747] ; [ 1.47252747 65.52747253],0
b5,1,0.457696,0.551523,[15  9] ; [36 31],[13.45054945 10.54945055] ; [37.54945055 29.45054945],0
a3,1,0.457696,0.551523,[15  9] ; [36 31],[13.45054945 10.54945055] ; [37.54945055 29.45054945],0
r1,1,0.505711,0.442932,[17  7] ; [52 15],[18.1978022  5.8021978] ; [50.8021978 16.1978022],0
n1,1,0.524471,0.405093,[2 2] ; [ 7 14],[1.44 2.56] ; [ 7.56 13.44],0
n4,1,0.559407,0.340731,[18  6] ; [46 21],[16.87912088  7.12087912] ; [47.12087912 19.87912088],0
a7,1,0.599985,0.275019,[16  8] ; [40 26],[14.93333333  9.06666667] ; [41.06666667 24.93333333],0
a5,1,0.622025,0.243031,[15  9] ; [38 29],[13.97802198 10.02197802] ; [39.02197802 27.97802198],0
d4,1,0.623535,0.240931,[18  6] ; [46 20],[17.06666667  6.93333333] ; [46.93333333 19.06666667],0
s1,1,0.664278,0.188369,[ 2 21] ; [ 4 62],[ 1.5505618 21.4494382] ; [ 4.4494382 61.5505618],0
a6,1,0.727836,0.121108,[16  8] ; [42 25],[15.2967033  8.7032967] ; [42.7032967 24.2967033],0
b2,1,0.783203,0.075706,[ 5 13] ; [10 31],[ 4.57627119 13.42372881] ; [10.42372881 30.57627119],0
b3,1,0.783203,0.075706,[ 5 13] ; [10 31],[ 4.57627119 13.42372881] ; [10.42372881 30.57627119],0
n3,1,0.82176,0.050752,[4 2] ; [15  6],[4.22222222 1.77777778] ; [14.77777778  6.22222222],0
d2,1,0.823773,0.049593,[11 13] ; [32 34],[11.46666667 12.53333333] ; [31.53333333 34.46666667],0
n6,1,0.829292,0.046488,[18  6] ; [48 18],[17.6  6.4] ; [48.4 17.6],0
b4,1,0.842855,0.0393,[17  7] ; [46 21],[16.61538462  7.38461538] ; [46.38461538 20.61538462],0
s5,1,0.855644,0.033095,[ 5 17] ; [14 53],[ 4.69662921 17.30337079] ; [14.30337079 52.69662921],0
v1,1,0.883278,0.021555,[ 9 15] ; [24 43],[ 8.7032967 15.2967033] ; [24.2967033 42.7032967],0
a2,1,0.907736,0.013432,[ 3 21] ; [ 9 58],[ 3.16483516 20.83516484] ; [ 8.83516484 58.16483516],0
