Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,35.220952,[57  7] ; [ 6 18],[45.81818182 18.18181818] ; [17.18181818  6.81818182],1
n6,1,0.0,25.345205,[61  3] ; [12 12],[53.09090909 10.90909091] ; [19.90909091  4.09090909],1
b1,1,0.000649,11.630754,[27 37] ; [ 1 23],[20.36363636 43.63636364] ; [ 7.63636364 16.36363636],1
d2,1,0.001981,9.567115,[37 27] ; [ 5 19],[30.54545455 33.45454545] ; [11.45454545 12.54545455],0
p4,1,0.002168,9.401709,[42 22] ; [ 7 17],[35.63636364 28.36363636] ; [13.36363636 10.63636364],0
p3,1,0.022774,5.185685,[30 33] ; [ 5 19],[25.34482759 37.65517241] ; [ 9.65517241 14.34482759],0
v4,1,0.024798,5.03794,[62  2] ; [20  4],[59.63636364  4.36363636] ; [22.36363636  1.63636364],0
p10,1,0.029093,4.762121,[53 10] ; [15  9],[49.24137931 13.75862069] ; [18.75862069  5.24137931],0
s7,1,0.050044,3.84,[29 31] ; [ 6 18],[25. 35.] ; [10. 14.],0
s8,1,0.050612,3.821072,[27 35] ; [ 5 19],[23.06976744 38.93023256] ; [ 8.93023256 15.06976744],0
p6,1,0.059847,3.54163,[17 46] ; [ 2 22],[13.75862069 49.24137931] ; [ 5.24137931 18.75862069],0
a3,1,0.101794,2.677208,[41 22] ; [11 13],[37.65517241 25.34482759] ; [14.34482759  9.65517241],0
p2,1,0.101821,2.676794,[55  9] ; [17  7],[52.36363636 11.63636364] ; [19.63636364  4.36363636],0
d1,1,0.105078,2.626722,[39 25] ; [10 14],[35.63636364 28.36363636] ; [13.36363636 10.63636364],0
a4,1,0.12497,2.353896,[27 36] ; [ 6 18],[23.89655172 39.10344828] ; [ 9.10344828 14.89655172],0
a5,1,0.137354,2.207358,[50 14] ; [15  9],[47.27272727 16.72727273] ; [17.72727273  6.27272727],0
a2,1,0.14242,2.15162,[14 50] ; [ 2 22],[11.63636364 52.36363636] ; [ 4.36363636 19.63636364],0
p11,1,0.171213,1.872293,[47 17] ; [14 10],[44.36363636 19.63636364] ; [16.63636364  7.36363636],0
d3,1,0.202138,1.626863,[44 20] ; [13 11],[41.45454545 22.54545455] ; [15.54545455  8.45454545],0
s3,1,0.214086,1.543581,[32 29] ; [ 9 15],[29.42352941 31.57647059] ; [11.57647059 12.42352941],0
d4,1,0.214704,1.539418,[53 11] ; [17  7],[50.90909091 13.09090909] ; [19.09090909  4.90909091],0
p9,1,0.239841,1.381528,[56  7] ; [19  5],[54.31034483  8.68965517] ; [20.68965517  3.31034483],0
u2,1,0.265114,1.241854,[15  8] ; [6 7],[13.41666667  9.58333333] ; [7.58333333 5.41666667],0
n1,1,0.269004,1.221818,[9 6] ; [2 4],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
a8,1,0.305437,1.050304,[ 8 49] ; [ 1 18],[ 6.75 50.25] ; [ 2.25 16.75],0
b5,1,0.354603,0.856916,[39 25] ; [12 12],[37.09090909 26.90909091] ; [13.90909091 10.09090909],0
a6,1,0.390093,0.738653,[39 25] ; [17  7],[40.72727273 23.27272727] ; [15.27272727  8.72727273],0
p12,1,0.411612,0.674139,[ 6 57] ; [ 1 23],[ 5.06896552 57.93103448] ; [ 1.93103448 22.06896552],0
r2,1,0.421303,0.646678,[58  6] ; [23  1],[58.90909091  5.09090909] ; [22.09090909  1.90909091],0
s2,1,0.446733,0.578928,[30 32] ; [ 9 14],[28.44705882 33.55294118] ; [10.55294118 12.44705882],0
p5,1,0.469221,0.52381,[ 9 55] ; [ 2 22],[ 8. 56.] ; [ 3. 21.],0
a7,1,0.488099,0.480713,[46 18] ; [19  5],[47.27272727 16.72727273] ; [17.72727273  6.27272727],0
s6,1,0.533948,0.386873,[37 25] ; [12 11],[35.74117647 26.25882353] ; [13.25882353  9.74117647],0
u3,1,0.549495,0.358222,[13 10] ; [6 7],[12.13888889 10.86111111] ; [6.86111111 6.13888889],0
s4,1,0.703763,0.144587,[ 7 56] ; [ 2 22],[ 6.51724138 56.48275862] ; [ 2.48275862 21.51724138],0
s1,1,0.706927,0.141365,[ 4 60] ; [ 1 23],[ 3.63636364 60.36363636] ; [ 1.36363636 22.63636364],0
p1,1,0.712913,0.135385,[10 54] ; [ 3 21],[ 9.45454545 54.54545455] ; [ 3.54545455 20.45454545],0
v3,1,0.718921,0.129529,[22 41] ; [ 9 14],[22.70930233 40.29069767] ; [ 8.29069767 14.70930233],0
n2,1,0.759982,0.093333,[11  4] ; [4 2],[10.71428571  4.28571429] ; [4.28571429 1.71428571],0
v2,1,0.788197,0.072174,[33 29] ; [12 12],[32.44186047 29.55813953] ; [12.55813953 11.44186047],0
b4,1,0.824083,0.049416,[39 25] ; [14 10],[38.54545455 25.45454545] ; [14.45454545  9.54545455],0
u1,1,0.849136,0.036184,[ 9 55] ; [ 3 21],[ 8.72727273 55.27272727] ; [ 3.27272727 20.72727273],0
r1,1,0.878282,0.023454,[49 15] ; [18  6],[48.72727273 15.27272727] ; [18.27272727  5.72727273],0
r3,1,0.879674,0.022917,[58  6] ; [22  2],[58.18181818  5.81818182] ; [21.81818182  2.18181818],0
n3,1,0.890106,0.019091,[8 7] ; [3 3],[7.85714286 7.14285714] ; [3.14285714 2.85714286],0
v1,1,0.893231,0.018014,[32 30] ; [12 12],[31.72093023 30.27906977] ; [12.27906977 11.72093023],0
s5,1,0.895126,0.017377,[11 48] ; [ 4 19],[10.79268293 48.20731707] ; [ 4.20731707 18.79268293],0
b2,1,0.924389,0.009007,[12 23] ; [5 9],[12.14285714 22.85714286] ; [4.85714286 9.14285714],0
b3,1,0.924389,0.009007,[12 23] ; [5 9],[12.14285714 22.85714286] ; [4.85714286 9.14285714],0
d5,1,0.961961,0.002275,[45 19] ; [17  7],[45.09090909 18.90909091] ; [16.90909091  7.09090909],0
r4,1,1.0,0.0,[56  8] ; [21  3],[56.  8.] ; [21.  3.],0
