Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.6e-05,18.622027,[42  9] ; [10 19],[33.15 17.85] ; [18.85 10.15],1
n6,1,0.002037,9.515974,[42  8] ; [15 14],[36.07594937 13.92405063] ; [20.92405063  8.07594937],0
p11,1,0.007934,7.048272,[38 13] ; [13 16],[32.5125 18.4875] ; [18.4875 10.5125],0
a7,1,0.010359,6.572008,[36 15] ; [12 17],[30.6 20.4] ; [17.4 11.6],0
s4,1,0.036039,4.395243,[10 41] ; [12 17],[14.025 36.975] ; [ 7.975 21.025],0
p10,1,0.036323,4.381881,[39 12] ; [15 13],[34.86075949 16.13924051] ; [19.13924051  8.86075949],0
s8,1,0.038784,4.270305,[31 19] ; [11 18],[26.58227848 23.41772152] ; [15.41772152 13.58227848],0
p9,1,0.045303,4.007306,[41 10] ; [16 11],[37.26923077 13.73076923] ; [19.73076923  7.26923077],0
p6,1,0.053139,3.73954,[19 31] ; [ 5 24],[15.18987342 34.81012658] ; [ 8.81012658 20.18987342],0
s7,1,0.066694,3.362564,[32 15] ; [12 14],[28.32876712 18.67123288] ; [15.67123288 10.32876712],0
p7,1,0.071503,3.248175,[25 23] ; [ 9 20],[21.19480519 26.80519481] ; [12.80519481 16.19480519],0
a8,1,0.12734,2.324631,[ 7 42] ; [ 1 28],[ 5.02564103 43.97435897] ; [ 2.97435897 26.02564103],0
r1,1,0.139664,2.181654,[41 10] ; [19 10],[38.25 12.75] ; [21.75  7.25],0
p1,1,0.14076,2.169634,[ 7 44] ; [ 1 28],[ 5.1 45.9] ; [ 2.9 26.1],0
b4,1,0.151278,2.059314,[33 18] ; [14 15],[29.9625 21.0375] ; [17.0375 11.9625],0
a6,1,0.159385,1.980049,[30 19] ; [13 16],[27.01282051 21.98717949] ; [15.98717949 13.01282051],0
r4,1,0.174101,1.847276,[46  5] ; [23  6],[43.9875  7.0125] ; [25.0125  3.9875],0
v3,1,0.176822,1.824134,[21 25] ; [ 8 19],[18.2739726 27.7260274] ; [10.7260274 16.2739726],0
d4,1,0.187886,1.734119,[36 13] ; [25  4],[38.32051282 10.67948718] ; [22.67948718  6.32051282],0
u2,1,0.188206,1.731602,[10  4] ; [5 6],[8.4 5.6] ; [6.6 4.4],0
b1,1,0.196218,1.670302,[27 24] ; [11 18],[24.225 26.775] ; [13.775 15.225],0
u3,1,0.201134,1.63412,[11  3] ; [6 5],[9.52 4.48] ; [7.48 3.52],0
p12,1,0.220274,1.502589,[ 6 45] ; [ 1 27],[ 4.51898734 46.48101266] ; [ 2.48101266 25.51898734],0
v4,1,0.228686,1.449014,[48  3] ; [25  4],[46.5375  4.4625] ; [26.4625  2.5375],0
s3,1,0.255357,1.293756,[43  7] ; [22  7],[41.13924051  8.86075949] ; [23.86075949  5.13924051],0
a3,1,0.330967,0.94511,[37 14] ; [18 11],[35.0625 15.9375] ; [19.9375  9.0625],0
d1,1,0.361975,0.831028,[30 21] ; [14 15],[28.05 22.95] ; [15.95 13.05],0
p3,1,0.425525,0.635006,[20 30] ; [ 9 20],[18.35443038 31.64556962] ; [10.64556962 18.35443038],0
r2,1,0.466324,0.530673,[48  3] ; [26  3],[47.175  3.825] ; [26.825  2.175],0
a1,1,0.466324,0.530673,[ 3 48] ; [ 3 26],[ 3.825 47.175] ; [ 2.175 26.825],0
v2,1,0.471617,0.518184,[29 19] ; [14 13],[27.52 20.48] ; [15.48 11.52],0
n2,1,0.544356,0.367526,[14  3] ; [8 3],[13.35714286  3.64285714] ; [8.64285714 2.35714286],0
b5,1,0.550931,0.355652,[35 16] ; [18 11],[33.7875 17.2125] ; [19.2125  9.7875],0
v1,1,0.599469,0.275797,[30 19] ; [16 13],[28.8974359 20.1025641] ; [17.1025641 11.8974359],0
s1,1,0.637672,0.2218,[ 7 43] ; [ 3 26],[ 6.32911392 43.67088608] ; [ 3.67088608 25.32911392],0
d2,1,0.682806,0.166984,[26 23] ; [14 15],[25.12820513 23.87179487] ; [14.87179487 14.12820513],0
n3,1,0.700472,0.147981,[12  5] ; [7 4],[11.53571429  5.46428571] ; [7.46428571 3.53571429],0
s5,1,0.715493,0.132852,[19 31] ; [11 15],[19.73684211 30.26315789] ; [10.26315789 15.73684211],0
p4,1,0.72251,0.1261,[21 29] ; [11 18],[20.25316456 29.74683544] ; [11.74683544 17.25316456],0
p8,1,0.746121,0.10482,[14 37] ; [ 7 22],[13.3875 37.6125] ; [ 7.6125 21.3875],0
d5,1,0.762139,0.091611,[37 12] ; [21  8],[36.43589744 12.56410256] ; [21.56410256  7.43589744],0
u1,1,0.794331,0.06796,[10 41] ; [ 5 24],[ 9.5625 41.4375] ; [ 5.4375 23.5625],0
a2,1,0.794331,0.06796,[10 41] ; [ 5 24],[ 9.5625 41.4375] ; [ 5.4375 23.5625],0
s6,1,0.803419,0.061963,[43  8] ; [23  5],[42.60759494  8.39240506] ; [23.39240506  4.60759494],0
b2,1,0.824412,0.049228,[12 25] ; [5 9],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
b3,1,0.824412,0.049228,[12 25] ; [5 9],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
r3,1,0.857034,0.032454,[48  3] ; [27  2],[47.8125  3.1875] ; [27.1875  1.8125],0
a4,1,0.916543,0.010981,[24 27] ; [14 15],[24.225 26.775] ; [13.775 15.225],0
n1,1,0.93021,0.00767,[7 9] ; [5 6],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
d3,1,0.961037,0.002387,[29 20] ; [17 12],[28.8974359 20.1025641] ; [17.1025641 11.8974359],0
