Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,74.778034,[ 18 152] ; [77 59],[ 52.77777778 117.22222222] ; [42.22222222 93.77777778],1
s6,1,0.0,42.212402,[ 54 116] ; [94 42],[82.22222222 87.77777778] ; [65.77777778 70.22222222],1
s8,1,8e-06,19.913855,[ 28 143] ; [53 83],[ 45.11726384 125.88273616] ; [ 35.88273616 100.11726384],1
s7,1,2.2e-05,18.015974,[ 35 127] ; [58 71],[ 51.77319588 110.22680412] ; [41.22680412 87.77319588],1
r4,1,0.000596,11.788912,[117  54] ; [116  20],[129.78175896  41.21824104] ; [103.21824104  32.78175896],1
p7,1,0.000687,11.523022,[78 90] ; [86 44],[92.45637584 75.54362416] ; [71.54362416 58.45637584],1
r3,1,0.011524,6.382674,[140  29] ; [125  10],[147.31907895  21.68092105] ; [117.68092105  17.31907895],0
r1,1,0.012323,6.263864,[100  70] ; [98 37],[110.36065574  59.63934426] ; [87.63934426 47.36065574],0
p2,1,0.044819,4.025456,[121  50] ; [109  26],[128.52941176  42.47058824] ; [101.47058824  33.52941176],0
b2,1,0.051717,3.784887,[38 59] ; [20 59],[31.96590909 65.03409091] ; [26.03409091 52.96590909],0
b3,1,0.051717,3.784887,[38 59] ; [20 59],[31.96590909 65.03409091] ; [26.03409091 52.96590909],0
r2,1,0.051784,3.782738,[138  31] ; [121  14],[143.98355263  25.01644737] ; [115.01644737  19.98355263],0
v4,1,0.054284,3.703936,[142  28] ; [122  12],[147.63157895  22.36842105] ; [116.36842105  17.63157895],0
n2,1,0.056902,3.625454,[33 17] ; [28  5],[36.74698795 13.25301205] ; [24.25301205  8.74698795],0
a8,1,0.075325,3.162982,[ 13 147] ; [ 19 110],[ 17.71626298 142.28373702] ; [ 14.28373702 114.71626298],0
n4,1,0.113755,2.501259,[104  66] ; [95 41],[110.55555556  59.44444444] ; [88.44444444 47.55555556],0
n3,1,0.119775,2.420266,[32 17] ; [26  6],[35.08641975 13.91358025] ; [22.91358025  9.08641975],0
u3,1,0.127314,2.324951,[35 45] ; [33 25],[39.42028986 40.57971014] ; [28.57971014 29.42028986],0
p10,1,0.186526,1.744849,[111  57] ; [98 36],[116.26490066  51.73509934] ; [92.73509934 41.26490066],0
a4,1,0.195928,1.67247,[ 45 126] ; [ 27 108],[ 40.23529412 130.76470588] ; [ 31.76470588 103.23529412],0
p4,1,0.198076,1.656506,[ 71 100] ; [66 69],[76.55882353 94.44117647] ; [60.44117647 74.55882353],0
s4,1,0.205891,1.600086,[ 18 152] ; [ 21 115],[ 21.66666667 148.33333333] ; [ 17.33333333 118.66666667],0
p11,1,0.277908,1.177292,[116  55] ; [100  36],[120.31270358  50.68729642] ; [95.68729642 40.31270358],0
a1,1,0.315583,1.007164,[  9 162] ; [  4 132],[  7.24104235 163.75895765] ; [  5.75895765 130.24104235],0
d3,1,0.410281,0.677986,[ 63 106] ; [57 79],[ 66.49180328 102.50819672] ; [53.50819672 82.49180328],0
d5,1,0.412663,0.671116,[93 77] ; [68 68],[89.44444444 80.55555556] ; [71.55555556 64.44444444],0
p9,1,0.460076,0.545711,[118  50] ; [100  35],[120.87128713  47.12871287] ; [97.12871287 37.87128713],0
a5,1,0.460095,0.545665,[94 77] ; [69 67],[90.79153094 80.20846906] ; [72.20846906 63.79153094],0
a2,1,0.499267,0.456495,[ 12 159] ; [  7 129],[ 10.58306189 160.41693811] ; [  8.41693811 127.58306189],0
p5,1,0.594209,0.283818,[ 10 161] ; [  6 128],[  8.9704918 162.0295082] ; [  7.0295082 126.9704918],0
a3,1,0.607835,0.263339,[90 80] ; [76 60],[92.22222222 77.77777778] ; [73.77777778 62.22222222],0
d2,1,0.620943,0.244544,[ 23 148] ; [ 21 115],[ 24.50814332 146.49185668] ; [ 19.49185668 116.50814332],0
p3,1,0.62562,0.238047,[ 62 109] ; [53 83],[ 64.05537459 106.94462541] ; [50.94462541 85.05537459],0
b5,1,0.628154,0.234573,[104  67] ; [79 57],[101.93159609  69.06840391] ; [81.06840391 54.93159609],0
b1,1,0.636809,0.22294,[75 96] ; [56 80],[72.96742671 98.03257329] ; [58.03257329 77.96742671],0
a7,1,0.6458,0.211237,[107  62] ; [82 53],[105.06907895  63.93092105] ; [83.93092105 51.06907895],0
v2,1,0.663821,0.188915,[67 96] ; [55 71],[68.80968858 94.19031142] ; [53.19031142 72.80968858],0
d4,1,0.679997,0.170129,[89 82] ; [74 62],[90.79153094 80.20846906] ; [72.20846906 63.79153094],0
p1,1,0.691365,0.157612,[ 12 158] ; [  8 127],[ 11.14754098 158.85245902] ; [  8.85245902 126.14754098],0
a6,1,0.69138,0.157595,[98 73] ; [81 55],[99.70358306 71.29641694] ; [79.29641694 56.70358306],0
u1,1,0.694824,0.153913,[  5 166] ; [  3 133],[  4.45602606 166.54397394] ; [  3.54397394 132.45602606],0
p12,1,0.701353,0.147068,[  5 165] ; [  5 129],[  5.59210526 164.40789474] ; [  4.40789474 129.59210526],0
v3,1,0.714174,0.134143,[ 47 120] ; [40 93],[ 48.43 118.57] ; [38.57 94.43],0
n5,1,0.719011,0.129442,[115  53] ; [95 40],[116.43564356  51.56435644] ; [93.56435644 41.43564356],0
u2,1,0.730159,0.118966,[41 39] ; [28 30],[40. 40.] ; [29. 29.],0
n6,1,0.747192,0.103906,[123  46] ; [96 39],[121.74671053  47.25328947] ; [97.25328947 37.74671053],0
p8,1,0.782733,0.076043,[70 99] ; [53 80],[ 68.83112583 100.16887417] ; [54.16887417 78.83112583],0
n1,1,0.820902,0.05125,[20 30] ; [12 20],[19.51219512 30.48780488] ; [12.48780488 19.51219512],0
b4,1,0.855398,0.03321,[90 81] ; [73 63],[90.79153094 80.20846906] ; [72.20846906 63.79153094],0
s1,1,0.866741,0.028157,[  7 163] ; [  6 127],[  7.29372937 162.70627063] ; [  5.70627063 127.29372937],0
p6,1,0.869078,0.027169,[ 40 128] ; [ 33 101],[ 40.60927152 127.39072848] ; [ 32.39072848 101.60927152],0
v1,1,0.886287,0.02045,[74 95] ; [58 72],[74.60869565 94.39130435] ; [57.39130435 72.60869565],0
