Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.947514,[247  18] ; [34 15],[237.14968153  27.85031847] ; [43.85031847  5.14968153],1
p9,1,0.000217,13.676002,[249  16] ; [39 11],[242.28571429  22.71428571] ; [45.71428571  4.28571429],1
p8,1,0.00036,12.730934,[193  70] ; [24 26],[182.33546326  80.66453674] ; [34.66453674 15.33546326],1
n4,1,0.001791,9.752423,[236  31] ; [35 14],[228.9778481  38.0221519] ; [42.0221519  6.9778481],0
v4,1,0.006276,7.469235,[259   6] ; [45  5],[255.74603175   9.25396825] ; [48.25396825  1.74603175],0
p7,1,0.009141,6.795088,[208  55] ; [31 19],[200.82108626  62.17891374] ; [38.17891374 11.82108626],0
b1,1,0.012218,6.278955,[ 99 168] ; [28 22],[106.96845426 160.03154574] ; [20.03154574 29.96845426],0
n5,1,0.012419,6.250103,[236  30] ; [37 12],[230.53333333  35.46666667] ; [42.46666667  6.53333333],0
a3,1,0.015407,5.869296,[207  60] ; [30 19],[200.25  66.75] ; [36.75 12.25],0
a5,1,0.023392,5.139125,[219  48] ; [34 16],[213.09463722  53.90536278] ; [39.90536278 10.09463722],0
b3,1,0.029993,4.709696,[ 79 110] ; [ 6 23],[ 73.69266055 115.30733945] ; [11.30733945 17.69266055],0
b2,1,0.029993,4.709696,[ 79 110] ; [ 6 23],[ 73.69266055 115.30733945] ; [11.30733945 17.69266055],0
s6,1,0.031079,4.648587,[189  74] ; [40  6],[194.90938511  68.09061489] ; [34.09061489 11.90938511],0
d4,1,0.039056,4.258449,[232  34] ; [38 12],[227.27848101  38.72151899] ; [42.72151899  7.27848101],0
d1,1,0.051174,3.802582,[187  80] ; [28 22],[181.08832808  85.91167192] ; [33.91167192 16.08832808],0
v2,1,0.062883,3.459667,[186  75] ; [29 21],[180.4340836  80.5659164] ; [34.5659164 15.4340836],0
p6,1,0.102923,2.659661,[146 117] ; [21 28],[140.7724359 122.2275641] ; [26.2275641 22.7724359],0
p2,1,0.13254,2.262499,[246  20] ; [43  7],[243.2721519  22.7278481] ; [45.7278481  4.2721519],0
a6,1,0.14484,2.125768,[188  79] ; [30 20],[183.61514196  83.38485804] ; [34.38485804 15.61514196],0
u2,1,0.154416,2.028075,[35 25] ; [ 8 12],[32.25 27.75] ; [10.75  9.25],0
r1,1,0.170437,1.879096,[227  39] ; [38 11],[223.77777778  42.22222222] ; [41.22222222  7.77777778],0
s7,1,0.187242,1.739189,[142 111] ; [30 15],[146.02684564 106.97315436] ; [25.97315436 19.02684564],0
r3,1,0.209738,1.573232,[260   7] ; [47  3],[258.57728707   8.42271293] ; [48.42271293  1.57728707],0
s2,1,0.251226,1.316473,[148 114] ; [32 17],[151.63987138 110.36012862] ; [28.36012862 20.63987138],0
