Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,162.531733,[  5 107] ; [370 160],[65.42056075 46.57943925] ; [309.57943925 220.42056075],1
d3,1,0.0,112.235441,[27 84] ; [404 126],[74.6349454 36.3650546] ; [356.3650546 173.6349454],1
d5,1,0.0,99.956499,[53 59] ; [467  63],[90.7165109 21.2834891] ; [429.2834891 100.7165109],1
d2,1,0.0,32.308996,[26 86] ; [279 250],[53.29173167 58.70826833] ; [251.70826833 277.29173167],1
a4,1,1e-06,24.5602,[27 84] ; [265 264],[50.64375 60.35625] ; [241.35625 287.64375],1
a3,1,2e-06,23.145798,[60 51] ; [403 124],[80.55329154 30.44670846] ; [382.44670846 144.55329154],1
u1,1,1.2e-05,19.112911,[  3 109] ; [104 426],[18.66666667 93.33333333] ; [ 88.33333333 441.66666667],1
a5,1,1.5e-05,18.791653,[65 47] ; [412 118],[83.21495327 28.78504673] ; [393.78504673 136.21495327],1
r1,1,2.3e-05,17.942348,[70 40] ; [432  96],[86.55172414 23.44827586] ; [415.44827586 112.55172414],1
s2,1,0.00013,14.645488,[35 77] ; [269 257],[53.36677116 58.63322884] ; [250.63322884 275.36677116],1
a2,1,0.000383,12.613433,[ 12 100] ; [140 390],[26.51713396 85.48286604] ; [125.48286604 404.51713396],1
r3,1,0.001305,10.335778,[99 12] ; [509  19],[105.61502347   5.38497653] ; [502.38497653  25.61502347],0
r4,1,0.003365,8.598313,[91 21] ; [481  49],[99.78816199 12.21183801] ; [472.21183801  57.78816199],0
s5,1,0.006307,7.460437,[22 88] ; [170 341],[34.00966184 75.99033816] ; [157.99033816 353.00966184],0
p1,1,0.012076,6.299619,[17 94] ; [ 41 486],[ 10.09090909 100.90909091] ; [ 47.90909091 479.09090909],0
n4,1,0.016299,5.770345,[78 33] ; [426 103],[87.4125 23.5875] ; [416.5875 112.4125],0
p7,1,0.019764,5.432583,[60 50] ; [342 174],[70.63897764 39.36102236] ; [331.36102236 184.63897764],0
u3,1,0.020726,5.349705,[22 30] ; [76 48],[28.95454545 23.04545455] ; [69.04545455 54.95454545],0
s3,1,0.021205,5.30986,[48 61] ; [293 229],[58.90491284 50.09508716] ; [282.09508716 239.90491284],0
p4,1,0.023022,5.166862,[58 54] ; [333 193],[68.63949843 43.36050157] ; [322.36050157 203.63949843],0
s7,1,0.02982,4.719667,[41 64] ; [257 250],[51.12745098 53.87254902] ; [246.87254902 260.12745098],0
u2,1,0.031021,4.651793,[24 28] ; [79 45],[30.43181818 21.56818182] ; [72.56818182 51.43181818],0
p2,1,0.037062,4.347566,[90 21] ; [464  61],[96.68867925 14.31132075] ; [457.31132075  67.68867925],0
s6,1,0.039955,4.219809,[63 48] ; [349 172],[72.36075949 38.63924051] ; [339.63924051 181.36075949],0
s8,1,0.050757,3.816281,[42 70] ; [251 276],[51.35524257 60.64475743] ; [241.64475743 285.35524257],0
r2,1,0.057125,3.618956,[100  11] ; [494  27],[104.32594937   6.67405063] ; [489.67405063  31.32594937],0
