Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.062579,3.467692,[12  1] ; [6 4],[10.17391304  2.82608696] ; [7.82608696 2.17391304],0
s4,1,0.062579,3.467692,[ 1 12] ; [4 6],[ 2.82608696 10.17391304] ; [2.17391304 7.82608696],0
u2,1,0.121681,2.395556,[2 4] ; [4 1],[3.27272727 2.72727273] ; [2.72727273 2.27272727],0
p11,1,0.178978,1.80609,[10  3] ; [5 5],[8.47826087 4.52173913] ; [6.52173913 3.47826087],0
d3,1,0.191719,1.704359,[7 6] ; [8 2],[8.47826087 4.52173913] ; [6.52173913 3.47826087],0
s6,1,0.191719,1.704359,[7 6] ; [8 2],[8.47826087 4.52173913] ; [6.52173913 3.47826087],0
s7,1,0.211016,1.564444,[4 8] ; [6 4],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
n4,1,0.305319,1.050816,[5 8] ; [6 4],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
b1,1,0.305319,1.050816,[5 8] ; [6 4],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
a5,1,0.305319,1.050816,[8 5] ; [4 6],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
p9,1,0.348861,0.877595,[9 4] ; [5 5],[7.91304348 5.08695652] ; [6.08695652 3.91304348],0
a7,1,0.391805,0.733333,[5 7] ; [6 4],[6. 6.] ; [5. 5.],0
d5,1,0.412086,0.672773,[10  3] ; [9 1],[10.73913043  2.26086957] ; [8.26086957 1.73913043],0
p7,1,0.428539,0.626781,[4 8] ; [5 5],[4.90909091 7.09090909] ; [4.09090909 5.90909091],0
p3,1,0.431333,0.619231,[6 7] ; [3 7],[5.08695652 7.91304348] ; [3.91304348 6.08695652],0
a4,1,0.431333,0.619231,[6 7] ; [3 7],[5.08695652 7.91304348] ; [3.91304348 6.08695652],0
r3,1,0.451967,0.565714,[9 3] ; [6 4],[8.18181818 3.81818182] ; [6.81818182 3.18181818],0
v4,1,0.466394,0.530507,[6 5] ; [7 3],[6.80952381 4.19047619] ; [6.19047619 3.80952381],0
v2,1,0.509903,0.434266,[7 6] ; [4 6],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
d1,1,0.509903,0.434266,[6 7] ; [6 4],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
v3,1,0.650041,0.205848,[ 2 10] ; [1 9],[ 1.63636364 10.36363636] ; [1.36363636 8.63636364],0
b2,1,0.671373,0.18,[2 8] ; [1 7],[1.66666667 8.33333333] ; [1.33333333 6.66666667],0
b3,1,0.671373,0.18,[2 8] ; [1 7],[1.66666667 8.33333333] ; [1.33333333 6.66666667],0
r2,1,0.675706,0.175,[9 3] ; [6 3],[8.57142857 3.42857143] ; [6.42857143 2.57142857],0
a3,1,0.695895,0.152778,[7 5] ; [5 5],[6.54545455 5.45454545] ; [5.45454545 4.54545455],0
s8,1,0.707787,0.140498,[ 3 10] ; [3 7],[3.39130435 9.60869565] ; [2.60869565 7.39130435],0
u3,1,0.740144,0.11,[3 3] ; [2 3],[2.72727273 3.27272727] ; [2.27272727 2.72727273],0
b5,1,0.767896,0.087101,[6 7] ; [4 6],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
p4,1,0.767896,0.087101,[6 7] ; [4 6],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
d4,1,0.780512,0.077647,[9 3] ; [8 2],[9.27272727 2.72727273] ; [7.72727273 2.27272727],0
p2,1,0.780512,0.077647,[9 3] ; [8 2],[9.27272727 2.72727273] ; [7.72727273 2.27272727],0
n5,1,0.854757,0.033508,[7 6] ; [5 5],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
s2,1,0.854757,0.033508,[7 6] ; [5 5],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
a6,1,0.854757,0.033508,[7 6] ; [5 5],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
p6,1,0.859234,0.031453,[ 3 10] ; [2 8],[ 2.82608696 10.17391304] ; [2.17391304 7.82608696],0
v1,1,0.898708,0.016204,[5 7] ; [4 5],[5.14285714 6.85714286] ; [3.85714286 5.14285714],0
d2,1,0.936898,0.006268,[7 5] ; [6 4],[7.09090909 4.90909091] ; [5.90909091 4.09090909],0
p10,1,0.936898,0.006268,[7 5] ; [6 4],[7.09090909 4.90909091] ; [5.90909091 4.09090909],0
s3,1,0.936898,0.006268,[7 5] ; [6 4],[7.09090909 4.90909091] ; [5.90909091 4.09090909],0
r1,1,0.940259,0.005617,[5 8] ; [4 6],[5.08695652 7.91304348] ; [3.91304348 6.08695652],0
p8,1,0.962486,0.002212,[ 3 10] ; [2 7],[ 2.95454545 10.04545455] ; [2.04545455 6.95454545],0
n2,1,1.0,0.0,[2 1] ; [4 2],[2. 1.] ; [4. 2.],0
n1,1,1.0,0.0,[1 2] ; [2 4],[1. 2.] ; [2. 4.],0
